sample,11716876_a_at,11729582_s_at,11732236_a_at,11719581_a_at,11736395_a_at,11729583_x_at,11740680_s_at,11725497_a_at,11742143_s_at,11736538_s_at,11742315_s_at,11720494_a_at,11731448_a_at,11737280_at,11736696_a_at,11739787_a_at,11756003_x_at,11728821_a_at,11756301_x_at,11721930_a_at,11729920_at,11720807_x_at,11732235_a_at,11739340_at,11745557_x_at,11733360_x_at,11758559_s_at,11728137_at,11727808_s_at,11728138_at,11745300_a_at,11754453_s_at,11749318_a_at,11756160_x_at,11739338_at,11745299_x_at,11717871_s_at,11727807_at,11753827_x_at,11737268_s_at,11753662_x_at,11750918_a_at,11746263_a_at,11725438_a_at,11727970_a_at,11721656_s_at,11725439_at,11733482_a_at,11745661_x_at,11752881_s_at,11727969_a_at,11721029_a_at,11751870_x_at,11727161_a_at,11752701_s_at,11739339_s_at,11716467_x_at,11715752_at,11761538_x_at,11747546_a_at,11724635_at,11731446_s_at,11723952_at,11721655_at,11716466_s_at,11731452_s_at,11739230_a_at,11728669_a_at,11747125_a_at,11722470_x_at,11730499_a_at,11737267_a_at,11731454_a_at,11718997_at,11755059_s_at,11715792_a_at,11721030_a_at,11731451_at,11749176_a_at,11724538_a_at,11733941_a_at,11743067_at,11758929_at,11743068_at,11741977_a_at,11728670_a_at,11719359_a_at,11750456_s_at,11725950_s_at,11740553_a_at,11739061_at,11757303_s_at,11739937_a_at,11725951_at,11744965_x_at,11733100_at,11751970_a_at,11726179_a_at,11729757_a_at,11721931_s_at,class
GSM3507261,7.099893,8.029869,4.387359,6.499444,6.668604,10.03589,5.360209,6.010363,5.24435,5.473756,5.399213,4.928712,5.687101,6.983402,7.3409,7.511794,6.034967,3.509724,8.277845,6.799774,5.362446,7.348971,3.53185,7.005141,7.588062,6.685648,6.660153,6.972246,8.323676,4.977634,2.271574,7.436287,8.49004,4.832705,10.07578,6.566738,5.029892,4.192734,7.618907,4.571021,7.544605,3.279409,6.495412,10.049,5.017324,6.616315,10.44819,4.677485,4.02115,4.462551,6.661079,4.019421,3.257329,4.340944,4.614196,10.97156,7.674453,4.876936,7.284286,3.663069,6.95282,8.314487,9.756516,7.110561,5.828957,5.788952,4.533816,7.112926,8.808124,5.019698,4.233841,5.19355,9.581521,8.443025,7.696577,7.868434,5.382022,4.132408,8.752531,3.94099,4.808192,7.920804,3.196881,9.312365,4.074726,6.457903,5.775822,4.989677,9.469007,5.835931,6.688838,9.780911,4.77466,10.02553,6.675753,4.650045,5.610425,2.971355,3.497988,6.717648,SONFH
GSM3507262,7.231558,5.892376,3.257445,5.256474,5.425634,7.734711,4.026553,6.203434,3.559244,4.239,3.914541,3.867742,4.648804,5.765496,6.142632,5.841602,4.391205,2.636498,7.986837,5.878298,4.652583,6.872732,2.832825,5.328384,7.151614,4.553928,6.243791,6.698895,7.274448,4.182483,2.395681,6.961617,7.82926,3.998991,8.66513,6.310062,5.05651,3.704502,7.412294,3.46384,7.091276,2.824678,5.302362,9.630836,4.578715,6.482925,10.20183,3.631875,3.407596,3.499261,4.481072,4.023734,3.033471,3.962641,3.854476,9.553343,7.160449,3.865306,6.540821,3.690748,6.322119,6.262029,6.724104,6.466915,5.46124,6.065272,4.286054,6.385266,7.016052,5.142409,3.565435,4.162182,9.431115,7.827243,7.656601,8.094494,5.192703,4.196556,6.793388,4.269567,3.12332,7.480725,3.172054,8.957064,2.835421,5.376474,5.437301,4.25332,9.041534,6.243028,5.549546,8.938047,3.751534,8.480108,6.223931,3.773918,3.820066,2.13892,3.49404,5.836786,SONFH
GSM3507263,6.745168,6.357855,3.082059,5.56743,5.853455,7.936018,4.122661,5.629105,3.986739,4.287332,4.061825,4.152143,5.185414,5.444769,5.677398,3.454026,2.629454,3.399229,7.705418,5.616245,3.45192,1.895934,2.716825,5.203594,6.10446,5.517046,6.531103,5.968571,8.152134,3.705979,2.824643,6.748917,7.653168,4.291067,8.127307,5.092534,4.419026,4.573884,6.838343,3.737396,6.471692,2.832097,6.384646,10.04505,5.064581,6.250294,10.52822,3.854002,3.014268,3.764917,5.050008,3.51237,2.687516,3.777289,3.539434,9.255469,7.280756,3.965635,6.427906,3.002632,7.101228,7.893705,6.300946,6.798756,5.625808,6.066273,4.449461,6.398892,8.304969,5.259151,3.713584,3.636684,9.388077,7.93185,6.898285,7.516609,4.76935,4.735702,7.894223,3.707321,3.776464,7.541137,3.283024,8.722626,3.105827,5.57848,5.577349,4.392688,9.54254,6.022537,5.578667,9.600719,3.835629,9.660734,5.754756,4.19321,3.153947,2.572635,3.512831,5.412763,SONFH
GSM3507264,6.483274,7.647568,5.026544,6.39904,6.654564,9.625836,6.666329,7.788359,6.652365,6.727611,6.911032,5.197101,6.22824,7.586383,6.882507,4.700214,3.634228,4.376145,7.90855,7.421181,5.798986,2.022185,3.926202,6.484187,7.847679,7.339499,7.350638,7.538866,8.958973,5.021579,2.656544,8.230638,8.088266,5.110268,9.605961,7.070482,5.5276,5.490027,8.174681,6.082832,7.916132,4.413755,7.759311,11.50926,5.931803,6.837334,11.71827,5.151707,4.045111,6.038521,7.299377,4.206302,3.361495,4.508925,6.021095,10.3921,8.08911,5.084467,6.694809,4.042003,7.22812,8.994488,8.777836,7.348248,6.176053,6.089298,4.810496,7.256656,8.288498,5.812201,5.000793,6.569242,9.518641,9.57062,7.150118,7.763128,5.228065,3.929059,8.430989,5.808706,4.339052,8.827673,4.207547,9.766851,5.600833,6.382129,5.783719,6.197459,9.214429,6.177858,6.061273,9.527493,5.065721,9.46722,7.155335,5.067632,5.967066,2.779165,4.147318,6.996398,SONFH
GSM3507265,6.69022,6.044831,3.234363,5.248614,5.390971,8.213433,3.755726,5.725797,4.083924,3.64654,3.934916,3.00006,5.156443,6.532186,5.821066,5.654072,4.450103,2.911801,7.679257,6.217379,4.14485,6.322971,2.923247,5.900751,6.782932,6.10423,6.181753,6.385235,8.697266,3.938775,2.594068,6.988961,7.804583,3.617311,8.788928,5.813671,5.19231,3.668936,7.298638,4.410234,7.17417,2.168399,6.272629,10.20067,4.817904,5.988004,10.46467,3.867306,3.429505,4.504901,6.015491,4.258123,2.961711,4.42733,4.377813,9.676819,6.722437,4.617184,6.515618,3.576445,6.50489,7.233017,7.594636,6.374416,4.878936,5.718252,3.788887,6.740816,7.097922,4.831078,3.711844,4.328242,9.058765,8.398669,6.832553,7.656853,4.921943,3.62226,7.050749,4.178473,3.659038,7.546893,3.085935,8.826236,3.431273,5.619622,5.255998,4.767316,8.793143,6.524467,5.713415,9.024328,4.011898,8.268637,6.523171,3.631249,4.200514,3.041533,3.487409,6.332925,SONFH
GSM3507266,6.770405,6.192103,4.674887,5.126319,5.295479,8.142019,4.240118,5.878715,4.014596,4.320023,3.773013,3.941891,4.951298,6.109853,5.373294,5.589186,4.293082,3.252101,7.738889,6.499221,4.731379,6.477267,3.644565,5.573771,6.973584,5.543128,6.429173,6.831191,7.499806,4.337595,2.266859,6.942388,7.901959,4.199279,8.261452,6.115742,5.38858,3.626855,7.445819,3.851331,7.156507,2.838864,5.490213,9.481943,4.497025,6.31679,9.830235,3.767206,3.63923,4.151103,5.491874,3.663292,3.457072,4.189718,3.995809,9.203415,6.76153,4.787493,6.603732,3.412809,6.614429,7.518744,7.344338,6.484526,5.166613,5.795228,3.649664,6.669032,7.605189,5.676699,4.394029,4.430918,9.041519,7.662011,7.128141,7.482216,4.99358,3.757572,7.335201,3.991444,3.553413,7.496769,3.240917,8.722363,3.367145,5.620998,5.616828,4.729488,8.711576,6.569837,5.674642,9.015715,4.070448,8.665173,6.749028,3.736283,3.995809,2.862877,3.399132,6.555203,SONFH
GSM3507267,7.08961,9.137469,6.209755,7.843822,8.175428,11.15972,7.058991,7.853909,6.8931,7.038011,7.007771,5.520383,8.500845,8.200353,8.302632,6.276664,4.93802,4.924377,8.634561,7.952275,7.2819,8.561062,5.100673,8.355974,9.283711,7.554334,8.331117,8.730539,10.75004,6.487824,3.823617,9.136403,9.141817,5.470014,10.96422,8.495777,7.503359,7.629137,9.523748,6.186172,9.460415,4.395325,9.357575,12.08802,6.368236,7.886055,12.10254,5.248832,4.822593,6.154395,7.722838,4.915416,4.553008,5.656778,6.29183,11.39962,8.954593,6.049227,7.775255,4.409453,8.592247,10.10315,8.772929,7.724577,7.033145,6.5935,4.656109,7.943203,9.58305,7.462889,5.950778,6.691175,9.64526,10.37505,7.769183,8.360476,5.881058,4.20175,9.363469,5.944217,4.90417,9.290181,4.861972,9.93066,5.773269,5.967175,6.88564,6.67476,10.07135,5.793662,7.445772,10.72429,5.210007,10.53675,7.790185,5.67825,6.401433,4.268528,4.361605,7.407784,SONFH
GSM3507268,6.38178,7.440827,4.361207,5.868097,6.018924,9.547366,5.427076,5.563437,5.285665,5.356351,5.569217,5.096158,6.185628,7.287712,6.684973,5.831266,4.689584,3.475272,7.551477,7.019749,5.38205,1.977812,3.530823,6.574796,7.491152,6.607591,7.046076,6.912841,9.101046,4.432722,2.789428,8.159339,7.970874,5.245091,9.463762,6.834987,5.558421,5.549505,8.109787,5.306379,7.811842,3.257133,7.68838,10.57001,5.705312,6.519705,10.75801,4.430971,3.565039,5.213634,6.751574,4.097118,3.168643,4.672752,5.401955,10.36011,7.511237,4.492987,6.502773,3.733361,7.118255,8.555894,8.296986,6.799577,5.640584,5.960768,4.188519,7.172446,8.036077,6.04863,4.582121,5.453307,9.214408,9.4465,7.171656,7.706694,5.034106,3.851248,7.980396,5.342678,4.621498,8.494159,4.82286,9.453569,4.495169,5.934389,5.729548,5.42877,9.267544,6.273977,6.255201,9.589771,4.594721,8.97706,6.930582,4.680728,5.568663,2.63069,3.541857,6.657516,SONFH
GSM3507269,7.000788,9.44371,4.792474,7.375178,7.546083,11.55481,6.677179,7.893944,6.602256,6.535829,6.725204,4.351716,7.617148,8.369887,7.528806,4.15519,3.463482,5.014758,7.888761,8.223253,6.314605,2.07065,4.731904,7.370718,8.760581,7.861289,7.743449,8.710194,9.625719,6.214377,2.98701,8.991003,8.317544,4.76812,10.28561,7.675254,6.225449,6.314605,8.967167,6.160717,8.647985,4.561256,8.441736,12.25891,6.83489,7.06711,12.39739,5.407345,4.363375,6.120269,8.248598,4.529419,4.187125,6.032223,6.31284,10.96831,8.593663,5.394172,6.966164,4.2881,7.608484,9.262894,10.09633,7.240997,6.550752,5.594145,4.788675,8.083078,8.747643,7.237003,5.174625,6.958321,9.199901,10.30333,7.053482,8.234425,5.583139,3.813012,8.741871,4.887571,4.641267,10.01258,4.167999,10.70337,6.048481,6.752481,5.675064,6.694994,9.357615,6.090568,6.339337,9.738704,5.277806,9.714333,7.872679,5.051064,6.452364,3.161714,4.255348,7.732047,SONFH
GSM3507270,6.898222,6.456463,3.925715,5.616198,5.742698,8.464096,3.80923,5.388734,3.40285,3.884629,3.786714,3.784081,5.402708,6.773802,6.419287,5.193295,3.851331,3.022767,7.974816,6.63453,4.767291,7.218552,3.204014,5.964123,7.265405,4.754526,6.79632,6.245358,8.695517,3.645759,2.430457,7.615553,7.961852,4.235046,8.712925,6.062538,5.381666,4.460759,7.337594,3.857594,7.1883,2.563476,6.902388,9.794494,4.72331,6.666838,10.01401,4.183275,3.282998,4.077692,5.182376,4.096161,3.216022,4.229052,4.148342,9.755923,7.327244,4.19238,6.600952,3.210887,7.219604,7.900875,8.285651,6.729003,5.554322,6.152348,4.223294,6.554506,7.678808,5.232732,4.253321,4.399567,9.256995,8.482037,6.956226,7.993456,4.703845,3.897652,7.750361,4.001931,3.766884,7.555825,3.693338,8.60985,3.481019,5.641749,5.416319,4.753042,9.211655,6.369795,5.5753,9.23342,4.183275,8.7013,6.591453,4.176432,4.243035,2.288234,3.272425,6.52739,SONFH
