sample,11716876_a_at,11729582_s_at,11732236_a_at,11719581_a_at,11736395_a_at,11729583_x_at,11740680_s_at,11725497_a_at,11742143_s_at,11736538_s_at,11742315_s_at,11720494_a_at,11731448_a_at,11737280_at,11736696_a_at,11739787_a_at,11756003_x_at,11728821_a_at,11756301_x_at,11721930_a_at,11729920_at,11720807_x_at,11732235_a_at,11739340_at,11745557_x_at,11733360_x_at,11758559_s_at,11728137_at,11727808_s_at,11728138_at,11745300_a_at,11754453_s_at,11749318_a_at,11756160_x_at,11739338_at,11745299_x_at,11717871_s_at,11727807_at,11753827_x_at,11737268_s_at,11753662_x_at,11750918_a_at,11746263_a_at,11725438_a_at,11727970_a_at,11721656_s_at,11725439_at,11733482_a_at,11745661_x_at,11752881_s_at,11727969_a_at,11721029_a_at,11751870_x_at,11727161_a_at,11752701_s_at,11739339_s_at,11716467_x_at,11715752_at,11761538_x_at,11747546_a_at,11724635_at,11731446_s_at,11723952_at,11721655_at,11716466_s_at,11731452_s_at,11739230_a_at,11728669_a_at,11747125_a_at,11722470_x_at,11730499_a_at,11737267_a_at,11731454_a_at,11718997_at,11755059_s_at,11715792_a_at,11721030_a_at,11731451_at,11749176_a_at,11724538_a_at,11733941_a_at,11743067_at,11758929_at,11743068_at,11741977_a_at,11728670_a_at,11719359_a_at,11750456_s_at,11725950_s_at,11740553_a_at,11739061_at,11757303_s_at,11739937_a_at,11725951_at,11744965_x_at,11733100_at,11751970_a_at,11726179_a_at,11729757_a_at,11721931_s_at,class
GSM3507271,6.671463,5.301753,2.821044,4.838767,5.068662,7.156078,4.232573,5.44471,3.963821,4.40204,3.683013,4.258347,4.47209,5.570061,5.030946,4.497303,3.489177,3.131678,7.469398,6.212667,3.654702,7.308282,2.93854,5.228302,6.555672,5.016153,6.101951,5.75909,7.784389,3.760947,2.654739,6.859739,6.911497,4.584973,8.202787,5.577908,4.412959,3.821878,6.501916,3.355014,6.729552,2.795707,5.817508,9.657129,4.611142,6.256821,10.07389,3.944598,2.94054,3.388997,5.139079,4.291002,2.819061,4.21344,4.051919,8.93672,6.938108,4.694306,5.920633,3.983382,7.051441,5.978632,6.538072,6.397884,5.344381,6.029034,4.439455,6.556496,7.265758,4.273282,4.03641,4.072957,8.777943,7.344651,6.930413,7.437702,5.028982,3.906263,7.111478,4.160808,3.453895,7.170287,2.960299,8.517242,3.593318,5.657017,4.740537,4.234953,9.206068,6.70319,5.49177,9.697365,3.879519,8.381459,6.177919,3.727106,4.149945,2.09457,3.098187,5.536302,SONFH
GSM3507272,7.253507,6.899008,3.95043,6.150851,6.2452,9.3104,4.516967,5.476294,4.308332,4.693245,4.437718,4.242649,5.989056,6.91692,6.195824,6.934491,5.729138,3.395152,8.1288,6.655234,4.895868,6.790083,3.479913,6.083708,7.581242,5.534777,6.663391,7.459617,8.702602,5.144231,2.746173,7.537107,8.361156,4.298989,9.070396,6.660827,5.354078,5.162703,7.642763,4.478549,7.520038,3.377155,7.146649,10.31515,4.84944,6.683976,10.51711,4.662112,3.294722,4.040947,5.77958,4.163648,3.080651,4.362762,4.497022,10.04448,7.288918,4.545519,6.936689,3.598873,6.724878,8.341972,8.55699,6.918803,5.580379,5.859728,4.40209,6.976209,8.012141,6.044166,4.608177,4.0664,9.300608,8.219324,7.386485,7.584975,4.676478,3.678296,7.986685,4.211801,3.989251,8.01102,3.539013,8.934809,3.018955,5.914338,5.564387,4.724625,9.273785,6.316238,6.091065,9.12152,4.529329,9.079472,6.761786,4.436538,5.098299,2.444111,3.527794,6.542601,SONFH
GSM3507273,6.46782,4.152866,2.559262,4.742831,4.83417,6.184172,2.925758,5.552033,3.010317,3.053781,3.24222,3.755306,4.300869,5.558336,4.855398,4.188431,3.204396,3.026092,7.546344,5.819553,3.517394,7.247553,3.072461,4.831132,5.774313,3.755228,5.672402,5.235222,6.912509,3.315599,2.308523,6.141274,7.528316,3.989469,6.910331,4.931798,4.777865,3.15204,6.393947,3.402651,6.122465,2.764846,5.503726,8.446341,3.963623,6.265675,8.739689,3.670109,3.198229,3.191531,4.246139,3.598631,2.683244,4.148651,4.047976,7.913461,6.640056,3.782223,6.299728,3.252464,6.302489,5.782531,4.686131,6.707986,5.065058,5.29575,3.890435,6.475679,6.897778,4.608815,3.5956,3.21107,9.048298,7.191471,6.580748,7.63829,4.723557,3.349485,7.027528,3.902708,3.034618,7.063629,3.21107,8.606713,2.562407,5.366098,4.614843,4.008227,8.616445,6.161215,5.109179,9.312568,3.997064,8.005426,6.061973,3.639162,3.535166,2.608143,3.526427,6.037952,SONFH
GSM3507274,6.968468,6.496937,3.742804,5.532683,5.706487,8.551279,3.102006,5.332963,2.767645,3.143678,3.013258,4.357645,5.295994,5.409657,6.047169,4.317563,3.357098,3.346473,7.920651,5.515204,4.579668,6.839543,3.161209,5.136431,6.792515,5.223468,6.444976,6.430871,8.018421,3.960451,1.974037,7.143706,7.821498,4.338246,8.396905,5.607707,4.651412,3.946296,6.785876,3.537982,6.789797,2.6265,6.04647,9.584087,4.778452,6.322739,9.988773,4.004106,3.347288,3.761288,5.170318,3.780663,3.06476,4.401935,3.760232,9.384713,7.072891,4.146002,6.532462,3.402453,7.183004,7.270885,7.038401,6.757987,5.484642,6.225322,4.346768,6.728236,7.113355,4.586879,4.136794,3.204577,9.035435,7.963388,6.744024,7.411797,5.034617,4.067953,7.284629,3.762812,3.371227,7.239789,3.057498,8.709826,2.731245,5.591489,5.096307,3.881344,9.084515,6.44034,5.278515,9.609554,4.172988,8.393703,6.087841,3.730939,4.511564,2.672911,3.582432,5.679752,SONFH
GSM3507275,6.948892,4.570847,3.073778,5.338823,5.550494,6.603584,2.965102,5.05196,3.610398,3.518832,3.339901,3.610398,4.300148,6.071345,4.610701,4.329324,3.264879,2.917132,7.913,5.972662,3.919001,6.133822,3.008795,4.827868,6.294672,5.096449,6.355433,5.41304,7.255264,3.65721,2.195008,7.038528,8.083108,3.936953,7.300732,5.593753,4.623293,4.06544,6.727419,3.569896,6.474762,2.307642,5.771546,9.952936,4.798044,6.402718,10.18021,3.860588,2.811163,3.959326,4.785198,3.431351,2.523713,3.933386,3.914464,8.38487,6.987741,4.104525,6.6385,3.126301,6.607511,6.626585,6.700698,6.830456,5.156554,5.506235,3.981748,6.335746,7.523205,5.231777,3.742808,3.90451,8.780544,8.096391,6.888882,8.457475,4.386145,3.879283,7.427766,3.940983,3.081068,7.482767,3.748323,8.783916,3.405998,5.350813,4.3623,3.802058,9.031585,6.155024,5.405838,9.161128,4.199463,8.546038,6.281129,4.094673,3.344147,2.433944,3.128495,6.008708,SONFH
GSM3507276,6.491048,6.960538,4.058296,5.477331,5.939815,9.265087,4.471865,6.222085,4.400035,4.56917,4.446713,4.70312,5.394965,7.153365,6.365538,5.164362,4.194556,3.562482,7.597009,6.743546,4.990397,1.784517,3.327925,6.174825,7.165879,5.68353,7.027824,6.60738,8.182369,4.213681,2.733624,7.754186,8.064208,4.932409,9.091973,6.390875,5.51722,4.226755,7.647061,4.669847,7.552023,3.185671,6.893847,10.46688,5.049681,6.694462,10.49583,4.464268,3.455617,4.990398,6.012381,3.93124,3.342689,4.432614,4.9198,9.944806,7.559801,4.765626,6.713054,3.624565,6.974148,7.808486,7.911192,7.051393,5.477578,5.907138,4.034003,7.174129,7.842846,5.963995,4.297581,5.219531,9.30517,8.815191,7.13682,7.536479,5.061543,3.774719,7.999129,4.457359,4.236717,8.069239,4.026885,8.998783,3.792269,6.149482,5.414707,4.922616,9.218361,5.958004,5.458476,9.310822,4.531076,8.935375,6.628918,4.582853,5.507665,2.526602,3.290595,6.573023,SONFH
GSM3507277,7.145371,6.345305,3.5304,4.716209,5.082499,8.554638,4.107971,5.423254,3.281736,3.614296,3.740331,4.273351,5.231647,6.391724,5.724529,4.624891,3.566478,3.42391,7.67784,6.287416,4.095666,1.989804,3.39474,4.910707,6.59126,5.600205,5.757517,5.046905,7.414392,2.852599,2.537245,6.174826,7.814914,4.331591,7.462667,5.674395,4.790318,4.124697,7.273733,3.978375,6.829287,3.040433,5.955431,8.782907,4.580241,6.278877,8.897326,3.798147,3.205007,4.144532,5.077928,4.246664,3.240797,4.080474,4.182867,8.568962,6.752137,4.247816,6.552822,3.71825,6.315397,8.111986,7.604103,6.542106,4.805278,5.950738,4.395088,6.607995,7.977516,4.387247,4.265084,3.933858,9.013119,7.598738,6.44435,7.67116,4.813665,3.602817,7.793752,3.897214,3.175046,7.615685,2.832715,9.065889,3.061165,5.524337,4.914893,4.292656,8.795056,6.571863,5.612035,8.77617,4.113383,9.190088,6.38443,3.687729,5.425754,2.662716,3.078575,6.212906,SONFH
GSM3507278,6.624227,5.658277,3.336871,5.027017,5.153518,7.886028,3.85202,4.900318,3.647807,3.809206,3.923918,4.018152,4.81335,5.79013,5.524752,4.605001,3.671484,2.902276,7.602105,5.81347,4.258244,1.918864,3.02649,4.865082,6.49107,4.546745,6.172147,5.823688,7.340961,3.701809,2.430401,6.937925,7.769364,3.756613,7.689041,5.337181,4.862813,3.387009,6.485283,4.040082,6.467524,2.650435,5.668515,9.476717,4.372185,6.444533,9.833584,3.661518,3.097924,4.431397,5.204861,3.833816,2.787977,3.844455,4.26777,8.907206,7.191383,4.207051,6.525167,3.550088,6.59495,7.568992,8.438145,6.853053,5.314512,5.957006,4.118686,6.597328,7.128854,5.056596,4.152316,3.955306,9.354612,8.058284,6.81403,8.111587,5.062961,3.947001,7.161067,3.868211,3.506252,6.999716,3.444667,8.344352,3.286194,5.063584,4.785225,4.418894,9.042021,6.298502,5.524102,9.134028,3.849463,8.33132,5.927165,3.765986,4.530282,2.394407,3.401601,5.842232,SONFH
GSM3507279,6.748333,6.230299,3.363454,5.92215,6.04865,8.147943,3.489764,5.67063,3.400201,3.193251,3.223841,4.122779,5.169234,6.679649,6.257792,3.671837,3.080091,3.399924,7.605025,5.904787,4.87969,1.702125,3.503551,5.495225,6.592198,5.527439,6.118311,6.742066,7.760335,4.126649,2.341109,6.917714,7.746952,4.306304,8.80877,5.610835,4.957397,4.320364,7.031237,3.930413,6.66732,3.028523,6.291786,10.42273,5.351242,6.437242,10.71478,4.086593,3.446726,4.025765,5.552985,4.082909,3.240521,4.407391,3.967831,9.786613,7.313852,4.293061,6.395905,3.778838,6.89851,7.550098,7.789845,6.808015,5.336843,5.636015,4.303916,6.811775,7.503598,5.088427,3.998596,4.652602,8.653014,9.029938,7.082709,7.834045,4.913689,3.819417,7.568368,4.519261,3.386292,7.657022,3.117275,8.917953,3.697908,5.734296,4.599977,4.659552,9.073535,6.316838,5.369424,9.322155,4.235972,8.711763,6.189318,3.816688,4.354802,2.589404,3.525298,6.283644,SONFH
GSM3507280,6.890675,6.866009,3.411042,6.080238,6.33137,8.943629,3.139657,6.797238,3.581956,3.617446,3.378216,4.253321,6.054969,6.06615,6.28026,5.747341,4.391435,3.370419,7.939568,5.959519,4.803596,6.830643,3.434302,6.322495,7.015173,6.314004,6.955084,6.284457,8.626495,4.02397,2.449169,7.558309,8.051453,4.582406,9.189683,6.049852,5.170506,4.914814,7.551071,3.982285,7.145368,2.911128,6.76781,10.46008,5.336146,6.788842,10.74811,3.929962,3.017723,4.1436,6.514118,3.727551,2.96257,4.293758,3.815456,10.14357,7.396172,4.253321,6.745708,3.312196,7.02179,8.457012,7.146573,7.016526,5.617781,6.193174,4.510505,6.649966,7.810738,5.580114,4.686812,3.841945,8.977494,8.366544,7.165424,7.350899,5.048944,4.17344,7.64052,4.225399,3.17205,7.574314,2.974295,8.630248,2.948992,5.480533,5.304803,4.48447,9.301883,6.300928,5.337564,9.719635,4.086111,9.023949,6.32717,4.253321,4.625617,2.507184,3.701867,6.098329,SONFH
GSM3507281,6.616931,6.540123,4.513814,5.19217,5.350638,8.874056,3.852072,5.554918,3.985134,3.807296,4.527597,3.484402,5.111201,6.017539,6.315964,4.46696,3.342111,3.369162,7.664696,5.864393,4.020287,2.070648,3.288141,5.337018,6.888073,4.96952,5.720305,6.089514,8.120125,3.892977,2.411228,6.469869,7.998034,3.7863,8.203978,5.891819,4.768584,4.515985,7.26345,4.613138,7.081481,2.629713,6.371047,8.923876,4.013102,6.651104,9.068115,3.931457,3.183781,4.313287,5.168467,3.804345,3.102261,4.175309,4.368705,9.362648,6.901483,4.452913,6.732965,3.421411,6.454331,7.475511,6.990975,6.925195,5.089015,5.657194,4.427542,6.229279,7.647242,5.088181,3.876408,4.293196,9.643902,7.484087,7.274586,8.09746,4.557678,3.707727,7.332584,3.830452,3.324592,7.341396,3.324592,8.631214,3.50926,4.94713,5.028231,4.560327,8.814497,6.231297,5.434366,8.852904,4.040065,8.941359,6.300109,3.503087,3.667765,2.398859,3.195714,5.998824,SONFH
GSM3507282,6.547741,7.065508,3.895239,5.721687,5.951484,9.192338,4.397248,6.045924,4.625573,3.857323,4.747499,4.635768,5.394152,6.974771,6.036865,5.441368,4.174288,3.74971,7.651781,6.505732,4.220836,1.710112,3.137471,5.708497,7.04226,5.487684,6.782055,6.630012,8.250664,3.92638,2.587671,7.573271,7.897597,4.693806,8.509572,5.853504,5.102699,4.507343,7.315697,4.53791,6.972324,3.330983,6.577296,10.11455,4.889334,6.639564,10.48673,4.234454,3.594574,4.281984,5.808995,3.487959,3.25692,3.849151,4.772542,9.451748,7.265363,4.554625,6.469327,3.300123,6.902657,7.405936,7.449553,7.253091,5.643186,5.923911,4.520686,6.49247,7.527601,5.527509,4.324171,4.351373,9.025109,8.588601,7.15788,8.102803,4.63438,3.927296,7.647748,4.542901,3.893423,7.530806,3.807338,8.801384,3.50246,5.314528,5.307911,4.648279,9.187263,6.154831,5.537881,9.380613,4.216082,8.611074,6.494697,4.651462,5.206049,2.687671,3.276389,6.361383,SONFH
GSM3507283,6.951798,6.808247,3.520629,5.707522,5.876096,8.950917,4.429269,6.265471,4.439675,4.60832,4.762809,3.883133,5.731286,6.591382,5.74302,3.821526,3.223184,3.489721,7.689877,6.622631,4.126191,2.179529,3.224248,5.25048,7.119857,5.344581,6.28185,6.574541,7.696759,4.341509,2.478402,6.940882,7.796507,4.108922,8.009077,6.321568,5.126984,4.064013,7.469562,4.422647,7.280547,3.047583,5.878317,10.01462,4.576818,6.357969,10.4342,4.08909,3.109078,4.446715,5.173782,4.735357,3.033031,4.485257,4.327404,8.91006,7.022964,4.406736,6.426492,4.292396,7.263013,7.281087,6.510966,6.644144,5.158148,6.267113,4.664718,6.598503,7.376732,4.608067,4.550145,4.603004,9.004599,8.253588,7.085824,7.838542,5.569379,3.845381,7.278055,3.725566,3.459707,7.59461,3.17604,9.000291,3.77579,5.68015,4.585556,4.733098,9.108592,6.451752,5.33077,9.905036,4.173953,8.535936,6.644143,3.952113,4.679257,2.649114,3.677877,6.294755,SONFH
GSM3507284,7.067772,6.553893,4.026604,5.727777,5.742698,8.824343,4.055501,6.059195,3.968398,4.140141,4.105603,4.359681,6.096946,7.46185,6.797999,6.233052,4.924174,3.797955,7.89125,6.972959,5.459304,2.045525,3.362777,5.641809,7.285664,5.652377,6.856833,6.972784,8.043908,3.915591,2.298662,7.612166,7.885296,4.377028,8.446469,6.486156,5.23889,4.25156,7.665989,3.832811,7.330825,3.338664,6.307533,10.43255,4.750635,6.486989,10.75826,4.305495,3.410108,3.839106,5.523571,4.30547,3.394572,4.291267,4.342095,9.325856,7.210109,4.785942,6.618941,3.934214,6.783811,7.95998,7.624735,6.660737,5.273617,5.987928,4.722621,6.414811,7.25309,5.701375,4.162919,4.4142,9.205286,8.919185,7.243121,7.141973,4.95916,4.015304,7.447921,4.603224,4.2982,7.914803,3.46148,9.10817,3.396453,5.343344,5.480404,4.631298,8.861847,6.276237,5.719687,8.954122,4.297664,8.324738,6.942601,4.376895,5.194626,3.115096,3.341926,6.850235,SONFH
GSM3507285,6.615889,7.097771,3.985791,5.857344,5.969129,9.176745,3.077763,4.996724,3.45223,3.366441,3.465465,4.081248,4.407031,6.196296,5.475699,5.146425,3.720728,2.970061,7.12491,6.171326,4.072704,1.964639,3.839411,5.639433,6.541119,5.51922,6.414884,5.809913,7.085709,3.434508,2.399934,6.848395,7.455119,4.259914,8.257353,5.726033,4.632123,3.088297,6.995868,3.9726,6.682262,3.016807,5.78405,10.45752,5.066713,6.483362,10.96343,4.370018,3.638686,4.01412,5.159449,4.131158,3.169238,4.131406,3.913893,9.626581,7.109454,4.316087,6.231077,3.573317,7.553051,6.182378,7.638464,7.076227,5.278267,6.452776,5.261656,6.424312,6.972347,5.153374,4.208113,4.194556,9.848693,8.809792,6.712625,7.998357,5.249557,4.28716,7.365354,3.796167,3.593464,7.086131,3.099615,8.338032,3.165799,5.70365,4.756647,3.956218,9.234442,6.410071,5.291645,9.339289,4.153481,8.295631,6.050975,3.657036,3.951584,2.2438,3.523283,5.97438,SONFH
GSM3507286,7.001291,7.158306,4.402712,6.936872,7.158306,9.205025,3.85202,6.460445,4.352162,4.18863,4.377775,3.947022,6.25743,6.972721,6.711511,5.287119,4.266978,3.812236,8.045531,6.30535,5.141735,7.321263,3.56273,6.328788,8.199724,6.011116,7.044266,7.877003,8.716202,5.341598,2.376284,7.737912,8.346677,4.668232,9.38648,7.498852,5.180133,4.908184,8.537325,4.204473,8.342616,3.438988,7.02925,11.13548,5.014476,7.024973,11.48768,4.139173,4.098908,4.034685,6.033881,3.71809,3.361388,4.570354,4.506388,10.35173,7.844945,4.844295,6.889867,3.159144,7.750576,8.53601,8.525738,7.692191,5.888935,5.992702,4.828517,6.730274,7.975481,4.855623,4.388962,4.596647,9.02368,9.164946,7.095581,8.034163,5.048082,3.774364,7.896251,4.5734,3.94639,7.876486,3.82031,9.055246,3.578842,5.702008,4.608068,5.038754,9.451284,5.978419,5.689295,9.977268,4.242143,9.079155,6.636477,4.421862,4.891024,2.711262,3.952845,6.447851,SONFH
GSM3507287,6.987307,4.36996,2.275557,5.289939,5.368217,6.112896,2.200666,4.471683,2.570975,2.734373,2.177749,3.562318,4.214427,4.710593,4.26509,2.880813,3.178089,2.908394,7.251685,5.566396,3.51472,1.966878,2.846993,4.846774,5.104703,4.947149,5.957849,5.597427,7.318949,3.149186,2.162846,6.200106,6.934464,3.707067,8.211864,4.676991,3.872881,3.099435,5.965093,3.01344,5.53676,2.376323,4.985676,5.954187,4.358627,6.459586,6.249378,3.245676,2.673767,2.792393,4.608193,4.220371,2.531859,4.311928,3.188507,9.234942,6.381038,3.62855,5.82809,3.910272,7.152774,5.287649,5.852207,7.022358,4.969728,6.210512,4.541277,6.5439,7.442626,4.725712,3.838902,2.81731,9.532143,4.710471,7.257562,7.772787,5.382301,4.353748,7.339739,3.41297,3.275097,6.580819,3.20808,8.331266,2.278702,5.245767,4.807492,3.161264,9.482734,6.101607,5.10047,9.730105,3.21107,8.68305,5.566166,3.899338,2.621022,2.255185,3.106736,5.395611,SONFH
GSM3507288,6.57357,7.675887,3.444114,5.915339,6.107604,9.580579,3.489177,5.310865,4.335145,3.730539,4.279156,4.257176,5.39886,6.75707,6.097696,3.123618,2.449622,3.132211,7.566298,6.335747,4.922527,1.981822,3.256579,5.937074,7.780091,6.269619,6.822477,6.759921,8.123962,4.146059,2.287337,7.538667,7.668612,4.289078,8.952868,6.99957,5.315886,4.703149,8.181221,4.15166,7.770802,3.406084,6.445396,10.52617,4.976168,6.597571,10.76889,4.115616,3.219301,4.235908,6.50542,4.204945,3.051601,4.016006,4.009066,10.00245,7.545308,4.573136,6.318677,3.889406,7.046006,7.716718,7.418242,7.248241,5.61063,5.978042,3.885224,6.35596,7.9291,4.590471,4.246078,4.227295,9.048363,8.280446,6.832128,7.96354,5.324714,3.873008,7.781403,4.264318,3.331297,7.746659,3.774301,8.856338,3.473897,5.290365,4.595847,4.379085,9.257335,5.989863,5.358739,9.867711,4.133229,8.944551,6.54252,3.865909,4.796231,2.419433,3.681629,6.260604,SONFH
GSM3507289,6.808963,4.295212,2.771017,4.202876,4.25801,6.320032,2.745396,4.750866,2.467819,2.732993,2.751467,3.071171,4.018017,5.208559,4.307806,3.740793,3.039655,2.806514,7.279654,5.090228,4.010991,1.553927,2.784703,4.492543,5.434788,3.577871,5.715623,4.425797,7.083053,2.400103,2.54469,5.64831,7.207874,3.571673,6.749258,4.679063,4.195746,3.582142,6.07658,3.123992,5.941665,2.352494,5.240688,7.500126,4.120676,6.119083,7.526284,3.494107,2.742607,3.221084,3.695545,3.264906,2.46957,4.090373,3.464473,8.100471,6.804916,3.886311,6.106836,2.981179,6.630245,5.567346,6.319193,6.556128,4.972619,6.331813,4.286482,6.258892,7.023194,5.252659,3.440214,3.22807,9.333893,6.291503,7.219616,7.448299,4.458796,4.335757,6.741886,3.218281,3.396422,6.396073,2.979123,8.177643,2.721918,4.988127,5.171601,4.135596,8.952028,6.295089,5.245008,9.199666,3.511128,8.209413,5.477201,3.881283,2.844501,2.226396,3.134083,5.378855,SONFH
GSM3507290,7.534061,6.799548,4.370438,6.527347,6.458095,9.223511,4.582941,7.339511,4.368131,4.904764,4.501051,4.473345,6.428609,7.791626,6.589221,6.042889,4.776959,3.724193,8.859597,6.728426,4.981754,2.004308,3.621176,5.798597,7.991644,6.590305,6.983721,6.80025,7.83715,4.161176,2.379801,8.035418,9.230273,4.47004,8.921322,7.291437,5.491191,4.0235,8.531721,3.579793,8.143235,3.48144,6.068933,11.05136,4.902402,6.587056,11.21272,4.204382,3.645515,4.470393,6.695682,4.220367,3.320332,4.450017,4.289851,9.823279,7.342761,4.650485,7.760852,3.849111,6.797102,8.80049,9.20792,6.927341,5.743814,5.649732,4.426201,7.079533,7.543859,5.87209,4.642376,4.17467,9.554061,9.454481,7.461917,7.5115,5.173041,3.696938,7.617995,4.778483,4.02707,8.288409,3.551079,9.426714,2.947759,5.710696,5.373785,4.755841,9.052432,5.991033,6.143995,8.929908,4.472556,8.386076,6.891121,4.245462,5.336444,3.083737,4.035207,6.917288,SONFH
