gene_symbol,selected_probe_count,probe_ids,probe_types,max_abs_fold_change,mean_abs_fold_change,direction_consistency,notes
RNF11,2,11749608_a_at | 11722031_s_at,_a_at | _s_at,1.8805,1.6742,consistent,
CLIC2,2,11734784_a_at | 11734783_at,_a_at | _at,1.8548,1.6259,consistent,
VCAN,5,11748164_a_at | 11755009_s_at | 11742208_a_at | 11748311_s_at | 11757783_s_at,_a_at | _s_at | _a_at | _s_at | _s_at,1.8533,1.7038,consistent,5 probes selected — high representation
TGFBI,3,11734549_s_at | 11755281_a_at | 11734550_x_at,_s_at | _a_at | _x_at,1.8439,1.7888,consistent,3 probes selected — high representation; contains _x_at probe (cross-hybridising — interpret with care)
ACSM3,1,11727427_a_at,_a_at,1.8384,1.8384,single,
BNIP3L,4,11757303_s_at | 11753422_a_at | 11748909_a_at | 11717008_a_at,_s_at | _a_at | _a_at | _a_at,1.8325,1.502,consistent,4 probes selected — high representation
FAM198B,3,11741223_s_at | 11757534_s_at | 11739379_a_at,_s_at | _s_at | _a_at,1.831,1.7736,consistent,3 probes selected — high representation
GYPE,1,11735856_s_at,_s_at,1.8224,1.8224,single,
TGM2,1,11718399_s_at,_s_at,1.821,1.821,single,
SHTN1,1,11735039_s_at,_s_at,1.8001,1.8001,single,
DPCD,1,11719122_at,_at,1.7978,1.7978,single,
PRDX2,5,11745463_x_at | 11715409_a_at | 11741148_a_at | 11715410_x_at | 11745462_a_at,_x_at | _a_at | _a_at | _x_at | _a_at,1.7909,1.7458,consistent,5 probes selected — high representation; contains _x_at probe (cross-hybridising — interpret with care)
ARG2,1,11757776_s_at,_s_at,1.7889,1.7889,single,
DCUN1D1,2,11726326_a_at | 11751625_a_at,_a_at | _a_at,1.784,1.7527,consistent,
PELI1,4,11733060_a_at | 11745912_a_at | 11733061_s_at | 11744529_a_at,_a_at | _a_at | _s_at | _a_at,1.783,1.567,consistent,4 probes selected — high representation
PBX1,3,11757871_s_at | 11758070_s_at | 11719414_a_at,_s_at | _s_at | _a_at,1.7808,1.6415,consistent,3 probes selected — high representation
HACD1,1,11729887_at,_at,1.7772,1.7772,single,
FGFR1OP2,2,11744747_a_at | 11744748_x_at,_a_at | _x_at,1.7735,1.7372,consistent,contains _x_at probe (cross-hybridising — interpret with care)
CFD,1,11725980_at,_at,1.7666,1.7666,single,
HAL,3,11735177_at | 11751231_a_at | 11752202_a_at,_at | _a_at | _a_at,1.7646,1.5767,consistent,3 probes selected — high representation
PAGE2 /// PAGE2B,1,11729979_s_at,_s_at,1.7626,1.7626,single,
MMP8,1,11729349_at,_at,1.7622,1.7622,single,
SDPR,1,11725695_s_at,_s_at,1.7583,1.7583,single,
WLS,3,11733513_a_at | 11718760_a_at | 11745018_a_at,_a_at | _a_at | _a_at,1.7548,1.4027,consistent,3 probes selected — high representation
MS4A7,1,11740871_a_at,_a_at,1.7521,1.7521,single,
ARHGEF12,2,11750580_x_at | 11731442_at,_x_at | _at,1.748,1.6222,consistent,contains _x_at probe (cross-hybridising — interpret with care)
OLIG1,1,11721241_at,_at,1.743,1.743,single,
TRAK2,3,11716784_at | 11716786_s_at | 11716785_at,_at | _s_at | _at,1.7397,1.5876,consistent,3 probes selected — high representation
GLRX5,3,11721674_s_at | 11721673_at | 11721675_x_at,_s_at | _at | _x_at,1.738,1.7053,consistent,3 probes selected — high representation; contains _x_at probe (cross-hybridising — interpret with care)
LILRA1,1,11759824_a_at,_a_at,1.7076,1.7076,single,
ST6GALNAC4,1,11754274_a_at,_a_at,1.7038,1.7038,single,
TMOD1,2,11732501_a_at | 11754381_a_at,_a_at | _a_at,1.7018,1.6732,consistent,
SPTA1,1,11734314_at,_at,1.6999,1.6999,single,
MOSPD1,1,11747759_a_at,_a_at,1.6872,1.6872,single,
NEDD4L,2,11758571_s_at | 11722424_a_at,_s_at | _a_at,1.6858,1.6741,consistent,
KCTD12,1,11715948_at,_at,1.6836,1.6836,single,
CXCR2 /// CXCR2P1,1,11731426_s_at,_s_at,1.6768,1.6768,single,
TNFAIP2,1,11717823_s_at,_s_at,1.6751,1.6751,single,
REXO2,4,11751359_a_at | 11751360_x_at | 11746951_a_at | 11717517_s_at,_a_at | _x_at | _a_at | _s_at,1.6743,1.5654,consistent,4 probes selected — high representation; contains _x_at probe (cross-hybridising — interpret with care)
C9orf40,2,11725148_at | 11725149_at,_at | _at,1.6696,1.5124,consistent,
TPM1,2,11761349_x_at | 11745803_x_at,_x_at | _x_at,1.6696,1.6506,consistent,contains _x_at probe (cross-hybridising — interpret with care)
MPEG1,1,11721347_a_at,_a_at,1.6695,1.6695,single,
SPTB,2,11729971_at | 11729970_a_at,_at | _a_at,1.6657,1.5716,consistent,
HPS1,1,11727901_a_at,_a_at,1.6638,1.6638,single,
EPB41,1,11739122_a_at,_a_at,1.6586,1.6586,single,
TSPAN5,1,11759404_at,_at,1.6489,1.6489,single,
IL13RA1,1,11727905_a_at,_a_at,1.6465,1.6465,single,
SMOX,1,11741507_a_at,_a_at,1.6366,1.6366,single,
TCP11L2,1,11737373_at,_at,1.6354,1.6354,single,
CITED2,1,11753421_a_at,_a_at,1.6341,1.6341,single,
ELL2,1,11736478_a_at,_a_at,1.633,1.633,single,
SLC6A10P /// SLC6A10PB /// SLC6A8,1,11730162_s_at,_s_at,1.6298,1.6298,single,
SLC1A5,2,11716866_x_at | 11716865_a_at,_x_at | _a_at,1.6273,1.5456,consistent,contains _x_at probe (cross-hybridising — interpret with care)
STOM,5,11715792_a_at | 11720604_x_at | 11720603_a_at | 11749061_x_at | 11749252_a_at,_a_at | _x_at | _a_at | _x_at | _a_at,1.627,1.342,consistent,5 probes selected — high representation; contains _x_at probe (cross-hybridising — interpret with care)
GSPT1,2,11742750_a_at | 11718223_a_at,_a_at | _a_at,1.6243,1.5712,consistent,
CACNA2D3,1,11730501_a_at,_a_at,1.6132,1.6132,single,
RNF14,2,11719392_a_at | 11748139_a_at,_a_at | _a_at,1.6043,1.4342,consistent,
CXCR2,3,11731424_x_at | 11731423_at | 11731425_at,_x_at | _at | _at,1.6038,1.5431,consistent,3 probes selected — high representation; contains _x_at probe (cross-hybridising — interpret with care)
EPB42,1,11725009_a_at,_a_at,1.588,1.588,single,
GMPR,1,11720202_at,_at,1.5856,1.5856,single,
EPB41L3,2,11727143_x_at | 11727141_s_at,_x_at | _s_at,1.5818,1.5425,consistent,contains _x_at probe (cross-hybridising — interpret with care)
FRY,1,11726384_at,_at,1.5816,1.5816,single,
YPEL4,1,11755945_a_at,_a_at,1.5806,1.5806,single,
MSI2,2,11733375_a_at | 11746497_a_at,_a_at | _a_at,1.5805,1.5075,consistent,
