sample,11720807_x_at,11729582_s_at,11739787_a_at,11740680_s_at,11719581_a_at,11756003_x_at,11736395_a_at,11729583_x_at,11742315_s_at,11742143_s_at,11732236_a_at,11725497_a_at,11736538_s_at,11731448_a_at,11737280_at,11745557_x_at,11736696_a_at,11728138_at,11729920_at,11720494_a_at,11745299_x_at,11727807_at,11753827_x_at,11732235_a_at,11753662_x_at,11739340_at,11728137_at,11721930_a_at,11728821_a_at,11733360_x_at,11737268_s_at,11752881_s_at,11746263_a_at,11727808_s_at,11752701_s_at,11739338_at,11727970_a_at,11751870_x_at,11723952_at,11715893_s_at,11750918_a_at,11737267_a_at,11722470_x_at,11754453_s_at,11727969_a_at,11745661_x_at,11725438_a_at,11715752_at,11733482_a_at,11758559_s_at,class
GSM3507261,7.348971,8.029869,7.511794,5.360209,6.499444,6.034967,6.668604,10.03589,5.399213,5.24435,4.387359,6.010363,5.473756,5.687101,6.983402,7.588062,7.3409,4.977634,5.362446,4.928712,6.566738,4.192734,7.618907,3.53185,7.544605,7.005141,6.972246,6.799774,3.509724,6.685648,4.571021,4.462551,6.495412,8.323676,4.614196,10.07578,5.017324,3.257329,9.756516,7.134357,3.279409,5.19355,5.019698,7.436287,6.661079,4.02115,10.049,4.876936,4.677485,6.660153,SONFH
GSM3507262,6.872732,5.892376,5.841602,4.026553,5.256474,4.391205,5.425634,7.734711,3.914541,3.559244,3.257445,6.203434,4.239,4.648804,5.765496,7.151614,6.142632,4.182483,4.652583,3.867742,6.310062,3.704502,7.412294,2.832825,7.091276,5.328384,6.698895,5.878298,2.636498,4.553928,3.46384,3.499261,5.302362,7.274448,3.854476,8.66513,4.578715,3.033471,6.724104,9.746211,2.824678,4.162182,5.142409,6.961617,4.481072,3.407596,9.630836,3.865306,3.631875,6.243791,SONFH
GSM3507263,1.895934,6.357855,3.454026,4.122661,5.56743,2.629454,5.853455,7.936018,4.061825,3.986739,3.082059,5.629105,4.287332,5.185414,5.444769,6.10446,5.677398,3.705979,3.45192,4.152143,5.092534,4.573884,6.838343,2.716825,6.471692,5.203594,5.968571,5.616245,3.399229,5.517046,3.737396,3.764917,6.384646,8.152134,3.539434,8.127307,5.064581,2.687516,6.300946,7.513673,2.832097,3.636684,5.259151,6.748917,5.050008,3.014268,10.04505,3.965635,3.854002,6.531103,SONFH
GSM3507264,2.022185,7.647568,4.700214,6.666329,6.39904,3.634228,6.654564,9.625836,6.911032,6.652365,5.026544,7.788359,6.727611,6.22824,7.586383,7.847679,6.882507,5.021579,5.798986,5.197101,7.070482,5.490027,8.174681,3.926202,7.916132,6.484187,7.538866,7.421181,4.376145,7.339499,6.082832,6.038521,7.759311,8.958973,6.021095,9.605961,5.931803,3.361495,8.777836,5.865071,4.413755,6.569242,5.812201,8.230638,7.299377,4.045111,11.50926,5.084467,5.151707,7.350638,SONFH
GSM3507265,6.322971,6.044831,5.654072,3.755726,5.248614,4.450103,5.390971,8.213433,3.934916,4.083924,3.234363,5.725797,3.64654,5.156443,6.532186,6.782932,5.821066,3.938775,4.14485,3.00006,5.813671,3.668936,7.298638,2.923247,7.17417,5.900751,6.385235,6.217379,2.911801,6.10423,4.410234,4.504901,6.272629,8.697266,4.377813,8.788928,4.817904,2.961711,7.594636,6.887664,2.168399,4.328242,4.831078,6.988961,6.015491,3.429505,10.20067,4.617184,3.867306,6.181753,SONFH
GSM3507266,6.477267,6.192103,5.589186,4.240118,5.126319,4.293082,5.295479,8.142019,3.773013,4.014596,4.674887,5.878715,4.320023,4.951298,6.109853,6.973584,5.373294,4.337595,4.731379,3.941891,6.115742,3.626855,7.445819,3.644565,7.156507,5.573771,6.831191,6.499221,3.252101,5.543128,3.851331,4.151103,5.490213,7.499806,3.995809,8.261452,4.497025,3.457072,7.344338,6.756175,2.838864,4.430918,5.676699,6.942388,5.491874,3.63923,9.481943,4.787493,3.767206,6.429173,SONFH
GSM3507267,8.561062,9.137469,6.276664,7.058991,7.843822,4.93802,8.175428,11.15972,7.007771,6.8931,6.209755,7.853909,7.038011,8.500845,8.200353,9.283711,8.302632,6.487824,7.2819,5.520383,8.495777,7.629137,9.523748,5.100673,9.460415,8.355974,8.730539,7.952275,4.924377,7.554334,6.186172,6.154395,9.357575,10.75004,6.29183,10.96422,6.368236,4.553008,8.772929,7.694108,4.395325,6.691175,7.462889,9.136403,7.722838,4.822593,12.08802,6.049227,5.248832,8.331117,SONFH
GSM3507268,1.977812,7.440827,5.831266,5.427076,5.868097,4.689584,6.018924,9.547366,5.569217,5.285665,4.361207,5.563437,5.356351,6.185628,7.287712,7.491152,6.684973,4.432722,5.38205,5.096158,6.834987,5.549505,8.109787,3.530823,7.811842,6.574796,6.912841,7.019749,3.475272,6.607591,5.306379,5.213634,7.68838,9.101046,5.401955,9.463762,5.705312,3.168643,8.296986,7.905624,3.257133,5.453307,6.04863,8.159339,6.751574,3.565039,10.57001,4.492987,4.430971,7.046076,SONFH
GSM3507269,2.07065,9.44371,4.15519,6.677179,7.375178,3.463482,7.546083,11.55481,6.725204,6.602256,4.792474,7.893944,6.535829,7.617148,8.369887,8.760581,7.528806,6.214377,6.314605,4.351716,7.675254,6.314605,8.967167,4.731904,8.647985,7.370718,8.710194,8.223253,5.014758,7.861289,6.160717,6.120269,8.441736,9.625719,6.31284,10.28561,6.83489,4.187125,10.09633,6.24306,4.561256,6.958321,7.237003,8.991003,8.248598,4.363375,12.25891,5.394172,5.407345,7.743449,SONFH
GSM3507270,7.218552,6.456463,5.193295,3.80923,5.616198,3.851331,5.742698,8.464096,3.786714,3.40285,3.925715,5.388734,3.884629,5.402708,6.773802,7.265405,6.419287,3.645759,4.767291,3.784081,6.062538,4.460759,7.337594,3.204014,7.1883,5.964123,6.245358,6.63453,3.022767,4.754526,3.857594,4.077692,6.902388,8.695517,4.148342,8.712925,4.72331,3.216022,8.285651,5.18274,2.563476,4.399567,5.232732,7.615553,5.182376,3.282998,9.794494,4.19238,4.183275,6.79632,SONFH
