sample,11733691_a_at,11717267_x_at,11746639_a_at,11733611_a_at,11741035_a_at,11718387_s_at,11757383_a_at,11717836_a_at,11728926_at,11759407_at,11720739_s_at,11754832_a_at,11737423_a_at,11756746_s_at,11731879_a_at,11732415_s_at,11740206_x_at,11746195_x_at,11722269_a_at,11732373_a_at,11740096_a_at,11725165_a_at,11717208_at,11756361_x_at,11739069_s_at,11722387_at,11731728_at,11746456_x_at,11715617_a_at,11759416_x_at,11739813_a_at,11752282_a_at,11748839_a_at,11728961_a_at,11726384_at,11741435_s_at,11755644_s_at,11718340_x_at,11752737_a_at,11730005_a_at,11724224_a_at,11717752_s_at,11719728_s_at,11750862_a_at,11730433_a_at,11717214_s_at,11722834_x_at,11728827_at,11728424_x_at,11718260_at,11725180_a_at,11723893_s_at,11741086_x_at,11759627_at,11718568_a_at,11719686_a_at,11726636_s_at,11748615_a_at,11763557_x_at,11715462_x_at,11721499_x_at,11747020_x_at,11750585_a_at,11724645_at,11754863_s_at,11745165_a_at,11718920_a_at,11721777_at,11720392_at,11748410_a_at,11754278_x_at,11760387_at,11751304_a_at,11763426_a_at,11740553_a_at,11745779_a_at,11733938_x_at,11716765_s_at,11715423_s_at,11723468_at,11716346_at,11747992_a_at,11723153_a_at,11740652_x_at,11723842_s_at,11759205_a_at,11744862_x_at,11724005_s_at,11726019_at,11716389_a_at,11752689_a_at,11717091_s_at,11723792_at,11745768_a_at,11718078_a_at,11741190_a_at,11747190_a_at,11755086_x_at,11744180_a_at,11747203_x_at,class
GSM3507261,6.307494,6.725945,10.37362,9.293729,8.753506,7.10149,9.477053,10.12987,8.387994,7.579844,8.494108,6.566737,8.291468,8.92512,7.095916,7.509996,6.947176,8.171538,8.538054,7.99537,4.936151,4.427615,6.543681,6.513124,12.74465,8.64154,9.278523,6.620463,10.29467,4.599351,5.06666,4.737702,6.24319,6.34951,7.411629,10.57748,8.158934,10.34725,10.22827,9.224891,8.58198,9.652964,9.090958,7.956825,5.110572,8.525043,7.202229,6.628749,8.799571,7.575126,8.097452,8.08425,10.09186,7.966636,8.089336,7.354698,8.602383,7.25535,11.00798,12.69592,9.719264,8.374642,9.758809,7.444044,7.556223,9.173049,8.969765,10.31742,6.02542,8.97646,8.294992,6.497299,6.943123,9.574931,5.835931,4.614508,8.741584,10.06782,9.716582,7.479233,7.059757,6.064671,6.314117,8.328206,7.699422,9.197059,8.197846,10.68223,5.0154,8.237066,6.524261,9.786448,7.190143,8.78834,7.294719,6.758334,5.681992,8.382421,9.069775,7.088266,SONFH
GSM3507262,5.790557,7.400196,10.42938,8.775195,9.167818,7.228151,8.563728,9.361707,8.049217,7.867534,9.226085,6.67908,8.706703,8.948858,7.390216,7.669258,6.956835,8.198964,8.979628,7.741051,5.571305,4.473025,6.530493,6.876479,12.43177,8.756291,9.244055,7.062054,9.970322,5.104526,4.80247,4.928677,6.055468,4.886627,6.858186,10.53205,8.582543,10.3319,9.753707,9.709744,8.943653,9.498875,8.833686,7.115084,4.694373,8.572613,7.12952,5.752806,8.445342,7.798088,7.907023,8.064817,10.25617,7.294905,7.799573,8.075185,9.554389,6.75455,12.20468,12.38974,9.851211,8.551227,10.45268,7.181509,7.412539,9.652315,9.621831,10.13931,6.281766,9.403646,8.653537,5.994118,6.628777,10.32783,6.243028,4.893587,8.955697,9.746727,9.869686,7.632552,6.958177,6.067085,7.169011,8.320725,7.603276,9.043664,8.532141,10.45483,5.510417,8.567138,6.152547,9.756855,6.793489,8.508273,7.47777,6.877852,6.485765,8.248409,10.03218,7.752206,SONFH
GSM3507263,6.493794,6.35522,10.22285,9.171336,8.439706,7.450763,9.472809,10.72034,7.837575,7.784765,8.56298,6.488019,8.267699,8.647716,7.012744,8.19565,7.04832,8.26554,8.252172,7.771308,4.982846,4.792866,6.572036,6.659026,12.61314,8.449435,9.005145,6.778713,10.44874,5.124049,5.983624,4.353511,6.300946,5.934433,7.234509,10.58484,7.946585,10.56547,10.73903,9.169036,8.519033,8.946878,8.64348,6.381899,4.993647,8.807458,6.996904,5.830208,8.625833,7.311934,8.339977,8.475082,10.28602,6.8242,7.264864,7.239848,8.893514,7.217197,11.85511,12.89365,9.801139,8.458585,9.865984,7.66281,7.251908,9.667457,8.961844,9.956817,5.8386,8.800116,8.238267,6.331083,6.502434,10.32264,6.022537,4.318249,9.02793,9.728348,9.552684,7.04075,7.136709,6.227277,6.697799,8.525701,7.464054,8.933757,8.273356,10.69637,4.774169,8.404911,6.178375,10.23742,7.564105,8.307554,7.467165,6.865033,5.865161,7.884447,9.269529,7.374946,SONFH
GSM3507264,6.287502,6.711724,10.08393,8.414699,8.616803,6.593575,9.139855,10.29153,8.325085,7.222987,8.279549,6.301594,7.912421,8.858917,6.40164,7.195959,7.16954,7.283621,8.178242,7.953575,5.378244,4.231708,6.26806,6.363978,12.14958,8.801979,9.230424,6.799782,10.05042,5.05897,4.828143,4.489924,5.404754,5.948692,7.042943,10.37086,7.779053,9.883151,10.35669,8.7826,8.520575,9.184458,8.740333,7.453307,4.478278,8.370399,7.376582,6.709359,8.138749,6.900582,7.706807,7.32433,9.6228,7.317149,7.534051,6.814398,8.282447,7.047194,10.52906,12.3495,9.498501,7.806356,9.409815,7.112738,7.36513,8.895124,8.647402,9.749704,5.669486,8.606125,7.805185,6.038655,6.034356,9.24083,6.177858,4.508924,8.669209,9.46194,9.305006,7.056991,6.53774,5.967284,6.080453,7.528805,7.351779,8.53708,7.984584,10.16968,5.219909,8.129011,5.693203,9.597858,7.455357,8.286991,7.588481,7.024647,5.547856,7.726117,8.353086,7.0609,SONFH
GSM3507265,7.096553,7.700405,10.91343,8.611962,9.453962,7.170123,8.884499,10.16522,9.090282,7.682508,8.920455,6.452776,8.427061,9.869443,7.174396,7.4449,7.275195,7.822538,8.994309,8.567747,6.234237,4.274429,6.636551,6.575626,12.52449,9.222364,9.819227,6.854213,10.37089,4.917655,4.990533,4.759076,5.912977,6.077362,8.014558,10.74183,8.221133,10.02874,10.51586,9.839657,9.320096,10.38987,9.278251,8.51888,4.798365,8.401203,7.729778,6.676345,8.918344,8.20962,7.774399,8.234314,10.23724,8.286791,8.171317,7.477717,9.200028,7.218393,10.84708,12.30025,10.14054,8.389659,9.771124,7.25309,7.907769,9.008979,9.483963,10.68131,6.698123,9.120173,8.545088,6.860693,6.466237,9.50882,6.524467,4.902407,9.035184,10.28907,10.05355,7.565547,6.899624,6.089538,6.647514,7.76122,7.9307,9.363575,8.367427,10.35375,5.684182,8.556678,6.06772,9.41238,7.247029,9.088588,7.791246,6.476234,6.09164,8.082235,9.200486,7.466766,SONFH
GSM3507266,6.869797,7.512856,10.64655,8.678004,9.16103,7.405133,8.035184,9.100122,8.714546,7.673803,8.995655,6.325402,8.613707,9.33672,7.199026,8.039887,7.242301,8.038647,8.598917,8.509008,6.080725,4.318873,6.461894,6.638,12.3031,9.039023,9.5815,6.990286,10.00822,5.086629,4.707252,4.451922,5.818785,5.928762,7.41842,10.58869,8.306608,10.13057,10.04359,9.667988,9.14076,9.83886,9.207877,8.284274,4.780377,8.580058,7.468768,6.337356,8.798352,7.758606,7.816623,8.098545,9.887281,8.029156,7.994891,7.484825,9.184251,7.164904,11.32525,12.24464,9.749023,8.274224,9.992438,7.211946,7.700212,9.396538,9.301982,10.22601,6.487526,9.004468,8.396048,6.659484,6.33183,9.51977,6.569837,4.874783,8.924464,9.97691,9.672546,7.378618,6.738246,6.013978,6.834407,8.065936,7.676153,9.153067,8.306166,10.4712,5.663654,8.543856,5.838352,9.590984,7.314425,8.72324,7.778159,6.914922,6.057713,8.320155,8.924579,7.27789,SONFH
GSM3507267,5.548972,6.419342,9.349298,7.444011,8.141442,6.457392,8.161993,9.52261,7.472076,6.873291,8.280076,6.248219,7.504864,8.670221,5.832064,6.894814,6.041372,6.818243,7.624193,7.324585,5.072231,4.24282,5.947815,6.436934,11.60721,7.985312,8.376561,5.218271,9.266718,4.368744,4.357154,3.463822,4.873433,4.873159,6.093708,9.554891,7.518262,9.202051,8.913888,8.530972,7.938392,9.165586,7.864013,7.022295,4.232477,7.686878,6.748209,6.174326,7.152202,6.56722,7.301647,6.740915,8.944036,6.712897,6.709359,6.417366,7.792588,5.961857,10.27902,11.04749,9.081996,7.329039,8.918811,6.180935,7.208814,8.531757,8.510559,9.237591,5.485273,8.166067,7.701945,5.471711,5.952102,8.965121,5.793662,3.961401,8.463099,8.863235,9.108613,6.444381,6.682834,5.774749,5.896668,6.844635,7.217064,7.616115,7.270288,9.144255,4.809155,7.950725,5.107381,8.807319,6.881796,8.094233,7.012996,6.725753,5.150527,7.15816,7.467844,6.89924,SONFH
GSM3507268,5.898068,6.833827,10.35876,8.122554,8.835261,6.95218,8.546253,9.400063,8.126132,7.349847,8.619897,6.236576,7.785317,9.27597,6.344539,7.337861,6.941871,7.528685,8.364596,8.254766,5.443949,4.377055,6.279749,6.415856,12.2252,8.836553,8.742552,6.104755,9.877075,4.712582,4.80641,4.32772,5.80537,6.223696,7.118714,10.26463,8.079399,9.995745,10.24178,9.192163,8.683046,9.435427,8.460478,7.689195,4.648196,8.421761,7.395833,6.893818,8.228838,7.123098,7.780005,7.404828,9.454597,7.725198,7.716561,6.980212,8.461433,7.160076,11.1923,12.31953,9.824496,8.00484,9.682922,7.094228,7.674123,9.012764,8.849106,10.00609,5.797335,8.667688,8.034118,6.448183,6.221587,9.587337,6.273977,4.654195,8.857286,9.627969,9.574953,7.020368,6.678078,6.151518,6.3849,7.661742,7.424124,8.823509,8.123773,10.32342,5.290257,8.304764,5.606501,9.449677,7.295817,8.512309,7.700946,6.88027,5.446989,7.71632,8.349632,7.053736,SONFH
GSM3507269,5.98329,6.955659,10.26398,8.041516,8.819125,6.620708,8.07489,9.860402,8.219431,7.208228,8.482927,6.144984,7.672725,9.24551,6.090515,6.961969,6.027524,7.464257,8.328396,8.079432,5.847754,3.647978,6.261376,6.361448,11.90511,8.832822,9.576791,5.624728,9.825736,4.769255,4.252813,4.25161,5.390516,5.713728,6.981061,10.26757,7.885674,9.641113,9.684575,9.076867,8.494488,9.637558,9.089442,7.572587,4.744458,7.845181,7.292191,6.734831,8.299156,7.23184,7.103988,7.590499,9.39617,7.236474,7.608797,7.219258,8.764813,6.604345,10.54063,12.02373,9.627754,7.61902,9.148233,6.831041,7.35941,8.717926,9.109608,10.24096,5.936148,8.532595,7.898335,6.386532,6.536643,9.050371,6.090568,4.478162,8.761817,9.818324,9.582883,6.825646,6.74111,5.802435,6.070989,7.647143,7.465385,8.418051,8.048687,9.844896,5.297626,8.18422,5.388953,9.150946,6.903633,8.848369,7.728629,6.274108,5.345181,7.745412,8.273972,7.014392,SONFH
GSM3507270,6.493902,6.976497,10.32214,8.394671,8.894007,7.189115,8.83461,9.877107,8.25231,7.298633,8.561405,6.675035,8.436378,8.931075,6.960552,7.443179,6.866465,7.68283,8.636861,8.078257,5.509202,4.65033,6.353209,6.813657,12.01496,8.808866,9.378492,6.694572,10.26669,5.118571,4.811042,4.505758,5.950428,5.664224,7.236549,10.41439,8.334714,10.0734,10.60355,9.263501,9.00367,9.477789,8.878634,7.659831,4.808476,8.644407,7.252009,6.395662,8.4684,7.388075,7.774869,7.511947,9.70938,7.600708,7.558026,7.528572,8.526186,6.968501,11.39615,12.25569,9.322037,8.114915,9.960723,7.260962,7.676656,9.371077,8.924946,9.67136,5.771375,8.77847,8.386477,6.403712,6.508894,9.954882,6.369795,4.821622,8.940062,9.774202,9.380378,7.077029,6.948698,6.328485,6.689605,7.905206,7.648304,9.024734,8.311022,10.36247,5.230655,8.368414,5.965508,9.663798,7.276122,8.396958,7.97998,7.111624,6.073499,7.481015,8.771346,7.455607,SONFH
GSM3507271,7.151175,7.376331,11.32285,9.925177,9.547741,7.645063,9.146166,10.44248,9.148537,7.816172,9.010737,5.822322,8.701008,9.738088,7.409074,8.001793,7.487415,8.305431,9.100944,8.950687,5.75521,4.67521,6.241172,6.554929,12.7396,8.807194,10.39295,7.137948,10.90159,5.894969,5.044269,4.684237,6.361039,6.775449,8.546756,11.1339,8.545869,10.74591,11.3533,10.40896,9.311524,10.70372,10.19706,8.422731,5.006163,9.173489,7.10885,7.205739,9.146627,8.082003,8.471626,8.773195,10.89282,8.543079,9.121945,7.999978,8.990444,7.378681,11.00186,12.8044,9.9145,7.532647,9.576297,8.381163,7.652927,9.060142,10.10716,10.85515,5.965273,9.544089,8.563712,7.446896,5.833048,9.858902,6.70319,5.368709,8.556749,10.93981,9.562914,8.375673,7.358313,6.12505,6.714836,8.395019,8.142373,10.16219,8.837983,11.10382,6.279988,8.467034,6.544408,10.02003,7.985083,9.530888,7.863342,6.943851,5.800727,7.965121,10.12631,7.384721,SONFH
GSM3507272,6.369167,6.918803,10.36301,8.364435,8.8675,7.20791,8.360715,9.702789,8.299671,7.282185,8.747005,6.472054,8.364292,9.080366,6.796041,7.888125,6.160557,7.966666,8.463109,8.073544,5.443027,4.812532,6.485318,6.740976,12.25944,8.738858,9.267594,5.469196,10.03891,5.108484,4.816923,4.434459,5.876279,5.66808,7.348811,10.4673,8.427886,9.891387,10.03675,9.187587,8.798126,9.472662,9.03148,7.564682,4.666137,8.379786,7.301031,6.449928,8.241083,7.160203,7.936519,7.521904,9.769555,7.023127,7.527444,7.250835,8.780605,6.897614,11.26179,12.29652,9.811152,7.913803,9.922248,7.073092,7.665523,9.255213,9.06726,10.04577,6.328067,8.818421,8.392196,6.418266,6.565827,9.588909,6.316238,4.902399,8.891322,9.630974,9.765553,7.066761,7.062753,6.111111,6.646675,7.840847,7.459229,8.612704,8.074624,10.11398,5.379952,8.461401,5.580379,9.4392,7.087919,8.494524,7.357857,6.979703,5.556108,7.794221,8.620213,7.297073,SONFH
GSM3507273,6.856674,6.857851,10.50945,8.58625,9.068384,7.212511,9.453784,11.03435,8.839429,7.104021,8.606623,6.555787,7.929968,9.590122,6.58768,7.401859,6.718239,7.355472,8.734063,8.480137,6.048589,4.645571,6.226415,6.643541,12.46015,8.84029,9.80568,6.506674,10.52094,5.156394,5.210016,4.620177,5.462843,6.307563,7.230772,10.74524,7.998151,10.03405,10.37907,9.404716,8.711043,9.698917,9.375568,7.759998,4.532855,8.471979,7.579844,6.028642,9.121967,7.349901,7.572085,7.618301,10.13268,8.009745,8.035433,7.129865,8.387732,7.424065,11.21106,12.28676,10.13,8.028014,9.973855,7.268464,7.748703,9.018479,9.113599,10.00409,6.172157,8.70787,8.217793,6.304574,6.104755,9.535752,6.161215,4.742831,9.059843,9.643013,9.923048,7.161431,6.882235,6.154943,6.328168,7.380201,7.793771,8.888407,8.509377,10.56669,5.145509,8.001755,5.990225,9.358986,7.3464,8.362258,7.697051,6.483399,5.592539,7.953863,9.028128,7.398481,SONFH
GSM3507274,7.004573,7.205988,10.93098,8.924582,9.170299,7.171937,8.823147,10.6915,8.89359,7.900173,8.408052,6.349911,8.253801,9.463259,6.928816,7.72135,7.484236,8.081286,8.272853,8.965986,5.977592,4.542452,6.53469,6.582388,12.63925,9.32505,9.740911,6.988232,10.47536,5.382051,5.579136,4.298226,5.826012,6.122988,7.848606,10.82464,8.249581,10.26338,10.36847,9.367074,9.27151,9.899155,9.449845,8.754363,4.991236,8.747932,7.749812,6.233877,8.925229,8.018577,7.805428,8.273212,10.32187,8.212715,7.660058,7.737274,8.962317,7.422596,11.09275,12.37546,9.790608,8.153283,9.754964,7.802834,7.878326,8.889531,9.469202,10.61347,6.235233,9.160304,8.32999,6.443845,6.049901,9.59169,6.44034,5.068795,9.021826,10.56673,9.936595,7.818242,6.733831,6.07139,6.501256,8.104048,7.830934,9.456692,8.853898,10.7187,5.604226,8.303987,5.872148,9.878042,7.651161,8.925103,8.028016,6.601667,6.004042,7.889462,9.129336,7.62751,SONFH
GSM3507275,6.11628,6.595574,10.11299,8.426694,8.874731,6.938498,8.874951,10.28637,8.054053,7.380395,8.50321,6.376186,7.940496,8.642033,6.374058,7.562629,6.548173,7.645933,8.815658,8.133205,5.18506,4.640491,6.333643,6.673115,12.50591,8.56304,9.251653,6.155783,10.20555,5.227962,5.259458,4.448341,5.89481,5.800398,7.00432,10.37191,7.809025,10.20182,10.28551,9.202304,8.482485,9.022461,8.6147,7.052357,4.751106,8.554409,7.26601,6.763087,8.761402,6.844776,7.439898,7.455749,9.803946,7.651194,7.639468,7.015755,8.248388,6.986617,11.57618,12.45251,9.939542,8.184481,9.951296,7.20835,7.358551,9.231198,8.548903,9.751379,5.868127,8.733858,8.240824,6.439974,6.7524,10.03691,6.155024,4.667566,9.198917,9.600368,9.583388,7.363224,6.891253,6.214221,6.53714,7.625869,7.475085,8.374049,8.040907,10.51015,4.980584,8.475806,5.642265,9.565283,7.165786,8.312324,7.701296,6.352983,5.908756,8.056363,8.715729,7.407506,SONFH
GSM3507276,6.085119,6.667407,10.29538,8.30896,8.748516,6.758552,8.531436,9.98916,7.945561,7.235721,8.487464,6.296542,7.834649,8.930415,6.295605,7.361009,6.877406,7.302738,8.267982,8.073488,5.872683,4.028656,6.454313,6.560087,12.24286,8.450729,9.207252,5.934331,10.02131,4.639647,4.358175,4.343386,5.497769,5.684872,7.180159,10.21559,8.103919,9.998633,10.2908,9.261396,8.724915,9.64461,8.647066,7.683543,4.389627,8.314639,7.275706,6.202429,8.388952,7.245526,7.638847,7.61706,9.671467,7.657183,7.732231,7.002196,8.709171,7.268977,10.91033,12.25284,9.631606,7.830359,9.279181,7.088795,7.71712,8.959201,8.913008,10.09996,6.001862,8.531682,8.131983,5.983583,6.39234,9.435558,5.958004,4.301242,8.903603,9.909045,9.613913,7.1181,6.752048,6.222456,6.398845,7.359895,7.429124,8.833213,8.075067,10.21729,4.839788,8.328427,5.442579,9.465858,7.161098,8.598177,7.124403,7.141179,5.755394,7.579797,8.508421,7.14397,SONFH
GSM3507277,6.881618,7.703208,11.03876,8.360806,9.384707,6.984943,9.034662,10.49061,8.683485,7.707339,8.444268,6.61788,8.664245,9.545881,7.426952,7.015965,7.776548,7.83032,8.739252,8.954155,6.841917,4.004044,6.757785,6.563048,12.52619,9.439338,10.11815,7.460817,10.56682,5.149627,4.892842,4.27687,5.647682,6.850458,7.411836,10.6425,8.233484,9.960525,10.81736,9.644754,9.23063,9.954876,9.818657,8.244646,4.891226,8.829966,7.715413,6.317239,8.795206,8.193325,7.934778,7.796363,10.18196,8.270274,7.570103,7.932827,9.610909,7.791857,10.7071,12.27876,9.89868,8.172398,9.413481,7.558331,7.825678,8.899864,9.770487,10.85981,6.49623,8.853139,8.481062,6.344306,6.579766,9.345692,6.571863,4.872913,9.037139,10.74896,10.0305,7.458388,6.792246,5.835998,6.660355,7.722049,7.672359,9.735749,8.738728,10.13299,5.120616,8.189168,6.0978,9.701262,7.251032,9.362902,8.095911,5.227805,5.939583,7.969403,9.235046,7.409866,SONFH
GSM3507278,6.145334,6.867416,10.42715,8.631565,8.922279,7.175873,8.44893,9.946262,8.037107,7.446535,8.614393,6.528271,8.369686,8.945181,7.054093,7.66177,7.358015,7.977225,8.474018,8.280168,5.535732,4.304819,6.584063,6.753649,12.17202,8.675641,9.162358,6.46841,10.10868,4.443713,4.677174,4.077303,5.809845,5.494056,7.636353,10.32233,8.564972,9.960348,10.2563,9.420942,8.824183,9.638903,8.80764,7.602104,4.871206,8.674339,7.155241,6.912704,8.414356,7.597561,8.131289,7.46389,9.688667,7.543946,7.667921,7.609109,8.584254,7.139755,11.81703,11.90566,9.636905,8.345173,9.734335,7.587418,7.553797,9.753863,8.854943,10.09866,6.174178,8.716108,8.258417,6.311319,6.46668,9.956776,6.298502,4.915682,8.895658,9.77152,9.800789,7.339104,6.97548,6.264559,6.635548,7.974366,7.565506,8.966208,8.313079,10.62636,5.169861,8.440612,5.697676,9.968048,7.174877,8.294851,7.560419,7.689453,5.924696,7.68738,8.906429,7.478267,SONFH
GSM3507279,6.613204,7.103605,10.77207,8.78911,9.078271,6.949184,8.702675,10.12326,8.815543,7.416883,8.462848,6.59385,8.275211,9.397043,6.850867,7.316462,6.822423,7.525613,8.600807,8.855778,6.04865,4.108287,6.538051,6.51369,12.31963,9.119233,10.05521,6.710893,10.44053,4.879965,5.009165,4.301831,5.704288,5.902638,7.631673,10.84183,7.902351,10.36316,10.83659,9.550429,9.305537,10.1041,9.368397,8.386822,4.793683,8.541703,7.655023,7.271085,9.142504,7.683248,7.905221,8.307364,9.971416,7.952218,7.936559,7.466743,8.784692,7.470167,11.19784,12.4343,9.916324,8.226562,9.709797,7.509345,7.843687,8.854931,9.257658,10.40717,6.166373,8.928452,8.347156,6.477036,6.35394,9.462234,6.316838,4.906562,8.978372,10.06825,9.824437,7.504871,6.247808,6.164332,6.424849,7.733421,7.811557,9.141711,8.512175,10.60816,5.836012,8.325517,5.862051,9.69004,7.488622,8.631383,7.851012,6.685038,5.755818,7.86903,9.167912,7.146645,SONFH
GSM3507280,6.744441,7.033837,10.54301,8.495298,8.745737,7.071545,8.944917,10.30235,8.373653,7.398397,8.299607,6.275908,8.132782,9.375684,6.664585,7.99977,6.481876,7.891924,7.995234,8.317389,6.007155,4.414378,6.420487,6.578038,12.36587,8.778436,9.35043,6.156839,10.46589,5.330853,5.190455,4.390586,5.779599,5.977424,7.290203,10.59015,8.216013,10.12759,10.57377,8.933203,9.350375,9.743267,9.179585,8.228662,4.686311,8.738684,7.477717,7.028626,8.656984,7.626872,8.15117,7.935784,10.28654,7.613802,7.495121,7.284224,8.597035,7.397125,11.1084,12.27076,9.780623,8.029736,9.740059,7.642169,8.064252,9.062387,9.092601,10.06878,5.923318,8.792942,8.030809,6.209705,5.98987,9.729512,6.300928,4.698931,8.924278,10.00866,9.773063,7.229603,6.749616,6.035903,6.40973,8.0513,7.762372,9.191061,8.297223,10.33817,5.400556,8.389609,5.704393,9.984253,7.575387,8.631989,7.762816,7.142154,5.658656,7.692481,8.720634,7.430243,SONFH
GSM3507281,6.047907,6.777184,9.899665,7.978599,9.018908,6.828717,9.109251,10.2075,8.074783,7.609626,8.944379,6.436211,7.970509,9.040344,6.315963,7.570161,6.809864,7.477717,8.947142,7.720239,5.568958,4.247741,6.552276,7.061182,12.57637,9.306952,8.992231,6.523037,9.698477,5.066494,4.740091,4.466961,5.537827,5.882445,6.172426,10.37327,8.347488,9.922505,9.554283,9.560264,8.480366,8.838588,8.586438,6.596197,4.81658,8.219162,7.274193,5.855815,7.678412,7.533906,7.591131,7.837824,9.912248,7.215614,7.267149,7.500962,9.460957,6.998783,11.58051,12.18966,10.00154,8.147383,10.21809,6.504036,7.446007,9.064979,9.163184,9.808308,6.028236,8.957674,8.705269,5.71134,6.658402,9.702601,6.231297,4.872913,9.101313,9.693539,9.950541,6.64541,6.730967,5.67895,6.606237,7.41836,7.592645,7.542808,7.423737,10.1835,4.699159,8.608971,5.735645,9.055998,6.560201,8.798093,7.625172,6.809864,6.108418,8.138559,8.973304,7.719761,SONFH
GSM3507282,5.892217,6.539263,9.9202,8.356123,8.663637,7.077692,9.093063,10.14382,7.928114,7.264625,8.383872,6.390071,7.834034,8.554739,6.295159,7.548784,6.865137,7.965505,8.546337,7.920722,4.822052,4.56262,6.192405,6.642535,12.33118,8.618576,8.956153,6.486468,9.910915,5.236015,4.875741,4.54751,5.784954,6.040977,6.779239,10.24946,8.000959,9.799395,10.61002,9.067685,8.186386,8.452702,8.42878,6.605404,4.582641,8.695314,6.914151,5.868095,8.188312,6.796875,7.626359,7.260646,9.692428,7.325841,7.382596,7.128716,8.418674,6.960779,11.43242,12.40387,9.370661,7.909467,9.951416,7.212769,7.322193,9.463806,8.82124,9.409186,5.195365,8.473004,8.15378,6.205252,6.301323,9.977218,6.154831,4.839475,8.956216,9.364655,9.444729,6.830647,6.804543,6.217417,6.531204,8.08362,7.406963,8.178426,7.923684,10.34986,4.92247,8.444647,5.685926,9.389969,7.253535,8.175572,7.423868,6.764979,5.663474,7.680503,8.293238,7.309715,SONFH
