sample,11721762_a_at,11722904_a_at,11727304_at,11745976_x_at,11733389_a_at,11746456_x_at,11738360_x_at,11738183_a_at,11743813_a_at,11717176_at,11719624_a_at,11739055_x_at,11722269_a_at,11731019_x_at,11747020_x_at,11722126_a_at,11739009_a_at,11754245_x_at,11730005_a_at,11736509_x_at,11730270_a_at,11731397_a_at,11744129_at,11746818_s_at,11725043_a_at,11718260_at,11743589_at,11762400_s_at,11723153_a_at,11722574_at,11758635_s_at,11723468_at,11752051_a_at,11717267_x_at,11732514_s_at,11754126_x_at,11754447_a_at,11730788_a_at,11725110_a_at,11716073_a_at,11717874_a_at,11746376_a_at,11726633_s_at,11730501_a_at,11722387_at,11737775_a_at,11722594_at,11730781_a_at,11750630_s_at,11750917_a_at,11741275_a_at,11736169_a_at,11720446_a_at,11717993_at,11727947_at,11726586_at,11724357_a_at,11739746_s_at,11734077_a_at,11728838_a_at,11719377_x_at,11717636_s_at,11743839_a_at,11720334_a_at,11719308_a_at,11719150_a_at,11733470_at,11756484_a_at,11741091_a_at,11715691_s_at,11745369_x_at,11727841_a_at,11730394_at,11743523_a_at,11724005_s_at,11755086_x_at,11752577_at,11730284_x_at,11754832_a_at,11739467_a_at,11721342_a_at,11718297_a_at,11721465_a_at,11717209_s_at,11715462_x_at,11754775_s_at,11727138_a_at,11723669_s_at,11741172_a_at,11743116_s_at,11754599_a_at,11740553_a_at,11733938_x_at,11734501_a_at,11732131_x_at,11740206_x_at,11739438_at,11756341_a_at,11716652_a_at,11731281_a_at,class
GSM3507261,8.90015,8.15194,5.765964,9.979997,8.383582,6.620463,3.27679,7.138833,11.68026,7.928489,8.477333,9.288772,8.538054,10.01881,8.374642,6.886613,10.35304,11.10771,9.224891,7.967693,7.720815,9.31678,5.989939,11.41286,8.185261,7.575126,5.672515,6.902594,6.314117,7.419618,7.048937,7.479233,7.765453,6.725945,9.214523,7.931986,7.522654,10.59026,9.773188,10.3684,7.446837,8.280169,7.860507,5.827069,8.64154,6.071624,8.940844,5.244204,8.220302,7.442183,4.236027,8.301867,5.377557,8.092547,6.63074,4.47965,7.323718,6.923985,5.996944,6.498835,10.62865,10.13795,4.868603,5.77862,6.515896,5.204347,7.010884,8.115253,6.812252,11.71096,6.706933,9.427786,5.281247,8.151073,10.68223,8.382421,8.276131,4.78898,6.566737,7.699509,8.741615,7.361761,9.234881,7.744331,12.69592,11.33439,6.065458,3.892659,4.608363,10.88263,7.447752,5.835931,8.741584,6.931318,9.482773,6.947176,3.854251,7.934689,5.511651,7.084658,SONFH
GSM3507262,9.154823,7.570545,5.61419,10.33893,9.046455,7.062054,4.424088,6.726711,11.34221,7.633925,8.872933,9.448452,8.979628,9.402888,8.551227,7.049707,10.68043,10.47668,9.709744,7.057004,7.427021,9.701054,6.541677,10.97255,8.629523,7.798088,5.863589,7.761717,7.169011,7.593989,7.4081,7.632552,7.784207,7.400196,8.503031,7.993888,7.56356,10.6527,10.04585,9.398292,6.994149,7.618533,7.941923,5.13134,8.756291,6.643597,9.127251,5.241704,8.496645,7.294642,3.77685,7.980583,5.655673,8.961884,6.05834,5.006319,6.672001,6.471839,6.630657,7.066538,10.77803,10.33588,4.229815,5.625309,5.915624,5.118876,7.402716,8.836798,6.722503,11.58231,7.13273,8.861892,5.487896,8.767366,10.45483,8.248409,8.416851,5.13123,6.67908,7.075092,9.198457,7.727148,9.398511,8.134971,12.38974,10.89114,6.276198,3.729136,3.960608,11.01202,8.061399,6.243028,8.955697,6.837684,10.26648,6.956835,3.632761,7.745586,4.965384,7.789743,SONFH
GSM3507263,8.718943,8.122027,5.11995,9.521168,8.471566,6.778713,4.797837,6.850266,11.52217,7.760188,8.396403,9.117568,8.252172,10.71412,8.458585,6.933133,9.884472,10.92471,9.169036,7.262834,7.636588,9.269536,5.573864,11.03691,8.72795,7.311934,5.829659,7.387994,6.697799,7.518604,7.23216,7.04075,7.186114,6.35522,8.722974,7.100565,7.163808,10.77212,9.338781,10.07218,7.914919,8.42977,7.492678,6.711942,8.449435,6.265286,8.78009,5.854516,8.351624,6.866434,4.028235,7.811584,5.320881,8.64002,5.736629,5.225236,6.72109,6.516551,6.295145,6.277125,10.73385,9.847349,5.149043,5.051388,6.51936,5.124779,7.040629,8.397163,6.997208,11.58414,6.624363,8.996042,5.343112,7.938815,10.69637,7.884447,8.239103,5.815782,6.488019,6.99729,8.230366,7.148957,9.037184,8.198296,12.89365,11.12834,5.854628,4.389038,4.379271,10.65413,7.439373,6.022537,9.02793,6.675204,9.484677,7.04832,3.678401,7.662137,5.840498,7.21184,SONFH
GSM3507264,8.793615,8.372887,6.151967,9.585812,7.832225,6.799782,3.260767,7.090652,11.28858,7.876796,8.037083,8.931461,8.178242,10.12589,7.806356,6.693006,9.641633,10.93173,8.7826,7.274712,7.501901,8.946893,5.838861,10.9669,7.962505,6.900582,5.396975,6.695355,6.080453,6.987437,6.82718,7.056991,7.523467,6.711724,8.945277,7.455893,6.747347,9.928876,9.318171,9.706698,6.70876,8.082451,7.793399,5.884278,8.801979,5.454791,8.330069,5.560836,7.897636,6.983383,4.203539,8.079028,5.233587,8.278832,5.592365,4.772398,6.882687,6.218485,5.716317,6.208277,9.998583,9.805345,4.890074,5.243957,6.305876,5.26264,7.001822,7.316661,6.976337,11.26506,6.535333,8.760989,5.499343,7.681451,10.16968,7.726117,8.264786,4.899404,6.301594,7.362982,8.53276,7.047946,8.870517,7.554165,12.3495,10.84805,5.971655,4.298031,4.801913,9.894909,7.207233,6.177858,8.669209,6.435825,9.518445,7.16954,3.964799,7.70177,4.658082,7.264823,SONFH
GSM3507265,9.273735,7.468175,6.738044,10.52779,8.426729,6.854213,3.029374,7.464963,11.68517,8.182445,8.922359,9.774002,8.994309,10.18807,8.389659,6.983791,10.49887,11.01442,9.839657,8.031813,7.97638,9.655074,6.632717,11.30564,8.513245,8.20962,5.796448,7.403108,6.647514,7.624463,7.543331,7.565547,8.402744,7.700405,9.55045,8.229362,6.961374,10.62938,10.11156,10.24691,6.897004,8.95026,8.357227,6.193179,9.222364,6.099236,9.009829,5.945521,8.412747,7.913784,4.117818,8.821075,5.419601,8.861834,6.361288,4.435249,7.238688,7.226833,6.294177,7.401545,10.83836,10.5393,4.180525,6.413227,6.242536,5.575118,7.708737,7.830789,7.067856,11.49672,6.975363,9.340784,5.587112,8.166142,10.35375,8.082235,8.2848,5.410738,6.452776,7.95998,9.655415,8.004356,9.539304,7.812383,12.30025,11.3274,6.467608,3.247797,4.808239,10.62767,7.992436,6.524467,9.035184,7.22625,10.18607,7.275195,3.744341,8.338354,4.704895,7.339676,SONFH
GSM3507266,9.101501,7.48772,6.221051,10.27328,8.617816,6.990286,3.694507,7.403556,11.58056,8.216236,8.702033,9.442827,8.598917,9.141342,8.274224,7.062536,10.6004,11.08595,9.667988,7.737944,7.747689,9.622895,6.446807,11.07367,8.592796,7.758606,5.686007,7.386897,6.834407,7.277154,7.422022,7.378618,8.170085,7.512856,9.271252,7.797789,7.058885,10.25189,9.981203,10.16722,6.959285,8.848141,8.064712,5.856809,9.039023,6.003844,9.035484,5.482472,8.300631,7.439967,4.0644,8.419855,5.52893,8.881495,6.640305,5.208786,6.933632,6.96287,6.422161,6.68722,10.32442,10.22176,4.680948,5.920971,5.638699,5.729481,7.345072,7.885951,6.925176,11.52697,6.87664,9.182623,5.617717,8.056927,10.4712,8.320155,8.035183,4.703295,6.325402,7.522197,9.31706,7.827311,9.453167,7.949754,12.24464,11.10688,6.39266,3.180245,4.955253,10.40278,7.800018,6.569837,8.924464,6.994154,10.17246,7.242301,3.620525,8.070881,5.272656,7.689979,SONFH
GSM3507267,8.011963,7.575914,5.81597,9.14954,7.546703,5.218271,2.525148,6.585321,10.59051,7.510188,7.542747,8.33042,7.624193,9.281942,7.329039,6.407814,9.298538,9.890893,8.530972,6.264652,7.23153,8.659448,5.157242,10.24572,7.587532,6.56722,5.413875,6.493563,5.896668,6.5497,6.282604,6.444381,7.160718,6.419342,7.860817,6.464711,5.961069,9.267594,8.870865,8.812406,6.549631,7.701938,6.843637,5.229495,7.985312,5.661714,8.189552,4.835434,7.311698,6.86214,4.136836,7.325554,4.978747,8.046816,5.437139,4.45466,6.096179,5.897929,5.543306,5.668903,9.207443,9.173307,3.992502,5.116808,5.590738,5.340416,7.146899,7.150005,5.993816,10.37912,6.200554,7.821016,4.430971,7.183352,9.144255,7.15816,7.217851,4.556596,6.248219,6.627586,8.118522,6.40064,8.377224,7.352844,11.04749,10.10779,5.912227,3.213507,3.885449,9.046496,7.370822,5.793662,8.463099,6.479547,8.935561,6.041372,3.883699,7.333072,4.487542,6.991431,SONFH
GSM3507268,8.783422,7.861831,5.993995,9.829341,8.177721,6.104755,3.344805,6.909887,11.37668,7.840941,8.305988,9.201224,8.364596,9.329113,8.00484,6.739218,9.983066,10.97248,9.192163,7.474439,7.552378,9.087298,5.828286,11.15175,8.030966,7.123098,5.622506,6.847095,6.3849,7.283617,6.949965,7.020368,7.672799,6.833827,9.273748,7.772941,6.724362,9.900755,9.585287,9.834902,7.024036,8.448509,8.012299,5.50455,8.836553,5.684062,8.51198,5.553188,8.070307,7.193138,4.138573,8.468019,5.41514,8.594694,5.628334,4.792144,6.655995,6.867419,6.050505,6.143818,10.25367,10.04505,4.173916,5.635811,5.882727,5.339023,7.053843,7.426923,7.164824,11.455,6.662112,8.849671,5.383698,7.762344,10.32342,7.71632,8.460537,5.144901,6.236576,7.618733,8.685412,7.00789,9.17147,7.76633,12.31953,11.32076,6.164806,3.012734,4.693717,10.02806,7.376802,6.273977,8.857286,6.743335,9.754488,6.941871,3.717434,7.816449,5.152983,7.09592,SONFH
GSM3507269,8.698107,6.984192,5.990216,9.775123,7.977963,5.624728,3.258244,7.133862,11.28435,7.938811,8.305359,9.138952,8.328396,9.666517,7.61902,6.840217,10.07367,10.91368,9.076867,7.519044,7.614963,8.930725,6.095948,10.9793,7.913224,7.23184,5.387224,6.798468,6.070989,6.963009,7.302946,6.825646,7.923148,6.955659,9.145983,7.702069,6.172767,9.717796,9.425792,9.763701,6.25115,8.35961,7.857865,5.572064,8.832822,5.624036,8.635062,4.751639,8.113548,7.521348,3.976219,8.197436,5.367733,8.201483,5.207424,4.78373,6.388819,6.834878,6.011773,6.686916,10.06168,10.11307,4.202722,5.962241,5.779568,5.577147,7.105505,7.289698,6.753979,11.32253,6.444726,8.950004,5.062695,7.547147,9.844896,7.745412,8.238619,4.925637,6.144984,7.571899,8.93633,7.176114,9.051852,7.559146,12.02373,10.90145,6.066519,2.856764,4.542105,9.681712,7.35915,6.090568,8.761817,6.854634,9.705488,6.027524,3.821651,7.796449,4.226835,6.925879,SONFH
GSM3507270,9.009686,7.965898,6.178349,9.798549,8.372376,6.694572,3.267158,6.637779,11.34726,8.060669,8.276463,9.350101,8.636861,9.94518,8.114915,7.000061,10.017,10.89374,9.263501,7.246455,7.62182,9.109079,6.349591,11.24873,7.972249,7.388075,5.635812,7.204584,6.689605,7.408876,6.988911,7.077029,7.707683,6.976497,8.750306,7.526583,6.795762,10.06909,9.514868,9.875381,7.288874,8.518774,7.780388,6.282898,8.808866,6.260907,8.748969,5.527177,8.005128,6.99605,4.378704,8.315982,5.585732,8.744128,5.654659,5.332304,6.632379,6.627179,6.477149,6.173194,10.27189,9.920618,4.982509,6.015566,6.141139,5.416226,7.032587,8.030627,6.889283,11.40068,6.753818,8.79612,5.258289,7.718623,10.36247,7.481015,7.940006,4.787667,6.675035,7.426094,8.69064,7.413203,9.116607,7.854038,12.25569,11.03588,6.015342,3.777427,4.836715,9.913365,7.607187,6.369795,8.940062,6.839001,9.7431,6.866465,3.69295,7.76967,5.103996,7.107615,SONFH
