sample,11725813_at,11720493_s_at,11720739_s_at,11756361_x_at,11720866_a_at,11754831_a_at,11743865_s_at,11754832_a_at,11757379_a_at,11718185_a_at,11759144_at,11734995_x_at,11757243_s_at,11752266_a_at,11722270_at,11753961_a_at,11717762_a_at,11724678_a_at,11754946_a_at,11736575_x_at,11751544_a_at,11717836_a_at,11719307_a_at,11725180_a_at,11747203_x_at,11754197_x_at,11732135_a_at,11756077_a_at,11729215_x_at,11715676_s_at,11749027_x_at,11753127_a_at,11715524_a_at,11725789_at,11716612_a_at,11729593_at,11757300_s_at,11763217_x_at,11724357_a_at,200021_PM_at,11722900_s_at,11733611_a_at,11741278_a_at,11720600_a_at,11749275_a_at,11719308_a_at,11727740_a_at,11730788_a_at,11746459_a_at,11731521_at,11745779_a_at,11715926_s_at,11741660_a_at,11721513_a_at,11721703_s_at,11755153_a_at,11722387_at,11731874_x_at,11758105_s_at,11727913_a_at,11725461_s_at,11745421_a_at,11720644_a_at,11741275_a_at,11754863_s_at,11718568_a_at,11723179_a_at,11728838_a_at,11736333_at,11719798_s_at,11728858_at,11727172_at,11750028_a_at,11722258_at,11724645_at,11726704_x_at,11722752_a_at,11724493_s_at,11722225_a_at,11732823_s_at,11717837_x_at,11723691_at,11758669_s_at,11755086_x_at,11728555_s_at,11744896_a_at,11724005_s_at,11716765_s_at,11722107_at,11731425_at,11720345_a_at,11719367_a_at,11759416_x_at,11757477_s_at,11722834_x_at,11752689_a_at,11716449_a_at,11720998_a_at,11732131_x_at,11725073_s_at,class
GSM3507251,6.684678,8.448059,7.425634,6.385234,6.713617,5.903864,7.038458,6.432875,8.038507,5.068588,7.877551,8.383862,7.402081,7.534564,9.010933,5.902145,8.328203,8.096647,6.242108,4.59707,7.027248,8.679629,5.980227,6.938063,6.971961,5.395819,6.570759,7.597762,5.965765,7.749159,6.630531,4.465909,9.721721,7.692105,6.8728,6.751343,9.944921,5.74715,6.133927,12.03285,7.282881,7.834176,6.230694,9.010415,5.74694,4.62527,6.875051,9.357658,4.969224,6.194852,4.389281,7.082997,9.341059,8.488585,5.911283,7.445322,8.514828,5.070029,8.258403,7.559191,6.902261,7.343896,8.703009,3.501578,7.169374,6.487836,7.65064,5.198853,6.417426,7.86143,6.246561,3.592077,7.914507,3.510134,6.759662,7.962328,7.165733,7.432708,7.636043,4.365372,8.991508,9.092772,7.424284,7.660013,4.440311,7.50401,9.256689,8.562588,6.526118,9.289389,9.427167,8.009455,3.841313,10.6431,7.100967,5.092332,6.922375,8.031743,8.86982,7.245323,control
GSM3507252,6.760154,8.417543,7.732307,6.001682,6.182224,5.803768,6.627169,5.901106,8.080787,4.87887,8.434595,7.360094,7.168124,7.886619,8.594865,6.222997,8.03697,7.276333,6.166924,4.047034,6.895042,9.332471,6.006717,6.729413,6.857371,5.218613,6.653621,7.48076,4.779966,7.891297,5.753167,5.08499,9.7306,6.738652,6.585573,6.427805,8.593598,5.525094,5.735761,11.62258,7.460593,7.264286,5.773355,8.615611,6.394867,5.048849,6.945261,9.318221,5.01795,5.99324,3.928231,8.056899,8.875204,8.342548,5.469723,7.006181,7.947226,4.682413,7.845498,7.741757,6.481671,6.253442,7.93484,4.107169,6.847307,6.679976,6.977393,6.078233,5.805949,6.90804,6.006193,4.107013,7.31902,2.66168,6.110476,6.749574,6.350645,7.249872,7.637872,4.238233,8.859754,8.319844,6.555287,7.269614,4.986649,7.397633,9.340878,9.129134,7.016543,10.71979,9.200994,7.237992,4.484108,9.936719,6.523702,5.444837,7.095459,8.813466,8.76062,7.404391,control
GSM3507253,6.780731,8.875138,7.719867,5.713544,6.010557,6.021646,6.624975,6.044977,8.09972,4.958467,7.931003,7.323737,6.945117,8.093919,8.834681,6.600652,7.796029,6.932156,6.282169,3.388205,7.164724,9.489668,5.356194,6.443607,7.046392,5.427796,6.196196,7.251198,5.65192,7.554476,6.507714,5.006436,9.963057,7.152361,6.175612,6.506128,9.436134,5.606711,5.984781,11.77836,7.865733,7.243803,6.061539,8.708925,6.9895,4.999219,7.657061,9.465409,5.546174,6.297351,4.198867,7.320451,9.603191,8.823877,5.278175,7.270857,8.166746,4.934698,8.253178,7.649861,6.569599,7.255363,8.175456,4.120108,7.186956,6.80761,7.145116,5.635913,5.514328,7.31249,6.932022,4.307661,7.27982,3.369578,6.504236,7.171377,6.503136,7.473462,8.086374,4.220568,9.064841,8.431686,7.008841,7.186559,4.580485,7.813428,9.598798,9.121082,6.62586,10.80469,9.114256,7.720043,3.952383,10.26822,6.662529,5.517177,6.880886,8.783041,9.264255,7.375899,control
GSM3507254,6.236564,8.585331,7.636132,6.006392,6.198723,5.484623,5.860363,5.612015,7.856642,4.489721,8.188369,7.285623,6.531791,8.069515,8.756201,6.109132,7.552326,6.963392,6.163297,4.320416,6.977062,9.047313,5.480963,6.093809,6.92183,5.134164,6.331765,7.091646,5.393027,7.404459,5.674736,4.895636,9.782719,6.397068,6.244981,6.473533,8.736418,5.639466,6.103753,11.69792,7.945707,7.728086,5.651866,8.398829,7.500813,4.828924,7.093836,8.886039,4.940318,6.171066,4.085794,7.340323,9.22065,8.552614,6.049318,6.85576,8.253588,4.902249,7.867318,8.235981,6.231999,6.75311,7.603157,3.894049,6.630012,7.371121,6.532412,5.662856,5.534372,6.389393,6.91985,3.514476,6.627808,2.15223,6.33902,6.992354,6.432578,7.587177,7.648897,4.311179,8.689984,7.789688,6.288722,7.031284,4.77176,7.683623,9.504419,8.617569,6.011136,10.70905,8.946598,7.813288,4.374001,10.09394,6.514878,5.092944,6.911,8.803954,8.458283,6.982642,control
GSM3507255,6.397424,8.203747,8.26687,6.402535,6.522259,5.351885,6.952391,5.983565,8.085351,4.954717,8.163488,7.694398,6.958297,7.895767,8.475085,5.527383,8.044252,7.608608,6.125444,3.761542,6.61731,9.260464,6.388012,6.118472,6.795727,5.158254,6.636726,7.356844,4.935641,7.156172,5.46349,4.80877,9.641665,6.139726,6.645698,6.642867,8.545269,5.293188,6.049133,11.28551,6.819951,7.121865,5.737829,8.183567,6.556252,5.207165,6.645926,9.006795,4.276476,5.774637,4.188491,7.673384,9.044838,7.972628,5.106066,6.660653,7.563685,4.449225,7.885262,7.351375,5.990579,6.687786,7.548885,3.998066,7.066034,6.037693,6.746168,4.429892,6.191311,6.872499,5.87363,3.80188,7.222192,2.798173,5.948413,6.898729,7.051777,7.273938,6.93535,4.052473,8.829947,8.484538,6.776643,7.390705,4.441294,7.145936,8.895163,8.631206,5.822637,10.15095,8.92589,7.15713,4.289158,9.728364,6.593698,4.999656,6.895702,8.313675,8.753941,7.435986,control
GSM3507256,6.092358,7.620011,7.891709,6.311311,7.070669,6.112819,6.971162,5.903995,7.736377,5.026825,7.792914,7.455615,7.158302,7.087836,8.369453,5.953526,4.70409,7.902212,7.241376,4.311369,5.750522,6.413802,4.873573,5.484624,6.755491,5.003745,6.482732,6.897482,5.869632,6.984079,6.333506,4.63588,8.552604,6.479431,6.845113,6.793685,9.735702,5.360171,5.993682,12.05839,6.265706,7.541775,6.034608,8.781081,6.537916,4.854798,5.534506,8.153031,5.419184,6.572811,4.104793,7.485476,8.595145,8.179205,5.247819,6.546675,7.702156,4.634852,7.858364,7.596815,6.308608,7.191699,6.533226,3.545124,6.338869,6.469933,7.22929,4.025041,5.932857,7.5456,6.03144,4.444792,7.083848,2.421506,6.05807,7.216881,7.552937,7.521497,6.709004,4.098946,6.716037,5.848444,6.258934,7.431076,4.180219,6.438372,8.305037,9.211644,6.610955,8.7788,8.917891,6.558613,4.264627,9.769896,6.415944,4.22028,7.548087,7.609573,8.444994,7.787452,control
GSM3507257,6.209705,7.843433,7.621282,5.558179,5.747859,5.025411,5.551698,5.816935,7.320251,4.65799,7.621283,7.284226,6.271856,7.470261,7.734631,5.242254,5.675191,5.29641,6.000797,3.443343,5.243651,7.581954,4.569505,6.233043,6.23807,4.597013,6.413609,7.160861,4.376443,7.066978,5.790702,4.580476,8.262513,5.602448,6.132642,6.622709,7.980481,5.430359,4.504169,10.78731,5.852228,6.254058,4.872169,8.386414,4.969681,3.875805,5.453625,7.959852,4.190704,5.522943,3.967776,6.960831,8.100906,8.136348,5.703725,6.251869,6.85543,4.176761,7.486703,6.963663,6.180191,5.858296,6.976356,4.069505,6.413543,5.637606,5.655151,3.676045,5.580693,6.252712,4.467522,2.863503,6.875595,2.545716,5.620345,6.414603,6.296365,7.007932,6.386901,4.114514,7.10228,6.158573,5.001157,6.440785,4.635572,6.519095,8.582303,7.567106,5.334156,8.838663,8.802681,5.964905,3.686577,9.486425,6.190096,3.966774,7.02246,7.620761,7.895268,6.710508,control
GSM3507258,7.532205,9.497424,8.582276,6.539255,7.201943,6.900748,7.312038,6.436627,8.885864,5.000751,8.776086,7.849552,8.084246,8.474474,9.845509,7.806809,8.699539,7.805443,6.374993,6.065318,9.148046,9.309723,7.294032,7.56102,7.118199,5.36908,7.088603,8.588045,6.233006,8.143915,7.406799,6.121235,11.17694,7.361251,7.009446,6.544243,10.0536,5.761569,6.836931,12.32965,8.713572,8.78554,6.901049,9.232815,8.038952,5.90438,8.376318,10.36812,5.839432,6.676442,4.496119,8.007261,10.03676,9.312739,6.996025,7.652267,9.054188,5.147532,9.038042,8.935156,7.150479,8.345915,8.994127,3.614186,7.163487,7.884649,7.58541,7.137964,6.454889,7.556641,7.847138,4.259893,7.862425,4.183897,7.382207,7.618821,7.615705,7.500866,8.419294,4.673198,8.968246,9.540822,7.752306,8.55165,4.43373,8.098982,10.62204,9.41023,7.306224,12.23379,9.951954,8.885146,4.507558,11.42755,7.132416,6.070593,7.24378,9.250501,9.406419,7.70811,control
GSM3507259,6.744739,8.280551,8.181499,6.138345,6.718554,5.867233,7.030713,6.079148,7.889194,4.897824,8.381848,7.382915,6.797153,7.754612,8.639474,5.950368,8.417314,7.761696,5.708229,4.426464,7.694852,9.501685,6.340768,6.992881,6.62314,5.045656,6.557907,7.261622,5.257501,7.310737,6.212725,5.434314,10.0116,6.667066,6.545149,6.812186,9.213942,5.460257,6.018924,11.70489,7.171094,7.68823,5.66716,9.010442,6.538765,5.310125,6.174531,8.985362,5.160834,6.428961,3.685915,7.520156,9.50091,8.405273,5.883033,6.994834,8.127144,4.58981,8.123298,8.012016,6.065742,7.539793,7.738146,3.730322,7.020564,6.634607,7.169645,4.504169,5.853503,7.084478,5.404217,4.377378,7.482976,2.809739,6.602067,7.274175,7.206756,6.663263,7.350252,4.487172,8.893096,8.694642,7.066633,7.080125,4.571371,7.315486,9.539341,8.867756,6.545239,10.39832,9.161397,7.172896,4.037772,10.07579,6.695196,5.061719,6.932745,8.61306,8.805359,7.6004,control
GSM3507260,6.101103,8.568368,7.68942,6.242602,6.909551,6.269956,8.03021,5.947077,8.045327,4.895889,8.813153,7.286989,6.967157,7.901818,8.94963,5.988287,10.26709,9.382226,6.354813,4.800123,7.810543,10.73813,8.122931,7.211824,6.962808,5.42164,6.634917,7.493014,6.174198,7.579568,6.616957,5.445297,11.01925,8.28416,6.687597,6.710864,9.868509,5.595922,6.563395,11.99491,7.682552,7.927298,5.845552,8.833033,7.598761,7.213337,7.840954,10.02469,5.61341,6.215216,4.107743,7.462245,9.938358,8.52911,5.639582,7.270768,7.654365,4.884994,7.866793,7.539873,6.463758,8.511436,8.810163,3.807976,7.466117,6.886458,7.406154,5.303301,6.465106,7.59491,6.617234,5.222873,8.227244,4.181593,7.525496,7.824858,7.278663,7.249752,7.642283,4.662222,10.37516,10.21773,8.405245,7.47505,4.52303,7.399248,10.2991,9.602233,6.617363,10.42954,9.265532,8.2006,5.747994,10.62143,7.496553,5.774055,7.074483,8.955069,9.694869,7.443287,control
GSM3507261,7.875426,9.504213,8.494108,6.513124,7.356549,6.893177,7.640386,6.566737,8.789103,5.569018,8.85961,8.217321,7.444085,8.510697,9.431467,7.384784,9.834111,8.506067,6.496471,5.774735,8.48909,10.12987,7.628809,8.097452,7.088266,5.672449,6.962048,8.143029,6.873474,8.242554,7.134811,5.860349,11.15651,8.254995,6.990152,6.788713,10.17972,6.317566,7.323718,12.35023,8.237066,9.293729,6.358745,9.417471,7.912963,6.515896,8.087911,10.59026,6.178644,6.944214,4.614508,8.052155,10.39634,9.087257,7.018954,7.529732,8.64154,5.155006,9.211915,8.641846,6.96133,8.421974,9.303102,4.236027,7.556223,8.089336,7.851117,6.498835,6.216163,7.950431,7.42646,4.938334,8.602874,4.121682,7.444044,7.82359,7.954603,7.593016,8.302685,5.001419,9.740449,9.934536,8.302606,8.382421,4.832527,8.041201,10.68223,10.06782,7.501144,11.69553,9.627067,8.526621,4.599351,10.97538,7.202229,6.524261,7.166028,9.439993,9.482773,7.618498,SONFH
GSM3507262,8.141576,10.03024,9.226085,6.876479,7.210435,6.573769,7.858333,6.67908,9.578898,5.561942,8.564416,8.652489,8.362701,8.369186,10.04318,7.029945,8.991001,8.453867,6.621305,6.044458,8.755416,9.361707,7.594585,7.907023,7.752206,5.459992,7.230401,8.829001,6.674294,8.002508,7.416223,5.409904,11.46023,7.208161,7.663522,6.922367,9.880347,6.284365,6.672001,12.49188,8.181003,8.775195,6.574675,9.475842,7.465117,5.915624,7.602551,10.6527,5.952609,6.827261,4.893587,9.081528,9.83541,9.011791,7.084697,7.607637,8.756291,5.465222,9.12485,8.985453,7.214034,7.799893,8.84919,3.77685,7.412539,7.799573,7.733227,7.066538,6.87731,8.063075,6.665473,4.711674,7.7623,4.005614,7.181509,7.536071,7.897951,7.523965,8.381419,4.382175,9.004772,9.312564,7.785421,8.248409,4.486855,8.549171,10.45483,9.746727,7.470389,11.835,9.989044,8.580243,5.104526,11.19272,7.12952,6.152547,7.809021,9.283384,10.26648,7.948265,SONFH
GSM3507263,7.403821,9.238935,8.56298,6.659026,7.21184,6.679171,7.971907,6.488019,8.817678,5.194899,8.740775,8.251106,7.558172,8.282917,9.391264,6.183393,10.18431,8.847819,6.786344,6.076948,8.171887,10.72034,8.072205,8.339977,7.374946,5.89315,7.131297,7.846399,6.259141,8.177601,7.412395,5.744718,10.72824,8.06845,7.276517,6.88594,10.226,5.473304,6.72109,12.25041,8.052791,9.171336,6.501809,9.541388,7.598941,6.51936,8.273389,10.77212,6.183846,6.836462,4.318249,8.28667,10.05975,8.750904,6.778558,7.320031,8.449435,5.106245,9.050602,8.520706,6.912879,8.285333,9.193531,4.028235,7.251908,7.264864,7.954376,6.277125,6.737078,8.722684,6.524708,5.384778,8.66139,3.953923,7.66281,7.912905,8.202097,7.368588,7.893939,4.537195,10.30329,10.16608,8.289145,7.884447,4.697574,7.751656,10.69637,9.728348,7.530699,10.80756,9.547277,8.164636,5.124049,10.913,6.996904,6.178375,7.542471,9.66439,9.484677,7.966724,SONFH
GSM3507264,7.164549,9.047409,8.279549,6.363978,6.947764,6.633478,8.037062,6.301594,8.637918,5.253983,8.751945,7.964998,7.291188,8.221005,9.17697,6.631104,9.335537,8.427665,6.446532,5.537056,8.098106,10.29153,7.447749,7.706807,7.0609,5.562937,6.816704,8.069608,6.393025,7.857161,6.824448,5.687712,10.76949,7.634298,6.806712,6.774816,9.880344,6.00214,6.882687,12.10178,8.16662,8.414699,6.299048,8.756067,7.555483,6.305876,7.806356,9.928876,5.678436,6.609471,4.508924,7.691022,9.856201,9.021479,6.15726,7.422162,8.801979,5.145408,8.188537,8.074839,6.699006,8.221132,9.122987,4.203539,7.36513,7.534051,7.323256,6.208277,6.536683,7.793361,7.272471,4.730414,8.280864,4.524016,7.112738,7.892813,7.477352,7.474882,7.924274,4.971493,9.868237,9.574239,8.088335,7.726117,4.732552,7.848307,10.16968,9.46194,6.912067,11.49019,9.514947,8.283861,5.05897,10.74793,7.376582,5.693203,7.111662,9.342627,9.518445,7.721189,SONFH
