sample,11725813_at,11720493_s_at,11720739_s_at,11756361_x_at,11720866_a_at,11754831_a_at,11743865_s_at,11754832_a_at,11757379_a_at,11718185_a_at,11759144_at,11734995_x_at,11757243_s_at,11752266_a_at,11722270_at,11753961_a_at,11717762_a_at,11724678_a_at,11754946_a_at,11736575_x_at,11751544_a_at,11717836_a_at,11719307_a_at,11725180_a_at,11747203_x_at,11754197_x_at,11732135_a_at,11756077_a_at,11729215_x_at,11715676_s_at,11749027_x_at,11753127_a_at,11715524_a_at,11725789_at,11716612_a_at,11729593_at,11757300_s_at,11763217_x_at,11724357_a_at,200021_PM_at,11722900_s_at,11733611_a_at,11741278_a_at,11720600_a_at,11749275_a_at,11719308_a_at,11727740_a_at,11730788_a_at,11746459_a_at,11731521_at,11745779_a_at,11715926_s_at,11741660_a_at,11721513_a_at,11721703_s_at,11755153_a_at,11722387_at,11731874_x_at,11758105_s_at,11727913_a_at,11725461_s_at,11745421_a_at,11720644_a_at,11741275_a_at,11754863_s_at,11718568_a_at,11723179_a_at,11728838_a_at,11736333_at,11719798_s_at,11728858_at,11727172_at,11750028_a_at,11722258_at,11724645_at,11726704_x_at,11722752_a_at,11724493_s_at,11722225_a_at,11732823_s_at,11717837_x_at,11723691_at,11758669_s_at,11755086_x_at,11728555_s_at,11744896_a_at,11724005_s_at,11716765_s_at,11722107_at,11731425_at,11720345_a_at,11719367_a_at,11759416_x_at,11757477_s_at,11722834_x_at,11752689_a_at,11716449_a_at,11720998_a_at,11732131_x_at,11725073_s_at,class
GSM3507275,7.25208,9.271743,8.50321,6.673115,7.103109,6.8293,7.300763,6.376186,8.790459,5.18425,8.871881,7.757746,7.363226,8.308074,9.880648,6.841464,10.05267,8.65864,6.535645,5.000542,7.98037,10.28637,7.670575,7.439898,7.407506,5.525873,6.835799,7.716875,6.043372,8.023245,7.292178,5.921491,11.39281,7.865646,7.135183,6.895293,10.10885,5.779306,6.71666,12.4879,8.128131,8.426694,6.422961,9.614647,7.391787,6.558431,8.051957,10.17601,5.847871,6.477676,4.667566,7.624681,10.15199,8.89609,6.370163,7.514953,8.56304,5.237353,8.563173,8.309504,6.714498,8.053477,9.129786,4.269623,7.358551,7.639468,7.508504,5.567528,6.271003,7.48767,7.074622,4.806232,8.247156,3.341868,7.20835,7.95999,7.70146,7.71373,8.10535,4.707166,9.794602,9.595425,8.201294,8.056363,5.168242,8.095109,10.51015,9.600368,6.855161,11.12489,9.591278,8.632149,5.227962,11.23825,7.26601,5.642265,7.300293,9.582403,9.634721,7.607474,SONFH
GSM3507276,7.37997,9.435194,8.487464,6.560087,7.175537,6.849974,7.907942,6.296542,8.669685,5.418392,8.702318,8.245712,7.532464,8.323483,9.320958,7.497074,9.045812,8.245603,6.509258,5.208914,8.079834,9.98916,6.961359,7.638847,7.14397,5.543359,7.035659,8.118515,6.149384,7.711116,6.833357,5.897124,10.60523,7.693412,6.926301,6.781425,9.995968,5.75944,6.709094,12.20384,8.291896,8.30896,6.550359,9.26644,8.033602,5.916633,7.417674,10.16048,6.104755,6.850386,4.301242,7.873792,10.60827,9.324269,6.414462,7.541021,8.450729,4.913005,8.923564,8.251458,6.661393,8.097174,9.111114,4.111265,7.71712,7.732231,7.709234,6.582932,6.448746,7.875521,7.672881,4.504169,8.073347,3.976072,7.088795,7.774551,7.643488,7.561841,8.072641,4.847413,9.604282,9.523519,7.885808,7.579797,4.851514,7.821798,10.21729,9.909045,7.069356,11.81207,9.657074,8.159214,4.639647,10.86023,7.275706,5.442579,7.019492,9.240374,9.772512,8.023037,SONFH
GSM3507277,8.354503,9.916922,8.444268,6.563048,7.229887,6.711081,7.956213,6.61788,9.446583,5.649556,8.886239,8.26224,8.44279,8.34266,9.788803,8.342497,9.316772,8.448576,6.582401,6.627792,8.927488,10.49061,7.55017,7.934778,7.409866,5.924827,7.300068,8.940627,6.77491,8.418884,7.293645,6.037461,10.99447,7.930811,7.286489,6.82068,9.789261,5.767046,6.61309,12.25863,8.68038,8.360806,6.937378,9.321402,8.000707,6.258809,8.170111,10.525,5.985567,6.51201,4.872913,8.415469,10.08758,9.634972,7.172527,7.679955,9.439338,5.427823,8.911394,8.709375,7.232613,8.514277,9.899139,4.050858,7.825678,7.570103,7.826025,7.704388,6.765967,8.033609,7.884707,5.285029,7.826789,4.173814,7.558331,7.727437,7.840732,7.774629,9.200688,4.888054,10.11133,9.763961,7.681634,7.969403,4.87621,8.402445,10.13299,10.74896,7.854038,12.65549,10.27766,9.126711,5.149627,11.09949,7.715413,6.0978,7.295795,9.957184,10.51154,8.469291,SONFH
GSM3507278,7.488577,9.536626,8.614393,6.753649,6.940008,7.004614,7.652967,6.528271,9.006711,5.456977,8.568222,8.341547,7.73466,8.337234,9.573672,7.048382,8.669499,8.055432,6.33543,5.508549,8.707199,9.946262,7.003131,8.131289,7.478267,5.731889,6.99749,8.182436,6.667808,7.982197,7.217099,6.063325,10.87424,7.74693,7.139957,7.086879,10.32144,6.469675,6.492729,12.28957,8.344204,8.631565,6.488918,9.530206,7.839523,5.936204,7.782715,10.07096,6.279162,6.769509,4.915682,8.087568,10.67109,9.481197,6.259177,7.481674,8.675641,5.364847,8.957687,8.400312,6.919529,8.236959,9.248415,3.836253,7.553797,7.667921,7.985882,5.958291,6.314784,7.896168,7.795685,4.296463,8.062521,4.721818,7.587418,7.845265,7.721656,7.448569,8.539624,4.971909,9.559843,9.68312,8.161357,7.68738,4.690382,8.062288,10.62636,9.77152,7.306699,11.81233,9.909229,8.37641,4.443713,11.05801,7.155241,5.697676,7.387339,9.710701,10.06134,8.108997,SONFH
GSM3507279,7.788872,9.888657,8.462848,6.51369,7.212812,6.814357,7.926976,6.59385,9.205881,5.263831,9.149988,8.548034,7.888843,8.473851,9.700693,7.602112,9.224592,8.060997,6.412696,5.605831,8.505486,10.12326,6.95002,7.905221,7.146645,5.637517,7.343782,8.435418,6.725025,8.326917,7.238356,5.9159,11.38231,7.733908,6.975758,6.781293,10.52226,6.460121,7.002049,12.3872,8.97026,8.78911,6.739307,9.178439,8.268518,5.799008,7.874615,10.33891,5.94237,6.737056,4.906562,8.187085,10.65971,9.74091,6.395435,7.675379,9.119233,5.265116,9.259602,8.593328,7.163003,8.780422,9.671252,4.185604,7.843687,7.936559,7.863656,7.002766,6.835986,7.916849,8.121604,4.70312,8.327231,4.879691,7.509345,8.028872,7.773837,7.83784,8.729418,4.694562,9.742867,9.905807,8.211298,7.86903,4.97516,8.574735,10.60816,10.06825,7.455556,12.12953,9.937529,8.905992,4.879965,11.29129,7.655023,5.862051,7.325889,9.637092,10.2921,7.898831,SONFH
GSM3507280,7.624196,9.50627,8.299607,6.578038,7.250978,6.763156,7.91184,6.275908,9.092013,5.429572,9.110379,8.217206,7.775412,8.416076,9.183477,7.088357,10.02657,9.01106,6.527071,4.939278,8.41431,10.30235,7.505234,8.15117,7.430243,5.713128,7.368961,8.475516,6.776366,8.100859,6.896319,5.690104,11.04474,8.178271,7.081563,6.906506,10.38437,5.707612,6.878957,12.33873,8.372188,8.495298,6.490127,9.318265,8.139372,6.335018,8.176434,10.65813,5.841603,6.690161,4.698931,8.115157,10.37982,9.481478,6.459637,7.615136,8.778436,5.073928,8.923882,8.361046,6.874267,8.452183,9.623849,4.191124,8.064252,7.495121,7.775921,6.428336,6.557631,8.111381,7.771482,4.68603,8.312956,4.920973,7.642169,7.899024,7.786135,7.645115,8.369315,4.828941,9.878102,9.999565,8.290382,7.692481,4.966359,8.097919,10.33817,10.00866,7.072861,11.92844,9.840651,8.378849,5.330853,11.01147,7.477717,5.704393,7.415743,9.315411,10.0987,7.971587,SONFH
GSM3507281,7.320574,9.692973,8.944379,7.061182,7.59586,6.364894,7.57392,6.436211,8.932184,5.162147,8.45591,8.125173,7.949273,7.983108,10.0039,7.21698,8.822761,8.856112,6.533552,5.479178,7.66801,10.2075,7.89924,7.591131,7.719761,5.627744,7.288338,8.195963,5.898769,8.018728,7.072518,5.302844,11.10403,7.29537,7.636978,7.188144,9.806461,6.112474,6.712802,12.53559,7.936865,7.978599,6.487356,9.016798,7.283406,5.981627,7.577511,10.17692,5.534682,6.619347,4.872913,8.779944,9.756849,9.028842,6.46894,7.73218,9.306952,4.945127,8.759371,8.574808,6.489823,7.827946,8.819674,4.175802,7.446007,7.267149,7.198684,5.953035,6.456048,7.343414,6.914347,4.681588,7.534847,2.948521,6.504036,7.589657,7.366954,7.80126,8.13596,4.475731,9.916356,9.213687,7.414335,8.138559,5.078995,8.421322,10.1835,9.693539,6.738867,11.76822,9.629432,8.909344,5.066494,10.95572,7.274193,5.735645,7.712908,9.049366,9.383068,8.078719,SONFH
GSM3507282,6.950214,8.911393,8.383872,6.642535,7.02932,6.46609,7.207761,6.390071,8.869864,5.240535,8.790639,7.777691,7.434958,8.237907,9.525266,6.535662,9.451743,8.604405,6.59952,5.502457,7.916745,10.14382,7.551092,7.626359,7.309715,5.545763,6.742209,7.429932,5.816353,7.916646,6.681751,5.833457,10.72196,7.874315,7.104603,6.980653,9.75913,5.867328,6.6354,12.33027,8.03599,8.356123,6.61531,8.9744,7.221267,6.422442,7.844534,10.02902,5.911842,6.702225,4.839475,8.0441,9.764524,8.898472,6.083615,7.371079,8.618576,5.004112,8.402989,8.118074,6.739402,8.289924,8.363164,4.159272,7.322193,7.382596,7.690798,5.861395,6.142619,7.670831,7.427898,4.913645,7.999901,3.506275,7.212769,7.741355,7.580451,7.850482,8.05896,4.507265,9.91333,9.571346,7.708368,7.680503,4.879478,7.808213,10.34986,9.364655,7.005087,10.94356,9.397776,8.345128,5.236015,10.77252,6.914151,5.685926,7.499362,9.256256,9.260028,7.66338,SONFH
GSM3507283,7.789629,9.633291,8.317272,6.171923,7.222436,6.942743,7.872989,6.460114,9.292198,5.583212,8.875463,7.880866,8.130122,8.589519,9.454918,7.744296,9.609842,9.041098,6.500196,5.493963,8.895022,9.888171,7.556039,8.461987,7.436077,5.73455,6.883998,8.809131,7.193403,8.788147,6.829659,6.16661,11.12557,8.418158,6.777565,6.574142,10.4746,5.644781,6.811714,12.3522,9.330601,8.89908,6.852995,9.037453,8.150187,6.727852,8.576453,10.81891,6.482524,7.305494,5.326484,8.256424,10.28022,9.955938,6.770682,7.771098,9.163424,5.694375,9.248938,8.641953,6.905943,8.68047,9.421362,4.381065,7.6353,7.951401,8.144929,7.575984,6.540137,8.186294,8.974828,5.54373,8.263734,4.832058,8.25268,8.405097,7.912592,7.377364,9.113148,5.188609,9.505547,10.62351,8.232248,7.65451,4.864717,8.468284,10.60163,10.01303,8.176773,12.80741,10.09414,9.076492,5.405357,11.03366,7.284801,6.021297,6.945037,9.880026,10.40094,8.114458,SONFH
GSM3507284,7.234765,9.326451,8.807965,6.833905,7.107484,6.425447,7.625359,6.09585,9.006639,5.413785,8.741583,8.443928,7.881718,8.177657,9.611669,6.559669,8.754869,8.598371,6.820605,4.964761,7.347276,9.949762,6.993912,7.722713,7.377685,5.829458,7.192991,8.343186,6.277145,7.909091,6.502941,5.48156,10.79499,7.302222,7.178365,6.85387,9.741303,6.091197,6.385146,12.238,8.088409,8.249464,6.381437,8.769503,7.369549,5.810331,7.391807,9.972525,5.789599,6.728858,5.033905,8.302857,10.02682,8.940854,6.245814,7.446126,8.651213,5.062455,8.540506,8.403637,6.673919,8.192997,8.784569,4.272123,7.564492,7.591259,7.646285,6.402398,6.63571,7.693397,7.268995,4.693293,7.696585,3.936686,7.086162,7.744053,7.81298,7.978539,8.287724,4.260379,9.660861,9.317099,7.762774,7.719268,4.904048,8.277971,10.28976,9.436805,7.257185,11.43606,9.536039,8.44665,4.92568,10.60387,7.041932,5.803795,7.756129,8.962179,9.653467,8.06133,SONFH
