probe_id,Median_TestAUC,Mean_TestAUC,SD_TestAUC,Median_TestAcc,gene_symbol,combined_score
11715931_s_at,0.4444444444444445,0.3925925925925926,0.2876039801232174,0.25,SGK1,0.4444444444444445
11735284_x_at,0.4444444444444445,0.4296296296296297,0.2678471812113266,0.25,KMT2E,0.4444444444444445
11741223_s_at,0.4444444444444445,0.4814814814814815,0.3694432841344445,0.25,FAM198B,0.4444444444444445
11755032_s_at,0.4444444444444445,0.5481481481481482,0.29560103613681354,0.25,ASAP1,0.4444444444444445
11722022_s_at,0.4444444444444445,0.45925925925925926,0.2791324989839522,0.25,CDK5R1,0.4444444444444445
11763557_x_at,0.4444444444444445,0.4518518518518519,0.3975231959999626,0.25,TRBC1 /// TRBC2 /// TRBV19 /// TRBV3-1 /// TRBV5-4 /// TRBV6-5 /// TRBV7-2,0.4444444444444445
11721947_a_at,0.4444444444444445,0.5333333333333334,0.4479797663469204,0.25,MRVI1,0.4444444444444445
11717127_a_at,0.4444444444444445,0.5185185185185185,0.3434673516850261,0.25,ANPEP,0.4444444444444445
11725795_at,0.4444444444444445,0.5481481481481482,0.3243649488268343,0.25,S1PR2,0.4444444444444445
11754219_a_at,0.4444444444444445,0.5259259259259259,0.3698143975219738,0.25,SIPA1L1,0.4444444444444445
11737412_at,0.4444444444444445,0.4444444444444445,0.3260521641047965,0.25,SCML4,0.4444444444444445
11747549_x_at,0.4444444444444445,0.5185185185185185,0.26835882863313776,0.25,PICALM,0.4444444444444445
11718120_at,0.4444444444444445,0.4222222222222222,0.38365079000232777,0.4166666666666667,ATP6V1A,0.4444444444444445
11752869_s_at,0.4444444444444445,0.5037037037037038,0.3329215563591738,0.75,CEBPD,0.4444444444444445
11724881_at,0.4444444444444445,0.49629629629629635,0.3994165841346048,0.75,ZNF217,0.4444444444444445
11717178_a_at,0.4444444444444445,0.4111111111111111,0.36439626299996575,0.75,STAT5A,0.4444444444444445
11757054_x_at,0.4444444444444445,0.4666666666666667,0.44103631545493915,0.75,TMEM43,0.4444444444444445
11739570_at,0.4444444444444445,0.39259259259259266,0.35097356268095214,0.75,ASH1L,0.4444444444444445
11748544_s_at,0.4444444444444445,0.4296296296296297,0.32032219719169863,0.75,TXNIP,0.4444444444444445
11756571_a_at,0.4444444444444445,0.4444444444444445,0.17568209223157666,0.75,PSEN1,0.4444444444444445
11732514_s_at,0.4444444444444445,0.5555555555555556,0.40656478518703976,0.75,LYN,0.4444444444444445
11731978_s_at,0.4444444444444445,0.362962962962963,0.3275213476953207,0.75,PCSK7,0.4444444444444445
11715723_s_at,0.4444444444444445,0.49629629629629635,0.30832082056692467,0.5,ITM2B,0.4444444444444445
11745431_a_at,0.4444444444444445,0.4518518518518519,0.27014196338978474,0.75,SVIL,0.4444444444444445
11725515_a_at,0.4444444444444445,0.6037037037037037,0.36888591401448095,0.75,ABCG1,0.4444444444444445
11727257_a_at,0.4444444444444445,0.362962962962963,0.29791226003244753,0.75,JAK3,0.4444444444444445
11716625_a_at,0.4444444444444445,0.4518518518518519,0.33579339130794483,0.75,ANAPC13,0.4444444444444445
11717409_at,0.4444444444444445,0.4518518518518519,0.30698319681632746,0.75,SH2B3,0.4444444444444445
11717091_s_at,0.4444444444444445,0.41111111111111115,0.3455577388680977,0.75,CDKN1B,0.4444444444444445
11755011_x_at,0.4444444444444445,0.4814814814814815,0.2644973492052907,0.5833333333333334,ZNF106,0.4444444444444445
11728498_a_at,0.4444444444444445,0.5111111111111112,0.29791226003244753,0.5833333333333334,SVIL,0.4444444444444445
11762287_x_at,0.4444444444444445,0.4222222222222222,0.3094310899882285,0.75,TRBC2 /// TRBV3-1 /// TRBV5-4 /// TRBV6-5,0.4444444444444445
11725516_s_at,0.4444444444444444,0.5777777777777777,0.3836507900023277,0.25,ABCG1,0.4444444444444444
11719090_at,0.4444444444444444,0.40740740740740744,0.23424278964210216,0.25,TAB1,0.4444444444444444
11719900_a_at,0.4444444444444444,0.4,0.3179581634271816,0.25,TRRAP,0.4444444444444444
11745278_a_at,0.4444444444444444,0.5407407407407407,0.37184890068181137,0.25,SYNJ1,0.4444444444444444
11757478_s_at,0.4444444444444444,0.4222222222222222,0.25472220539332446,0.25,MAP2K1,0.4444444444444444
11759887_x_at,0.4444444444444444,0.5037037037037038,0.38095972949996415,0.25,NBPF8,0.4444444444444444
11753198_a_at,0.4444444444444444,0.45925925925925926,0.26397821749934014,0.25,SMARCA2,0.4444444444444444
11728206_a_at,0.4444444444444444,0.5481481481481482,0.25846438996100596,0.25,FAM120A,0.4444444444444444
11717167_a_at,0.4444444444444444,0.5666666666666667,0.3119697146850291,0.25,KDM2A,0.4444444444444444
11725746_a_at,0.4444444444444444,0.45925925925925926,0.37551975868552817,0.25,PITPNC1,0.4444444444444444
11754319_at,0.4444444444444444,0.4814814814814815,0.2951366194538746,0.5,SSH1,0.4444444444444444
11717170_x_at,0.4444444444444444,0.38888888888888895,0.3239417719358501,0.25,TRPC4AP,0.4444444444444444
11727835_a_at,0.4444444444444444,0.4222222222222222,0.28400428907675285,0.3333333333333333,EVL,0.4444444444444444
11729412_x_at,0.4444444444444444,0.5555555555555556,0.2771598064276994,0.3333333333333333,C9orf142,0.4444444444444444
11745744_a_at,0.4444444444444444,0.5703703703703704,0.38632310549349036,0.5,AMPD2,0.4444444444444444
11723118_a_at,0.4444444444444444,0.562962962962963,0.39665957734786045,0.5833333333333334,DSTYK,0.4444444444444444
11722011_a_at,0.4444444444444444,0.48888888888888893,0.22129435920429122,0.75,GIMAP4,0.4444444444444444
11739523_at,0.4444444444444444,0.4296296296296297,0.37092550988308987,0.75,ST8SIA4,0.4444444444444444
11747005_a_at,0.4444444444444444,0.34814814814814815,0.29583297107727197,0.75,EML4,0.4444444444444444
11758277_x_at,0.4444444444444444,0.45925925925925926,0.2887939065128582,0.75,NBPF11 /// NBPF12 /// NBPF15 /// NBPF19 /// NBPF20 /// NBPF26 /// NBPF8 /// NBPF9,0.4444444444444444
11720974_at,0.42592592592592593,0.4666666666666666,0.32799218766834637,0.25,ASB8,0.42592592592592593
11756206_a_at,0.42592592592592593,0.42592592592592593,0.29802735073020525,0.75,YIPF1,0.42592592592592593
11721067_s_at,0.42592592592592593,0.5148148148148148,0.301004263307835,0.75,MGRN1,0.42592592592592593
11723402_a_at,0.40740740740740744,0.5518518518518519,0.35870518556454073,0.3333333333333333,STK4,0.40740740740740744
11717223_a_at,0.40740740740740744,0.4666666666666667,0.35097356268095214,0.25,EXTL3,0.40740740740740744
11760103_at,0.40740740740740744,0.3111111111111111,0.2923346260840165,0.25,PRKAR2A,0.40740740740740744
11716991_at,0.40740740740740744,0.3925925925925926,0.3460535889421653,0.25,AREL1,0.40740740740740744
11735177_at,0.40740740740740744,0.45925925925925926,0.3567879875197717,0.25,HAL,0.40740740740740744
11741350_a_at,0.40740740740740744,0.5185185185185186,0.38932955632645627,0.25,ANXA11,0.40740740740740744
11720380_a_at,0.40740740740740744,0.5296296296296297,0.4381498700695634,0.25,IMPDH1,0.40740740740740744
11758215_s_at,0.40740740740740744,0.437037037037037,0.37258596562842344,0.25,TLE3,0.40740740740740744
11743712_a_at,0.40740740740740744,0.35555555555555557,0.28997895008982794,0.3333333333333333,ARID4A,0.40740740740740744
11725077_at,0.40740740740740744,0.39259259259259266,0.22921108810023413,0.25,RIT1,0.40740740740740744
11762294_x_at,0.40740740740740744,0.49629629629629635,0.27417415590106287,0.3333333333333333,TRBC1 /// TRBV19,0.40740740740740744
11754218_a_at,0.40740740740740744,0.3851851851851852,0.21691185873105664,0.3333333333333333,SLC45A4,0.40740740740740744
11717726_s_at,0.40740740740740744,0.4518518518518519,0.27517297216306236,0.5,HN1,0.40740740740740744
11724470_s_at,0.40740740740740744,0.3925925925925926,0.3615619218330602,0.5,MGST1,0.40740740740740744
11732200_at,0.40740740740740744,0.4666666666666666,0.22619898495707363,0.5833333333333334,PLAGL2,0.40740740740740744
11721948_a_at,0.40740740740740744,0.41481481481481486,0.30020569080236215,0.6666666666666666,RAB3GAP2,0.40740740740740744
11719125_a_at,0.40740740740740744,0.34814814814814815,0.2827942099084604,0.6666666666666666,BRAT1,0.40740740740740744
11736272_a_at,0.40740740740740744,0.49629629629629635,0.3755197586855282,0.25,THUMPD3,0.40740740740740744
11724418_a_at,0.40740740740740744,0.41111111111111115,0.23945525741103127,0.25,UNKL,0.40740740740740744
11743591_a_at,0.40740740740740744,0.41481481481481486,0.3957940742931125,0.6666666666666666,ZDHHC7,0.40740740740740744
11741762_x_at,0.40740740740740744,0.4296296296296297,0.19702868264104276,0.25,C14orf93,0.40740740740740744
11733403_x_at,0.40740740740740744,0.5222222222222223,0.459318992531185,0.25,CLEC7A,0.40740740740740744
11724096_a_at,0.40740740740740744,0.4814814814814815,0.29629629629629634,0.25,PDE4B,0.40740740740740744
