Gene,Iteration,N_train,N_test,TrainAUC,TestAUC,TrainAcc,TestAcc,ScaleMean,ScaleSD,Notes
11740553_a_at,1,28,12,0.9931972789115646,1.0,0.9285714285714286,1.0,6.069622785714286,0.393489601631103,
11740553_a_at,2,28,12,1.0,0.962962962962963,0.9642857142857143,0.9166666666666666,6.069428928571429,0.35685331026191075,
11740553_a_at,3,28,12,0.9931972789115646,1.0,0.9642857142857143,0.9166666666666666,6.059012428571429,0.36051514394866685,
11740553_a_at,4,28,12,1.0,1.0,0.9642857142857143,0.9166666666666666,6.067600499999999,0.40286343072932285,
11740553_a_at,5,28,12,1.0,1.0,1.0,0.8333333333333334,6.091637642857144,0.3801954691717887,
11718185_a_at,1,28,12,0.9931972789115646,1.0,0.9642857142857143,0.9166666666666666,5.213374857142859,0.28539096985373047,
11718185_a_at,2,28,12,1.0,1.0,1.0,0.9166666666666666,5.252289678571429,0.2896687762577642,
11718185_a_at,3,28,12,0.9931972789115646,1.0,0.9642857142857143,1.0,5.243977785714287,0.31098046403013296,
11718185_a_at,4,28,12,0.9863945578231292,1.0,0.9642857142857143,1.0,5.234405750000001,0.2841786626725211,
11718185_a_at,5,28,12,0.9931972789115646,1.0,0.9642857142857143,1.0,5.2309174642857155,0.2641470461437722,
11725976_a_at,1,28,12,1.0,0.962962962962963,0.9642857142857143,0.9166666666666666,6.491336249999999,0.35129748818720424,
11725976_a_at,2,28,12,0.9863945578231293,1.0,0.9285714285714286,1.0,6.500789785714284,0.39142163009058045,
11725976_a_at,3,28,12,1.0,1.0,0.9642857142857143,0.9166666666666666,6.478112928571428,0.3231543177508723,
11725976_a_at,4,28,12,0.9863945578231293,1.0,0.9285714285714286,1.0,6.491167892857143,0.34609194923264935,
11725976_a_at,5,28,12,0.9863945578231293,1.0,0.9285714285714286,1.0,6.529286857142857,0.32346143882977874,
11755411_a_at,1,28,12,0.9591836734693877,1.0,0.9642857142857143,0.9166666666666666,6.180974857142856,0.26287476818534206,
11755411_a_at,2,28,12,0.9455782312925171,1.0,0.8928571428571429,0.9166666666666666,6.1581376785714275,0.2326396110299192,
11755411_a_at,3,28,12,0.9523809523809523,0.962962962962963,0.9642857142857143,0.8333333333333334,6.172374785714284,0.2804808223063675,
11755411_a_at,4,28,12,0.9523809523809523,1.0,0.9285714285714286,0.9166666666666666,6.184177928571429,0.23482859473855305,
11755411_a_at,5,28,12,0.9523809523809523,1.0,0.9642857142857143,0.9166666666666666,6.175842178571428,0.25783301844497813,
11724224_a_at,1,28,12,0.979591836734694,0.8888888888888888,0.9285714285714286,0.8333333333333334,8.522339178571428,0.6395922617065444,
11724224_a_at,2,28,12,0.9319727891156463,1.0,0.8928571428571429,0.9166666666666666,8.453943214285715,0.6154658679342229,
11724224_a_at,3,28,12,1.0,0.8518518518518519,1.0,0.8333333333333334,8.49170657142857,0.6077461783640484,
11724224_a_at,4,28,12,1.0,0.8148148148148149,0.9642857142857143,0.75,8.400156178571429,0.6703725043091949,
11724224_a_at,5,28,12,0.9727891156462586,0.962962962962963,0.9285714285714286,0.8333333333333334,8.475579428571427,0.6404102936007582,
11736084_a_at,1,28,12,0.9863945578231292,1.0,0.8928571428571429,0.9166666666666666,6.645108535714286,0.35394340943082586,
11736084_a_at,2,28,12,0.9727891156462585,0.962962962962963,0.8928571428571429,0.9166666666666666,6.63063907142857,0.35934869444356005,
11736084_a_at,3,28,12,0.9727891156462585,0.8518518518518519,0.8928571428571429,0.75,6.679772107142857,0.29488403015565284,
11736084_a_at,4,28,12,0.9795918367346939,0.962962962962963,0.9285714285714286,0.9166666666666666,6.653368392857142,0.3812109195383633,
11736084_a_at,5,28,12,0.9727891156462585,1.0,0.9285714285714286,0.9166666666666666,6.670631607142857,0.39558710625416466,
11744351_a_at,1,28,12,0.9523809523809523,1.0,0.8928571428571429,1.0,8.310941607142857,0.6043157141527523,
11744351_a_at,2,28,12,0.9523809523809523,1.0,0.8928571428571429,1.0,8.2591575,0.6429274603174024,
11744351_a_at,3,28,12,0.9591836734693877,1.0,0.8928571428571429,1.0,8.284898821428571,0.5950427196484269,
11744351_a_at,4,28,12,0.9931972789115646,0.962962962962963,0.9285714285714286,0.9166666666666666,8.267327107142858,0.6531289110931539,
11744351_a_at,5,28,12,1.0,0.8518518518518519,1.0,0.75,8.296244714285715,0.6201871858702767,
11746376_a_at,1,28,12,1.0,0.7407407407407408,0.9642857142857143,0.8333333333333334,8.167518892857142,0.5085215406221902,
11746376_a_at,2,28,12,0.9931972789115646,0.888888888888889,0.9285714285714286,0.9166666666666666,8.109085714285714,0.49182932999431417,
11746376_a_at,3,28,12,0.9523809523809523,1.0,0.8928571428571429,1.0,8.176436928571428,0.4987704858272642,
11746376_a_at,4,28,12,0.9251700680272109,1.0,0.9285714285714286,0.9166666666666666,8.168468642857142,0.5030678218232765,
11746376_a_at,5,28,12,0.8979591836734695,0.962962962962963,0.9642857142857143,0.9166666666666666,8.141313392857143,0.5078688776896344,
11737423_a_at,1,28,12,0.9931972789115646,0.7407407407407408,0.9285714285714286,0.9166666666666666,7.894532749999999,0.5521390488936255,
11737423_a_at,2,28,12,0.9591836734693878,1.0,0.9285714285714286,0.9166666666666666,7.952229071428571,0.5442891651498771,
11737423_a_at,3,28,12,0.9591836734693878,1.0,0.9285714285714286,0.9166666666666666,7.934962535714286,0.5427583859653754,
11737423_a_at,4,28,12,0.8911564625850341,1.0,0.9642857142857143,0.9166666666666666,7.900767607142856,0.5200211059707693,
11737423_a_at,5,28,12,0.9659863945578232,1.0,0.9642857142857143,0.9166666666666666,7.954717964285714,0.49753219838314144,
11724485_x_at,1,28,12,0.9931972789115646,0.8518518518518519,0.9642857142857143,0.8333333333333334,8.560616928571429,0.3940076793842634,
11724485_x_at,2,28,12,0.9727891156462585,0.962962962962963,0.9285714285714286,0.8333333333333334,8.518380607142857,0.3784571908741085,
11724485_x_at,3,28,12,0.9591836734693877,0.925925925925926,0.9285714285714286,0.9166666666666666,8.49440007142857,0.37114759614490683,
11724485_x_at,4,28,12,0.9795918367346939,0.962962962962963,0.9285714285714286,0.9166666666666666,8.515949642857143,0.4408671180185883,
11724485_x_at,5,28,12,0.9863945578231293,0.962962962962963,0.9642857142857143,0.8333333333333334,8.524869357142856,0.4274460804510655,
11754863_s_at,1,28,12,0.9251700680272109,1.0,0.9642857142857143,1.0,7.3880162857142855,0.4128572264201304,
11754863_s_at,2,28,12,0.9523809523809524,1.0,0.9285714285714286,1.0,7.405649321428572,0.3857706297749571,
11754863_s_at,3,28,12,0.9523809523809524,1.0,0.9642857142857143,1.0,7.41391775,0.4302177670330866,
11754863_s_at,4,28,12,0.9591836734693878,1.0,0.8928571428571429,1.0,7.44436625,0.3882487228368133,
11754863_s_at,5,28,12,1.0,0.8148148148148149,0.9642857142857143,0.9166666666666666,7.414951892857142,0.3850999708847464,
11734727_a_at,1,28,12,1.0,0.8148148148148149,1.0,0.9166666666666666,8.109800892857143,0.546600204504599,
11734727_a_at,2,28,12,0.9523809523809524,1.0,0.9642857142857143,1.0,8.147560035714285,0.5210788930592828,
11734727_a_at,3,28,12,0.9115646258503401,1.0,0.9285714285714286,1.0,8.081670571428573,0.5065173383516566,
11734727_a_at,4,28,12,0.9659863945578232,1.0,0.9285714285714286,0.9166666666666666,8.14510767857143,0.4688209499492714,
11734727_a_at,5,28,12,0.9727891156462586,1.0,0.9642857142857143,0.75,8.151591107142858,0.5294217444949717,
11725180_a_at,1,28,12,0.9659863945578231,0.9259259259259259,0.9285714285714286,0.8333333333333334,7.546070392857142,0.5769111422248754,
11725180_a_at,2,28,12,0.9591836734693877,0.925925925925926,0.9285714285714286,0.9166666666666666,7.413097392857144,0.6966203755887653,
11725180_a_at,3,28,12,0.9659863945578231,0.888888888888889,0.9642857142857143,0.8333333333333334,7.48057092857143,0.7153617539765732,
11725180_a_at,4,28,12,0.9659863945578231,1.0,0.8928571428571429,0.8333333333333334,7.532009785714286,0.6447245968200432,
11725180_a_at,5,28,12,0.9931972789115646,0.8518518518518519,0.9642857142857143,0.8333333333333334,7.396178821428571,0.7498593289251511,
11757569_a_at,1,28,12,0.979591836734694,0.8888888888888888,0.9285714285714286,0.9166666666666666,7.5837299285714295,0.3062224896793214,
11757569_a_at,2,28,12,0.9251700680272109,1.0,0.8928571428571429,1.0,7.549853928571428,0.3813620149765281,
11757569_a_at,3,28,12,0.9659863945578232,0.9259259259259259,0.9285714285714286,0.9166666666666666,7.520319857142858,0.379761255452414,
11757569_a_at,4,28,12,0.9251700680272109,1.0,0.8928571428571429,1.0,7.540504928571428,0.3534940076085873,
11757569_a_at,5,28,12,0.9659863945578232,0.8888888888888888,0.9642857142857143,0.75,7.526235142857144,0.34483150637835297,
11745744_a_at,1,28,12,0.9659863945578231,0.888888888888889,0.9285714285714286,0.8333333333333334,8.083487107142856,0.3636954635720852,
11745744_a_at,2,28,12,0.9591836734693877,0.925925925925926,0.9642857142857143,0.8333333333333334,8.12896767857143,0.3981126563863134,
11745744_a_at,3,28,12,0.9387755102040817,1.0,0.8928571428571429,1.0,8.070093642857143,0.35774542025085415,
11745744_a_at,4,28,12,0.9523809523809523,1.0,0.8571428571428571,0.9166666666666666,8.062151892857143,0.3856223476559089,
11745744_a_at,5,28,12,0.9659863945578231,1.0,0.9285714285714286,0.75,8.088427,0.41655801355073374,
11747203_x_at,1,28,12,0.9387755102040816,0.9259259259259259,0.8928571428571429,0.75,7.220334142857142,0.2399536813607397,
11747203_x_at,2,28,12,0.9319727891156463,0.962962962962963,0.8928571428571429,0.9166666666666666,7.2279702142857145,0.32422251656086987,
11747203_x_at,3,28,12,0.9251700680272109,1.0,0.8571428571428571,1.0,7.207598642857143,0.320880921259679,
11747203_x_at,4,28,12,0.9659863945578231,0.962962962962963,0.8928571428571429,0.9166666666666666,7.196564214285715,0.3108247284308321,
11747203_x_at,5,28,12,0.9659863945578231,0.8518518518518519,0.8928571428571429,0.75,7.26416725,0.3050743393703713,
11756479_x_at,1,28,12,0.9523809523809523,0.962962962962963,0.8928571428571429,0.9166666666666666,10.822049392857142,0.6690454037463927,
11756479_x_at,2,28,12,0.9523809523809523,1.0,0.8928571428571429,0.9166666666666666,10.772359035714285,0.6528108881066769,
11756479_x_at,3,28,12,0.9455782312925171,0.9259259259259259,0.8928571428571429,0.9166666666666666,10.843734035714286,0.6526825650934186,
