sample,11718185_a_at,11725976_a_at,11744351_a_at,11754863_s_at,11732135_a_at,11756746_s_at,11719038_a_at,11725813_at,11720493_s_at,11740162_a_at,11720554_a_at,11731424_x_at,11757808_s_at,11724484_a_at,11747623_a_at,11725440_a_at,11721513_a_at,11726122_at,11740206_x_at,11748747_a_at,11745742_s_at,11718260_at,11726276_at,11752510_x_at,11742024_a_at,11724248_s_at,11744129_at,11717322_a_at,11720097_at,11721796_at,11757635_a_at,11756827_a_at,11754644_x_at,11757383_a_at,11721346_a_at,11723287_at,11727593_a_at,11719307_a_at,11745421_a_at,11720989_a_at,11752737_a_at,11725827_s_at,11740553_a_at,11755411_a_at,11737423_a_at,11734727_a_at,11757379_a_at,11740096_a_at,11726632_at,11724807_at,11753909_x_at,11719025_a_at,11721719_at,11757904_s_at,11760963_x_at,11730431_a_at,11732821_a_at,11724979_a_at,11742418_a_at,11732189_at,11727304_at,11724326_a_at,11716903_a_at,11717544_a_at,11758090_s_at,11763266_at,11741091_a_at,11720380_a_at,11723400_a_at,11751164_a_at,11720739_s_at,11728840_at,11728972_a_at,11723401_x_at,11747785_s_at,11727644_a_at,11723893_s_at,11741435_s_at,11730005_a_at,11730788_a_at,11733691_a_at,11719680_x_at,11728703_a_at,11736509_x_at,11736888_x_at,11716375_s_at,11732181_x_at,11718196_x_at,11746195_x_at,11756077_a_at,11719844_at,11722259_s_at,11745691_a_at,11736017_s_at,11717618_s_at,11723156_a_at,11761116_a_at,11731426_s_at,11750199_a_at,11725056_a_at,class
GSM3507261,5.569018,6.475294,8.595831,7.556223,6.962048,8.92512,8.752216,7.875426,9.504213,8.955828,9.490439,10.89136,8.247235,8.131701,8.332995,8.304083,9.087257,10.39842,6.947176,9.451278,9.84705,7.575126,9.141456,12.46909,6.389779,8.179172,5.989939,7.861676,6.550284,7.756528,11.70056,7.677582,10.98872,9.477053,8.09743,12.02293,5.628139,7.628809,8.421974,8.337307,10.22827,8.191251,5.835931,6.30051,8.291468,8.288281,8.789103,4.936151,7.917604,8.983807,8.020008,8.536932,9.166443,8.302587,8.420244,8.962981,7.874741,8.838179,8.660442,8.572063,5.765964,9.412838,9.026529,7.086531,6.555174,7.135746,6.812252,9.998873,10.86006,9.566452,8.494108,5.882798,7.230755,10.66755,11.44598,4.812699,8.08425,10.57748,9.224891,10.59026,6.307494,8.548193,5.205575,7.967693,8.770132,6.565187,9.421551,9.787802,8.171538,8.143029,10.82516,6.581053,6.180098,10.93277,10.49754,9.017334,10.39289,11.05964,8.711864,5.765625,SONFH
GSM3507262,5.561942,6.653052,8.794804,7.412539,7.230401,8.948858,9.273097,8.141576,10.03024,9.306771,10.11322,10.62468,8.104314,8.415946,7.962337,8.758749,9.011791,10.66755,6.956835,9.151477,10.38022,7.798088,8.923448,12.12662,6.748372,8.251242,6.541677,7.813556,6.85387,7.618532,11.65275,6.995367,11.53235,8.563728,7.107084,11.89466,5.507155,7.594585,7.799893,7.485991,9.753707,7.202592,6.243028,6.206634,8.706703,8.022626,9.578898,5.571305,8.133667,8.835153,7.977656,8.791199,8.382027,8.819124,8.51468,8.79426,7.724829,9.348321,8.827905,8.464889,5.61419,9.326234,9.064088,7.532184,6.264115,7.297101,6.722503,10.12913,11.05293,8.585646,9.226085,5.601848,6.716904,10.95891,11.11657,5.184593,8.064817,10.53205,9.709744,10.6527,5.790557,8.621786,4.569043,7.057004,9.431405,6.65548,9.254169,9.833592,8.198964,8.829001,10.82948,6.793738,6.504667,10.92809,10.52341,9.422253,10.72658,11.56829,8.638517,5.571301,SONFH
GSM3507263,5.194899,6.77921,8.577825,7.251908,7.131297,8.647716,8.834647,7.403821,9.238935,8.886518,9.915466,10.22599,7.749671,7.887422,7.823575,8.288311,8.750904,9.996435,7.04832,9.092871,9.746889,7.311934,8.926486,12.32973,6.022182,8.219954,5.573864,7.328289,6.42084,7.696487,11.76848,7.82484,11.08534,9.472809,7.779029,12.11947,5.642208,8.072205,8.285333,8.464889,10.73903,8.615821,6.022537,6.407702,8.267699,8.421559,8.817678,4.982846,8.090588,9.136682,8.083077,8.548996,8.814245,7.938037,8.837702,9.027124,7.847086,8.784399,8.66254,8.296087,5.11995,8.999265,9.134143,6.923804,6.335129,6.86463,6.997208,9.785593,10.90723,9.080905,8.56298,5.258463,6.551753,10.81859,11.31978,4.658307,8.475082,10.58484,9.169036,10.77212,6.493794,9.063252,5.287531,7.262834,8.67456,6.297381,8.987848,9.478436,8.26554,7.846399,10.28967,6.449676,5.756538,10.47815,10.06392,8.862157,10.02195,10.38481,8.838243,5.13778,SONFH
GSM3507264,5.253983,6.546315,8.469214,7.36513,6.816704,8.858917,8.522084,7.164549,9.047409,8.692833,9.082004,10.44319,7.511837,7.657996,7.977488,8.211216,9.021479,9.903938,7.16954,8.926929,9.347872,6.900582,8.99069,11.85192,6.314895,8.118415,5.838861,7.544429,6.319196,7.213055,11.55298,7.362715,10.86177,9.139855,7.611084,11.64674,5.4377,7.447749,8.221132,7.813962,10.35669,7.683478,6.177858,6.107897,7.912421,7.873636,8.637918,5.378244,8.031542,8.255722,7.902707,8.211912,8.27351,7.929945,7.777618,8.695896,7.887244,8.662722,8.216949,7.999028,6.151967,9.02575,8.41907,6.358312,6.289621,7.36167,6.976337,9.619343,10.40768,9.34678,8.279549,5.530942,7.166389,10.32491,10.96279,4.772408,7.32433,10.37086,8.7826,9.928876,6.287502,8.54081,4.622437,7.274712,8.094855,6.192496,9.270289,9.575902,7.283621,8.069608,10.1342,7.16392,5.527115,10.55935,10.16341,8.613771,9.592868,10.86325,7.951419,5.556459,SONFH
GSM3507265,5.482529,6.672,8.603189,7.907769,7.346329,9.869443,9.19284,8.155538,10.16901,9.160686,9.714788,11.24285,8.409055,8.355704,8.541172,9.040755,9.704119,10.8954,7.275195,9.811055,10.34637,8.20962,9.618009,12.36611,7.016717,8.794255,6.632717,8.158911,6.958494,7.651936,12.16093,7.509983,11.73353,8.884499,7.78404,12.27978,5.843357,7.364014,8.59777,8.035306,10.51586,7.901819,6.524467,6.375511,8.427061,8.92357,9.45451,6.234237,8.517068,9.037913,8.343938,9.088196,8.595964,8.929657,8.216352,8.891301,8.074133,9.653539,9.026911,8.797681,6.738044,9.970849,9.010164,7.420089,6.83405,7.44952,7.067856,10.37377,10.74746,9.8127,8.920455,6.363242,7.436674,10.75401,11.69644,5.533896,8.234314,10.74183,9.839657,10.62938,7.096553,8.613766,4.930763,8.031813,8.965569,7.238959,10.13642,10.15933,7.822538,8.920268,11.06101,6.961215,6.290256,11.25397,10.84929,9.685969,10.56712,12.12027,8.679657,6.272721,SONFH
GSM3507266,5.389126,6.729319,8.813854,7.700212,7.378479,9.33672,9.057031,8.011526,9.845533,8.989666,9.916624,11.01478,8.245783,8.126904,8.375882,8.91478,9.461976,10.6019,7.242301,9.637917,10.09918,7.758606,9.389714,12.07438,6.962102,8.460001,6.446807,8.032582,6.798654,7.587598,11.86536,7.119015,11.68967,8.035184,7.635175,12.07379,5.545428,7.01245,8.131584,7.273248,10.04359,7.192736,6.569837,6.238885,8.613707,8.83995,9.261312,6.080725,8.350779,8.915642,8.345618,8.939671,8.419437,8.593743,8.587478,8.763855,7.985814,9.578458,8.759901,8.421097,6.221051,9.686956,8.955188,7.29734,6.925741,7.321848,6.925176,10.05592,11.0148,9.494187,8.995655,5.996149,7.494383,10.86212,11.41611,5.437165,8.098545,10.58869,9.667988,10.25189,6.869797,8.921858,5.089051,7.737944,8.70771,7.002188,9.743706,9.856153,8.038647,8.698558,10.86187,7.1031,6.415947,11.10009,10.6971,9.621571,10.68024,11.69484,8.413331,5.815773,SONFH
GSM3507267,5.022483,6.331224,7.885901,7.208814,6.750305,8.670221,8.29534,6.990666,8.526999,8.389683,9.17641,9.478524,6.73983,7.563076,7.241171,7.567244,8.2783,9.107943,6.041372,8.302452,8.837417,6.56722,8.432209,11.22507,6.252569,7.501401,5.157242,7.53725,6.207513,7.029167,10.37338,6.559012,10.51716,8.161993,6.92091,10.61781,5.493842,6.647883,7.370752,7.047201,8.913888,6.732677,5.793662,6.050035,7.504864,7.833493,8.129995,5.072231,7.102001,7.730062,7.7414,8.111327,8.228126,7.964135,7.393727,8.27326,7.241858,7.940557,7.81989,7.55877,5.81597,8.189924,7.635865,6.186866,6.346622,7.212497,5.993816,9.037552,9.782438,8.435816,8.280076,4.741158,6.385437,9.567756,10.333,4.876303,6.740915,9.554891,8.530972,9.267594,5.548972,7.880174,4.427539,6.264652,7.848815,6.368549,8.532001,9.043488,6.818243,7.535758,9.600014,5.887547,5.372319,9.98238,9.567373,7.807199,9.013002,9.992044,7.086861,4.778483,SONFH
GSM3507268,5.531263,6.610452,8.026353,7.674123,7.095832,9.27597,8.705097,7.233706,9.405066,8.827071,9.692147,10.50642,7.433911,8.000959,8.18492,8.296893,9.19258,10.12025,6.941871,9.195076,9.489787,7.123098,9.531079,11.91397,6.537252,8.07268,5.828286,7.650136,6.434126,7.670938,11.63444,7.011176,11.35914,8.546253,7.487119,11.88894,5.383207,6.775112,8.154196,7.653549,10.24178,7.127168,6.273977,6.267112,7.785317,8.234798,8.681231,5.443949,8.090422,8.395294,8.152519,8.432731,8.402248,8.148199,8.024585,8.534992,8.095159,8.610815,8.49329,8.184779,5.993995,9.284812,8.624446,6.755375,6.516883,7.450483,7.164824,9.786457,10.71709,9.631804,8.619897,5.708161,7.225859,10.62998,11.23943,5.04592,7.404828,10.26463,9.192163,9.900755,5.898068,8.131138,5.299122,7.474439,8.231481,6.494406,9.421899,9.702961,7.528685,8.214231,10.18506,6.467624,5.756882,10.8067,10.43193,8.936414,10.06565,11.27009,8.260019,5.361296,SONFH
GSM3507269,5.188995,6.477687,8.109932,7.35941,7.039453,9.24551,8.793097,7.552092,9.471576,8.866912,9.190604,10.46371,7.599325,7.940804,8.126493,8.43601,9.06608,10.16297,6.027524,9.262444,9.544731,7.23184,8.670773,11.59877,6.770335,8.087895,6.095948,7.853488,6.765553,7.411889,11.44285,7.072841,11.15889,8.07489,6.965328,11.59712,5.584435,6.878047,8.287458,7.499334,9.684575,7.042891,6.090568,6.304621,7.672725,8.124414,8.739084,5.847754,8.048817,8.76912,7.918552,8.483544,8.054071,8.393517,8.13363,8.3277,7.935541,8.6483,8.494502,8.579103,5.990216,9.187148,8.317605,6.975216,6.761425,7.329293,6.753979,9.987503,10.33078,9.358582,8.482927,5.853354,6.808908,10.20372,11.22928,5.202506,7.590499,10.26757,9.076867,9.717796,5.98329,7.929077,4.933463,7.519044,8.369785,7.004565,9.546257,9.823982,7.464257,8.21961,10.68136,6.466034,6.10923,10.8102,10.37497,8.879644,9.869879,11.34087,8.326229,5.68426,SONFH
GSM3507270,5.445614,6.819967,8.639683,7.676656,7.420892,8.931075,8.609992,7.445159,9.243071,8.610632,9.666482,10.35483,7.809302,8.012419,8.14414,8.334193,9.132598,10.18077,6.866465,9.373006,9.591749,7.388075,8.770412,11.76135,6.501904,8.217918,6.349591,7.77459,6.618675,7.439798,11.86426,6.965727,10.93801,8.83461,7.631957,12.07342,5.691322,7.567408,8.27229,7.801587,10.60355,7.723004,6.369795,6.508508,8.436378,8.533668,9.044882,5.509202,8.070782,8.658565,8.270895,8.77367,8.651533,8.2939,8.125646,8.796455,7.903326,9.139013,8.566555,8.176414,6.178349,9.333979,8.689962,6.949744,6.402453,7.298349,6.889283,9.954191,10.6452,9.237632,8.561405,5.673182,7.119667,10.54264,11.17339,4.80072,7.511947,10.41439,9.263501,10.06909,6.493902,8.94558,4.623743,7.246455,8.611783,6.377173,9.13619,9.616132,7.68283,8.103231,10.58309,7.116828,5.830823,10.79522,10.38113,9.009613,10.01753,10.90385,8.340384,5.566462,SONFH
GSM3507271,5.983513,6.725027,9.09585,7.652927,7.409295,9.738088,9.022724,8.432955,10.41124,8.715258,9.729005,12.03253,8.948076,7.931768,8.748856,9.337109,9.96314,10.68805,7.487415,10.00059,10.67579,8.082003,9.800498,12.5622,7.182808,8.933914,7.006537,7.650638,6.974844,8.035025,12.39375,7.963656,11.28079,9.146166,8.210716,12.5803,6.089078,8.155474,8.962753,8.271719,11.3533,8.605017,6.70319,6.214789,8.701008,8.705224,9.798498,5.75521,9.177341,9.645513,8.411062,9.246973,8.765951,9.1257,8.547682,9.520963,8.910954,10.21622,9.251526,9.607207,6.459041,10.11764,9.77337,7.984115,6.512733,7.806758,7.730266,10.45889,11.1048,9.967089,9.010737,7.286195,8.037514,11.01078,11.79327,5.28573,8.773195,11.1339,10.40896,11.25405,7.151175,9.109045,6.050246,8.102474,9.178328,6.772641,9.648663,9.828512,8.305431,9.000168,11.68234,7.741433,7.591187,11.48692,11.13428,9.973333,10.99276,12.08168,8.643345,6.842471,SONFH
GSM3507272,5.349678,6.746096,8.675882,7.665523,7.21427,9.080366,8.624518,7.596931,9.393912,8.574718,9.739688,10.58535,7.817053,8.062868,8.113708,8.337949,9.198202,10.19256,6.160557,9.317199,9.673298,7.160203,9.42275,12.05979,6.664304,8.588594,6.217617,7.868946,6.775051,7.862506,11.73907,7.083915,11.42295,8.360715,7.690836,11.88048,5.748941,7.266667,8.115489,7.878186,10.03675,7.045089,6.316238,6.256822,8.364292,8.591166,9.065336,5.443027,8.210202,8.682961,8.165635,8.421309,8.832167,8.355122,8.401632,8.816862,8.154243,8.694408,8.635065,8.319874,5.903865,9.390053,8.886053,7.380358,6.683619,7.061027,6.935983,9.873676,10.63792,9.40932,8.747005,5.367541,6.683567,10.52281,11.25967,4.85272,7.521904,10.4673,9.187587,10.12216,6.369167,8.692974,4.797967,7.235487,8.478817,6.80873,9.16233,9.719643,7.966666,8.228493,10.18448,6.59738,6.00214,10.95533,10.5498,9.077186,10.11163,11.23018,8.085875,5.757558,SONFH
GSM3507273,5.342678,6.577239,8.265015,7.748703,7.24429,9.590122,8.589519,7.528411,9.747814,8.626931,9.550529,10.92926,8.35568,8.157257,8.26873,8.417062,9.40353,10.41528,6.718239,9.300138,9.738084,7.349901,9.618023,12.25789,6.612611,8.735072,6.380719,7.692935,6.602723,7.524086,12.37767,7.800115,11.52594,9.453784,8.249921,12.51913,5.541264,7.46435,8.564156,8.364341,10.37907,7.910601,6.161215,6.085477,7.929968,8.435371,8.920195,6.048589,8.297024,8.506289,8.150201,8.568593,8.716476,8.414663,8.00826,8.708322,8.038314,8.965413,8.510653,8.122936,6.556776,9.576807,8.370158,6.886929,6.617366,7.268357,6.719718,10.11937,10.68095,9.751759,8.606623,5.917801,7.568783,10.58815,11.38309,4.924839,7.618301,10.74524,9.404716,10.47579,6.856674,8.529321,5.152347,7.711267,8.338573,6.697706,9.483612,10.16146,7.355472,8.309787,10.5086,7.189528,6.127924,10.85387,10.43963,9.430227,10.0985,11.58446,8.473385,5.924823,SONFH
GSM3507274,5.205926,6.600674,8.726881,7.878326,7.152188,9.463259,9.424973,8.164824,9.808942,9.473396,9.533983,11.21255,8.029085,8.195649,8.32082,8.681448,9.825731,10.85144,7.484236,9.539416,9.92951,8.018577,9.148698,12.44691,6.774996,8.644328,6.318836,7.868036,6.650818,7.780584,12.38818,7.658561,11.72173,8.823147,7.503453,12.50208,5.660963,7.496861,8.690546,8.432453,10.36847,7.708097,6.44034,6.298367,8.253801,8.31511,9.325604,5.977592,8.690752,9.272696,8.418148,8.900109,8.791023,8.747758,8.400633,8.788437,8.51615,9.241012,8.775148,8.930871,6.349082,9.897574,9.111305,7.259549,6.707614,7.372035,7.472019,10.50212,11.04782,10.28994,8.408052,6.82394,7.84127,10.91349,11.39752,5.214925,8.273212,10.82464,9.367074,10.75114,7.004573,9.082685,5.777567,7.570744,8.497267,6.792369,9.799755,9.965273,8.081286,8.302168,10.5114,7.080959,5.74135,11.36319,10.89982,9.707759,10.38391,11.86513,8.530131,5.819425,SONFH
