sample,11720807_x_at,11729582_s_at,11739787_a_at,11740680_s_at,11719581_a_at,11756003_x_at,11736395_a_at,11729583_x_at,11742315_s_at,11742143_s_at,11732236_a_at,11725497_a_at,11736538_s_at,11731448_a_at,11737280_at,11745557_x_at,11736696_a_at,11728138_at,11729920_at,11720494_a_at,11745299_x_at,11727807_at,11753827_x_at,11732235_a_at,11753662_x_at,11739340_at,11728137_at,11721930_a_at,11728821_a_at,11733360_x_at,11737268_s_at,11752881_s_at,11746263_a_at,11727808_s_at,11752701_s_at,11739338_at,11727970_a_at,11751870_x_at,11723952_at,11715893_s_at,11750918_a_at,11737267_a_at,11722470_x_at,11754453_s_at,11727969_a_at,11745661_x_at,11725438_a_at,11715752_at,11733482_a_at,11758559_s_at,11737774_a_at,11721656_s_at,11756160_x_at,11741977_a_at,11724635_at,11757480_x_at,11731446_s_at,11739230_a_at,11716467_x_at,11724538_a_at,11718997_at,11716466_s_at,11717871_s_at,11751970_a_at,11728670_a_at,11730499_a_at,11740646_a_at,11725439_at,11727161_a_at,11728669_a_at,11750456_s_at,11737269_x_at,11752880_a_at,11722469_a_at,11744965_x_at,11758545_s_at,11739339_s_at,11743306_at,11729940_x_at,11747125_a_at,11743067_at,11721655_at,11726179_a_at,11715753_a_at,11745087_a_at,11758430_s_at,11749176_a_at,11721931_s_at,11719359_a_at,11731452_s_at,11739937_a_at,11749318_a_at,11747546_a_at,11741071_a_at,11733941_a_at,11721029_a_at,11728136_at,11739061_at,11715461_at,11756316_a_at,class
GSM3507261,7.348971,8.029869,7.511794,5.360209,6.499444,6.034967,6.668604,10.03589,5.399213,5.24435,4.387359,6.010363,5.473756,5.687101,6.983402,7.588062,7.3409,4.977634,5.362446,4.928712,6.566738,4.192734,7.618907,3.53185,7.544605,7.005141,6.972246,6.799774,3.509724,6.685648,4.571021,4.462551,6.495412,8.323676,4.614196,10.07578,5.017324,3.257329,9.756516,7.134357,3.279409,5.19355,5.019698,7.436287,6.661079,4.02115,10.049,4.876936,4.677485,6.660153,6.377039,6.616315,4.832705,4.074726,6.95282,8.481297,8.314487,4.533816,7.674453,3.94099,8.443025,5.828957,5.029892,5.610425,6.457903,4.233841,7.692232,10.44819,4.340944,7.112926,4.989677,5.100194,4.183274,5.234062,6.675753,2.21877,10.97156,3.631139,4.809686,8.808124,7.920804,7.110561,2.971355,3.307357,7.392158,10.12841,8.752531,6.717648,5.775822,5.788952,4.77466,8.49004,3.663069,6.62835,4.808192,4.019421,4.468528,6.688838,11.70536,7.898414,SONFH
GSM3507262,6.872732,5.892376,5.841602,4.026553,5.256474,4.391205,5.425634,7.734711,3.914541,3.559244,3.257445,6.203434,4.239,4.648804,5.765496,7.151614,6.142632,4.182483,4.652583,3.867742,6.310062,3.704502,7.412294,2.832825,7.091276,5.328384,6.698895,5.878298,2.636498,4.553928,3.46384,3.499261,5.302362,7.274448,3.854476,8.66513,4.578715,3.033471,6.724104,9.746211,2.824678,4.162182,5.142409,6.961617,4.481072,3.407596,9.630836,3.865306,3.631875,6.243791,3.072796,6.482925,3.998991,2.835421,6.322119,11.46843,6.262029,4.286054,7.160449,4.269567,7.827243,5.46124,5.05651,3.820066,5.376474,3.565435,7.854456,10.20183,3.962641,6.385266,4.25332,4.051967,3.285705,5.137215,6.223931,2.03745,9.553343,3.353638,4.422136,7.016052,7.480725,6.466915,2.13892,2.93448,4.770704,9.009809,6.793388,5.836786,5.437301,6.065272,3.751534,7.82926,3.690748,6.160913,3.12332,4.023734,3.785826,5.549546,12.14979,8.205016,SONFH
GSM3507263,1.895934,6.357855,3.454026,4.122661,5.56743,2.629454,5.853455,7.936018,4.061825,3.986739,3.082059,5.629105,4.287332,5.185414,5.444769,6.10446,5.677398,3.705979,3.45192,4.152143,5.092534,4.573884,6.838343,2.716825,6.471692,5.203594,5.968571,5.616245,3.399229,5.517046,3.737396,3.764917,6.384646,8.152134,3.539434,8.127307,5.064581,2.687516,6.300946,7.513673,2.832097,3.636684,5.259151,6.748917,5.050008,3.014268,10.04505,3.965635,3.854002,6.531103,5.078424,6.250294,4.291067,3.105827,7.101228,8.979489,7.893705,4.449461,7.280756,3.707321,7.93185,5.625808,4.419026,3.153947,5.57848,3.713584,7.461512,10.52822,3.777289,6.398892,4.392688,4.351367,3.855752,5.242558,5.754756,2.149037,9.255469,3.449641,3.815732,8.304969,7.541137,6.798756,2.572635,3.153947,5.197938,8.851265,7.894223,5.412763,5.577349,6.066273,3.835629,7.653168,3.002632,5.45214,3.776464,3.51237,3.487757,5.578667,12.47984,5.926784,SONFH
GSM3507264,2.022185,7.647568,4.700214,6.666329,6.39904,3.634228,6.654564,9.625836,6.911032,6.652365,5.026544,7.788359,6.727611,6.22824,7.586383,7.847679,6.882507,5.021579,5.798986,5.197101,7.070482,5.490027,8.174681,3.926202,7.916132,6.484187,7.538866,7.421181,4.376145,7.339499,6.082832,6.038521,7.759311,8.958973,6.021095,9.605961,5.931803,3.361495,8.777836,5.865071,4.413755,6.569242,5.812201,8.230638,7.299377,4.045111,11.50926,5.084467,5.151707,7.350638,4.59175,6.837334,5.110268,5.600833,7.22812,7.197921,8.994488,4.810496,8.08911,5.808706,9.57062,6.176053,5.5276,5.967066,6.382129,5.000793,7.51413,11.71827,4.508925,7.256656,6.197459,6.425024,5.728064,5.431405,7.155335,2.38133,10.3921,4.135879,6.165504,8.288498,8.827673,7.348248,2.779165,3.743953,7.309414,10.94959,8.430989,6.996398,5.783719,6.089298,5.065721,8.088266,4.042003,7.316463,4.339052,4.206302,4.97821,6.061273,12.48378,7.146899,SONFH
GSM3507265,6.322971,6.044831,5.654072,3.755726,5.248614,4.450103,5.390971,8.213433,3.934916,4.083924,3.234363,5.725797,3.64654,5.156443,6.532186,6.782932,5.821066,3.938775,4.14485,3.00006,5.813671,3.668936,7.298638,2.923247,7.17417,5.900751,6.385235,6.217379,2.911801,6.10423,4.410234,4.504901,6.272629,8.697266,4.377813,8.788928,4.817904,2.961711,7.594636,6.887664,2.168399,4.328242,4.831078,6.988961,6.015491,3.429505,10.20067,4.617184,3.867306,6.181753,2.348316,5.988004,3.617311,3.431273,6.50489,8.316337,7.233017,3.788887,6.722437,4.178473,8.398669,4.878936,5.19231,4.200514,5.619622,3.711844,9.237947,10.46467,4.42733,6.740816,4.767316,4.569606,3.704538,4.750865,6.523171,2.24018,9.676819,4.047887,3.787084,7.097922,7.546893,6.374416,3.041533,3.059094,5.80612,9.766479,7.050749,6.332925,5.255998,5.718252,4.011898,7.804583,3.576445,5.905199,3.659038,4.258123,4.228631,5.713415,11.05619,9.038687,SONFH
GSM3507266,6.477267,6.192103,5.589186,4.240118,5.126319,4.293082,5.295479,8.142019,3.773013,4.014596,4.674887,5.878715,4.320023,4.951298,6.109853,6.973584,5.373294,4.337595,4.731379,3.941891,6.115742,3.626855,7.445819,3.644565,7.156507,5.573771,6.831191,6.499221,3.252101,5.543128,3.851331,4.151103,5.490213,7.499806,3.995809,8.261452,4.497025,3.457072,7.344338,6.756175,2.838864,4.430918,5.676699,6.942388,5.491874,3.63923,9.481943,4.787493,3.767206,6.429173,6.758857,6.31679,4.199279,3.367145,6.614429,8.063047,7.518744,3.649664,6.76153,3.991444,7.662011,5.166613,5.38858,3.995809,5.620998,4.394029,9.070124,9.830235,4.189718,6.669032,4.729488,4.727724,3.590192,5.301926,6.749028,2.173224,9.203415,3.955664,4.390086,7.605189,7.496769,6.484526,2.862877,3.253716,5.703632,9.707466,7.335201,6.555203,5.616828,5.795228,4.070448,7.901959,3.412809,6.43547,3.553413,3.663292,4.934783,5.674642,10.97745,8.79187,SONFH
GSM3507267,8.561062,9.137469,6.276664,7.058991,7.843822,4.93802,8.175428,11.15972,7.007771,6.8931,6.209755,7.853909,7.038011,8.500845,8.200353,9.283711,8.302632,6.487824,7.2819,5.520383,8.495777,7.629137,9.523748,5.100673,9.460415,8.355974,8.730539,7.952275,4.924377,7.554334,6.186172,6.154395,9.357575,10.75004,6.29183,10.96422,6.368236,4.553008,8.772929,7.694108,4.395325,6.691175,7.462889,9.136403,7.722838,4.822593,12.08802,6.049227,5.248832,8.331117,6.593011,7.886055,5.470014,5.773269,8.592247,9.17641,10.10315,4.656109,8.954593,5.944217,10.37505,7.033145,7.503359,6.401433,5.967175,5.950778,6.183702,12.10254,5.656778,7.943203,6.67476,6.551438,5.811992,7.026324,7.790185,2.826054,11.39962,4.06511,6.462946,9.58305,9.290181,7.724577,4.268528,4.649129,8.076468,12.01413,9.363469,7.407784,6.88564,6.5935,5.210007,9.141817,4.409453,7.935575,4.90417,4.915416,6.24272,7.445772,9.457386,7.901662,SONFH
GSM3507268,1.977812,7.440827,5.831266,5.427076,5.868097,4.689584,6.018924,9.547366,5.569217,5.285665,4.361207,5.563437,5.356351,6.185628,7.287712,7.491152,6.684973,4.432722,5.38205,5.096158,6.834987,5.549505,8.109787,3.530823,7.811842,6.574796,6.912841,7.019749,3.475272,6.607591,5.306379,5.213634,7.68838,9.101046,5.401955,9.463762,5.705312,3.168643,8.296986,7.905624,3.257133,5.453307,6.04863,8.159339,6.751574,3.565039,10.57001,4.492987,4.430971,7.046076,2.763857,6.519705,5.245091,4.495169,7.118255,9.405424,8.555894,4.188519,7.511237,5.342678,9.4465,5.640584,5.558421,5.568663,5.934389,4.582121,7.338519,10.75801,4.672752,7.172446,5.42877,5.730008,4.511553,5.536277,6.930582,2.430966,10.36011,3.834197,5.13504,8.036077,8.494159,6.799577,2.63069,3.439971,7.11759,11.36767,7.980396,6.657516,5.729548,5.960768,4.594721,7.970874,3.733361,6.678355,4.621498,4.097118,4.464098,6.255201,12.74147,5.365389,SONFH
GSM3507269,2.07065,9.44371,4.15519,6.677179,7.375178,3.463482,7.546083,11.55481,6.725204,6.602256,4.792474,7.893944,6.535829,7.617148,8.369887,8.760581,7.528806,6.214377,6.314605,4.351716,7.675254,6.314605,8.967167,4.731904,8.647985,7.370718,8.710194,8.223253,5.014758,7.861289,6.160717,6.120269,8.441736,9.625719,6.31284,10.28561,6.83489,4.187125,10.09633,6.24306,4.561256,6.958321,7.237003,8.991003,8.248598,4.363375,12.25891,5.394172,5.407345,7.743449,7.682899,7.06711,4.76812,6.048481,7.608484,7.82387,9.262894,4.788675,8.593663,4.887571,10.30333,6.550752,6.225449,6.452364,6.752481,5.174625,7.141227,12.39739,6.032223,8.083078,6.694994,6.679855,5.972604,6.693295,7.872679,2.91644,10.96831,4.114283,6.088236,8.747643,10.01258,7.240997,3.161714,3.75338,8.005541,11.22754,8.741871,7.732047,5.675064,5.594145,5.277806,8.317544,4.2881,6.691792,4.641267,4.529419,5.974185,6.339337,12.09944,7.346248,SONFH
GSM3507270,7.218552,6.456463,5.193295,3.80923,5.616198,3.851331,5.742698,8.464096,3.786714,3.40285,3.925715,5.388734,3.884629,5.402708,6.773802,7.265405,6.419287,3.645759,4.767291,3.784081,6.062538,4.460759,7.337594,3.204014,7.1883,5.964123,6.245358,6.63453,3.022767,4.754526,3.857594,4.077692,6.902388,8.695517,4.148342,8.712925,4.72331,3.216022,8.285651,5.18274,2.563476,4.399567,5.232732,7.615553,5.182376,3.282998,9.794494,4.19238,4.183275,6.79632,5.74646,6.666838,4.235046,3.481019,7.219604,5.972238,7.900875,4.223294,7.327244,4.001931,8.482037,5.554322,5.381666,4.243035,5.641749,4.253321,7.900558,10.01401,4.229052,6.554506,4.753042,4.430987,3.679886,5.096719,6.591453,2.103219,9.755923,3.747265,4.182484,7.678808,7.555825,6.729003,2.288234,3.066297,5.962358,9.737576,7.750361,6.52739,5.416319,6.152348,4.183275,7.961852,3.210887,5.473623,3.766884,4.096161,4.1686,5.5753,11.55314,9.216897,SONFH
