sample,11720807_x_at,11729582_s_at,11739787_a_at,11740680_s_at,11719581_a_at,11756003_x_at,11736395_a_at,11729583_x_at,11742315_s_at,11742143_s_at,11732236_a_at,11725497_a_at,11736538_s_at,11731448_a_at,11737280_at,11745557_x_at,11736696_a_at,11728138_at,11729920_at,11720494_a_at,11745299_x_at,11727807_at,11753827_x_at,11732235_a_at,11753662_x_at,11739340_at,11728137_at,11721930_a_at,11728821_a_at,11733360_x_at,11737268_s_at,11752881_s_at,11746263_a_at,11727808_s_at,11752701_s_at,11739338_at,11727970_a_at,11751870_x_at,11723952_at,11715893_s_at,11750918_a_at,11737267_a_at,11722470_x_at,11754453_s_at,11727969_a_at,11745661_x_at,11725438_a_at,11715752_at,11733482_a_at,11758559_s_at,11737774_a_at,11721656_s_at,11756160_x_at,11741977_a_at,11724635_at,11757480_x_at,11731446_s_at,11739230_a_at,11716467_x_at,11724538_a_at,11718997_at,11716466_s_at,11717871_s_at,11751970_a_at,11728670_a_at,11730499_a_at,11740646_a_at,11725439_at,11727161_a_at,11728669_a_at,11750456_s_at,11737269_x_at,11752880_a_at,11722469_a_at,11744965_x_at,11758545_s_at,11739339_s_at,11743306_at,11729940_x_at,11747125_a_at,11743067_at,11721655_at,11726179_a_at,11715753_a_at,11745087_a_at,11758430_s_at,11749176_a_at,11721931_s_at,11719359_a_at,11731452_s_at,11739937_a_at,11749318_a_at,11747546_a_at,11741071_a_at,11733941_a_at,11721029_a_at,11728136_at,11739061_at,11715461_at,11756316_a_at,class
GSM3507271,7.308282,5.301753,4.497303,4.232573,4.838767,3.489177,5.068662,7.156078,3.683013,3.963821,2.821044,5.44471,4.40204,4.47209,5.570061,6.555672,5.030946,3.760947,3.654702,4.258347,5.577908,3.821878,6.501916,2.93854,6.729552,5.228302,5.75909,6.212667,3.131678,5.016153,3.355014,3.388997,5.817508,7.784389,4.051919,8.202787,4.611142,2.819061,6.538072,7.650871,2.795707,4.072957,4.273282,6.859739,5.139079,2.94054,9.657129,4.694306,3.944598,6.101951,4.100223,6.256821,4.584973,3.593318,7.051441,9.324394,5.978632,4.439455,6.938108,4.160808,7.344651,5.344381,4.412959,4.149945,5.657017,4.03641,9.24926,10.07389,4.21344,6.556496,4.234953,4.20921,4.013616,4.782962,6.177919,1.992406,8.93672,4.234025,3.929015,7.265758,7.170287,6.397884,2.09457,2.903347,5.759686,8.959287,7.111478,5.536302,4.740537,6.029034,3.879519,6.911497,3.983382,6.018247,3.453895,4.291002,4.242294,5.49177,13.02566,9.50643,SONFH
GSM3507272,6.790083,6.899008,6.934491,4.516967,6.150851,5.729138,6.2452,9.3104,4.437718,4.308332,3.95043,5.476294,4.693245,5.989056,6.91692,7.581242,6.195824,5.144231,4.895868,4.242649,6.660827,5.162703,7.642763,3.479913,7.520038,6.083708,7.459617,6.655234,3.395152,5.534777,4.478549,4.040947,7.146649,8.702602,4.497022,9.070396,4.84944,3.080651,8.55699,6.160753,3.377155,4.0664,6.044166,7.537107,5.77958,3.294722,10.31515,4.545519,4.662112,6.663391,5.764397,6.683976,4.298989,3.018955,6.724878,7.135845,8.341972,4.40209,7.288918,4.211801,8.219324,5.580379,5.354078,5.098299,5.914338,4.608177,7.829621,10.51711,4.362762,6.976209,4.724625,4.636156,3.913145,5.531895,6.761786,2.372327,10.04448,3.920631,4.89124,8.012141,8.01102,6.918803,2.444111,3.202635,6.882668,9.877134,7.986685,6.542601,5.564387,5.859728,4.529329,8.361156,3.598873,5.886202,3.989251,4.163648,5.08486,6.091065,12.46329,6.976882,SONFH
GSM3507273,7.247553,4.152866,4.188431,2.925758,4.742831,3.204396,4.83417,6.184172,3.24222,3.010317,2.559262,5.552033,3.053781,4.300869,5.558336,5.774313,4.855398,3.315599,3.517394,3.755306,4.931798,3.15204,6.393947,3.072461,6.122465,4.831132,5.235222,5.819553,3.026092,3.755228,3.402651,3.191531,5.503726,6.912509,4.047976,6.910331,3.963623,2.683244,4.686131,6.277671,2.764846,3.21107,4.608815,6.141274,4.246139,3.198229,8.446341,3.782223,3.670109,5.672402,3.312336,6.265675,3.989469,2.562407,6.302489,7.040976,5.782531,3.890435,6.640056,3.902708,7.191471,5.065058,4.777865,3.535166,5.366098,3.5956,8.334835,8.739689,4.148651,6.475679,4.008227,3.561726,3.366643,5.144724,6.061973,2.09185,7.913461,3.73901,4.028413,6.897778,7.063629,6.707986,2.608143,3.367063,5.3768,8.317977,7.027528,6.037952,4.614843,5.29575,3.997064,7.528316,3.252464,4.818127,3.034618,3.598631,3.94561,5.109179,11.39073,9.107368,SONFH
GSM3507274,6.839543,6.496937,4.317563,3.102006,5.532683,3.357098,5.706487,8.551279,3.013258,2.767645,3.742804,5.332963,3.143678,5.295994,5.409657,6.792515,6.047169,3.960451,4.579668,4.357645,5.607707,3.946296,6.785876,3.161209,6.789797,5.136431,6.430871,5.515204,3.346473,5.223468,3.537982,3.761288,6.04647,8.018421,3.760232,8.396905,4.778452,3.06476,7.038401,5.416868,2.6265,3.204577,4.586879,7.143706,5.170318,3.347288,9.584087,4.146002,4.004106,6.444976,5.293097,6.322739,4.338246,2.731245,7.183004,5.848826,7.270885,4.346768,7.072891,3.762812,7.963388,5.484642,4.651412,4.511564,5.591489,4.136794,8.38834,9.988773,4.401935,6.728236,3.881344,3.781235,3.342361,4.539323,6.087841,2.055468,9.384713,3.598218,4.020491,7.113355,7.239789,6.757987,2.672911,3.114562,6.084205,9.139595,7.284629,5.679752,5.096307,6.225322,4.172988,7.821498,3.402453,5.254155,3.371227,3.780663,4.123179,5.278515,12.70335,9.292713,SONFH
GSM3507275,6.133822,4.570847,4.329324,2.965102,5.338823,3.264879,5.550494,6.603584,3.339901,3.610398,3.073778,5.05196,3.518832,4.300148,6.071345,6.294672,4.610701,3.65721,3.919001,3.610398,5.593753,4.06544,6.727419,3.008795,6.474762,4.827868,5.41304,5.972662,2.917132,5.096449,3.569896,3.959326,5.771546,7.255264,3.914464,7.300732,4.798044,2.523713,6.700698,7.594095,2.307642,3.90451,5.231777,7.038528,4.785198,2.811163,9.952936,4.104525,3.860588,6.355433,4.482934,6.402718,3.936953,3.405998,6.607511,9.221837,6.626585,3.981748,6.987741,3.940983,8.096391,5.156554,4.623293,3.344147,5.350813,3.742808,7.404468,10.18021,3.933386,6.335746,3.802058,4.237899,3.761797,5.009827,6.281129,2.360263,8.38487,3.497101,3.506577,7.523205,7.482767,6.830456,2.433944,2.795246,4.645995,8.786528,7.427766,6.008708,4.3623,5.506235,4.199463,8.083108,3.126301,4.748602,3.081068,3.431351,4.041718,5.405838,11.86851,7.112518,SONFH
GSM3507276,1.784517,6.960538,5.164362,4.471865,5.477331,4.194556,5.939815,9.265087,4.446713,4.400035,4.058296,6.222085,4.56917,5.394965,7.153365,7.165879,6.365538,4.213681,4.990397,4.70312,6.390875,4.226755,7.647061,3.327925,7.552023,6.174825,6.60738,6.743546,3.562482,5.68353,4.669847,4.990398,6.893847,8.182369,4.9198,9.091973,5.049681,3.342689,7.911192,6.422482,3.185671,5.219531,5.963995,7.754186,6.012381,3.455617,10.46688,4.765626,4.464268,7.027824,7.077153,6.694462,4.932409,3.792269,6.974148,7.931849,7.808486,4.034003,7.559801,4.457359,8.815191,5.477578,5.51722,5.507665,6.149482,4.297581,7.561663,10.49583,4.432614,7.174129,4.922616,5.006394,4.070263,5.593756,6.628918,2.491828,9.944806,3.678081,4.941331,7.842846,8.069239,7.051393,2.526602,3.404624,7.010718,10.0074,7.999129,6.573023,5.414707,5.907138,4.531076,8.064208,3.624565,6.131637,4.236717,3.93124,4.405671,5.458476,12.20638,7.731284,SONFH
GSM3507277,1.989804,6.345305,4.624891,4.107971,4.716209,3.566478,5.082499,8.554638,3.740331,3.281736,3.5304,5.423254,3.614296,5.231647,6.391724,6.59126,5.724529,2.852599,4.095666,4.273351,5.674395,4.124697,7.273733,3.39474,6.829287,4.910707,5.046905,6.287416,3.42391,5.600205,3.978375,4.144532,5.955431,7.414392,4.182867,7.462667,4.580241,3.240797,7.604103,5.683885,3.040433,3.933858,4.387247,6.174826,5.077928,3.205007,8.782907,4.247816,3.798147,5.757517,4.20151,6.278877,4.331591,3.061165,6.315397,6.409046,8.111986,4.395088,6.752137,3.897214,7.598738,4.805278,4.790318,5.425754,5.524337,4.265084,7.345188,8.897326,4.080474,6.607995,4.292656,4.048072,3.185733,4.509902,6.38443,2.092838,8.568962,4.371283,4.113382,7.977516,7.615685,6.542106,2.662716,3.168037,6.882722,9.640549,7.793752,6.212906,4.914893,5.950738,4.113383,7.814914,3.71825,6.054487,3.175046,4.246664,4.123179,5.612035,12.25992,9.652509,SONFH
GSM3507278,1.918864,5.658277,4.605001,3.85202,5.027017,3.671484,5.153518,7.886028,3.923918,3.647807,3.336871,4.900318,3.809206,4.81335,5.79013,6.49107,5.524752,3.701809,4.258244,4.018152,5.337181,3.387009,6.485283,3.02649,6.467524,4.865082,5.823688,5.81347,2.902276,4.546745,4.040082,4.431397,5.668515,7.340961,4.26777,7.689041,4.372185,2.787977,8.438145,6.285285,2.650435,3.955306,5.056596,6.937925,5.204861,3.097924,9.476717,4.207051,3.661518,6.172147,4.725681,6.444533,3.756613,3.286194,6.59495,7.389549,7.568992,4.118686,7.191383,3.868211,8.058284,5.314512,4.862813,4.530282,5.063584,4.152316,8.643549,9.833584,3.844455,6.597328,4.418894,4.534827,3.550088,4.645662,5.927165,2.115334,8.907206,3.645097,3.292299,7.128854,6.999716,6.853053,2.394407,3.386966,5.89017,9.312203,7.161067,5.842232,4.785225,5.957006,3.849463,7.769364,3.550088,5.052137,3.506252,3.833816,3.978191,5.524102,10.88849,7.456032,SONFH
GSM3507279,1.702125,6.230299,3.671837,3.489764,5.92215,3.080091,6.04865,8.147943,3.223841,3.400201,3.363454,5.67063,3.193251,5.169234,6.679649,6.592198,6.257792,4.126649,4.87969,4.122779,5.610835,4.320364,7.031237,3.503551,6.66732,5.495225,6.742066,5.904787,3.399924,5.527439,3.930413,4.025765,6.291786,7.760335,3.967831,8.80877,5.351242,3.240521,7.789845,7.618427,3.028523,4.652602,5.088427,6.917714,5.552985,3.446726,10.42273,4.293061,4.086593,6.118311,3.02726,6.437242,4.306304,3.697908,6.89851,9.049397,7.550098,4.303916,7.313852,4.519261,9.029938,5.336843,4.957397,4.354802,5.734296,3.998596,9.002264,10.71478,4.407391,6.811775,4.659552,4.663256,4.080276,4.955939,6.189318,2.248208,9.786613,4.182126,4.326737,7.503598,7.657022,6.808015,2.589404,3.254877,5.942998,9.976446,7.568368,6.283644,4.599977,5.636015,4.235972,7.746952,3.778838,5.195284,3.386292,4.082909,4.359962,5.369424,12.56215,9.640371,SONFH
GSM3507280,6.830643,6.866009,5.747341,3.139657,6.080238,4.391435,6.33137,8.943629,3.378216,3.581956,3.411042,6.797238,3.617446,6.054969,6.06615,7.015173,6.28026,4.02397,4.803596,4.253321,6.049852,4.914814,7.551071,3.434302,7.145368,6.322495,6.284457,5.959519,3.370419,6.314004,3.982285,4.1436,6.76781,8.626495,3.815456,9.189683,5.336146,2.96257,7.146573,5.641728,2.911128,3.841945,5.580114,7.558309,6.514118,3.017723,10.46008,4.253321,3.929962,6.955084,2.60837,6.788842,4.582406,2.948992,7.02179,6.715785,8.457012,4.510505,7.396172,4.225399,8.366544,5.617781,5.170506,4.625617,5.480533,4.686812,7.638524,10.74811,4.293758,6.649966,4.48447,4.20427,3.444683,5.22628,6.32717,2.171222,10.14357,3.992976,4.455655,7.810738,7.574314,7.016526,2.507184,3.030081,6.192686,9.676199,7.64052,6.098329,5.304803,6.193174,4.086111,8.051453,3.312196,5.43959,3.17205,3.727551,4.181024,5.337564,11.49541,9.528527,SONFH
GSM3507281,2.070648,6.540123,4.46696,3.852072,5.19217,3.342111,5.350638,8.874056,4.527597,3.985134,4.513814,5.554918,3.807296,5.111201,6.017539,6.888073,6.315964,3.892977,4.020287,3.484402,5.891819,4.515985,7.26345,3.288141,7.081481,5.337018,6.089514,5.864393,3.369162,4.96952,4.613138,4.313287,6.371047,8.120125,4.368705,8.203978,4.013102,3.102261,6.990975,8.925672,2.629713,4.293196,5.088181,6.469869,5.168467,3.183781,8.923876,4.452913,3.931457,5.720305,2.990329,6.651104,3.7863,3.50926,6.454331,10.53387,7.475511,4.427542,6.901483,3.830452,7.484087,5.089015,4.768584,3.667765,4.94713,3.876408,6.456864,9.068115,4.175309,6.229279,4.560327,4.298471,3.717388,4.800123,6.300109,2.307757,9.362648,3.281067,4.21077,7.647242,7.341396,6.925195,2.398859,3.331809,5.730834,9.604097,7.332584,5.998824,5.028231,5.657194,4.040065,7.998034,3.421411,5.241637,3.324592,3.804345,4.369101,5.434366,12.02861,5.185421,SONFH
GSM3507282,1.710112,7.065508,5.441368,4.397248,5.721687,4.174288,5.951484,9.192338,4.747499,4.625573,3.895239,6.045924,3.857323,5.394152,6.974771,7.04226,6.036865,3.92638,4.220836,4.635768,5.853504,4.507343,7.315697,3.137471,6.972324,5.708497,6.630012,6.505732,3.74971,5.487684,4.53791,4.281984,6.577296,8.250664,4.772542,8.509572,4.889334,3.25692,7.449553,11.00313,3.330983,4.351373,5.527509,7.573271,5.808995,3.594574,10.11455,4.554625,4.234454,6.782055,7.266661,6.639564,4.693806,3.50246,6.902657,12.50746,7.405936,4.520686,7.265363,4.542901,8.588601,5.643186,5.102699,5.206049,5.314528,4.324171,6.452364,10.48673,3.849151,6.49247,4.648279,4.522587,3.834287,5.218693,6.494697,2.18466,9.451748,3.677457,4.422136,7.527601,7.530806,7.253091,2.687671,3.074459,6.746446,9.571028,7.647748,6.361383,5.307911,5.923911,4.216082,7.897597,3.300123,5.355366,3.893423,3.487959,4.381592,5.537881,12.72004,7.320137,SONFH
GSM3507283,2.179529,6.808247,3.821526,4.429269,5.707522,3.223184,5.876096,8.950917,4.762809,4.439675,3.520629,6.265471,4.60832,5.731286,6.591382,7.119857,5.74302,4.341509,4.126191,3.883133,6.321568,4.064013,7.469562,3.224248,7.280547,5.25048,6.574541,6.622631,3.489721,5.344581,4.422647,4.446715,5.878317,7.696759,4.327404,8.009077,4.576818,3.033031,6.510966,11.65185,3.047583,4.603004,4.608067,6.940882,5.173782,3.109078,10.01462,4.406736,4.08909,6.28185,6.48901,6.357969,4.108922,3.77579,7.263013,12.92634,7.281087,4.664718,7.022964,3.725566,8.253588,5.158148,5.126984,4.679257,5.68015,4.550145,7.47343,10.4342,4.485257,6.598503,4.733098,4.594554,4.000169,4.793794,6.644143,2.279997,8.91006,4.265551,4.346054,7.376732,7.59461,6.644144,2.649114,3.127702,6.13545,9.184126,7.278055,6.294755,4.585556,6.267113,4.173953,7.796507,4.292396,5.024601,3.459707,4.735357,4.23048,5.33077,12.92082,9.17506,SONFH
GSM3507284,2.045525,6.553893,6.233052,4.055501,5.727777,4.924174,5.742698,8.824343,4.105603,3.968398,4.026604,6.059195,4.140141,6.096946,7.46185,7.285664,6.797999,3.915591,5.459304,4.359681,6.486156,4.25156,7.665989,3.362777,7.330825,5.641809,6.972784,6.972959,3.797955,5.652377,3.832811,3.839106,6.307533,8.043908,4.342095,8.446469,4.750635,3.394572,7.624735,9.646977,3.338664,4.4142,5.701375,7.612166,5.523571,3.410108,10.43255,4.785942,4.305495,6.856833,5.473304,6.486989,4.377028,3.396453,6.783811,11.09771,7.95998,4.722621,7.210109,4.603224,8.919185,5.273617,5.23889,5.194626,5.343344,4.162919,7.791456,10.75826,4.291267,6.414811,4.631298,4.632351,3.53433,5.218031,6.942601,2.217737,9.325856,4.140141,5.396142,7.25309,7.914803,6.660737,3.115096,3.587096,6.979317,9.896173,7.447921,6.850235,5.480404,5.987928,4.297664,7.885296,3.934214,6.437767,4.2982,4.30547,4.557678,5.719687,10.44707,8.276218,SONFH
GSM3507285,1.964639,7.097771,5.146425,3.077763,5.857344,3.720728,5.969129,9.176745,3.465465,3.45223,3.985791,4.996724,3.366441,4.407031,6.196296,6.541119,5.475699,3.434508,4.072704,4.081248,5.726033,3.088297,6.995868,3.839411,6.682262,5.639433,5.809913,6.171326,2.970061,5.51922,3.9726,4.01412,5.78405,7.085709,3.913893,8.257353,5.066713,3.169238,7.638464,10.62071,3.016807,4.194556,5.153374,6.848395,5.159449,3.638686,10.45752,4.316087,4.370018,6.414884,4.354677,6.483362,4.259914,3.165799,7.553051,12.18566,6.182378,5.261656,7.109454,3.796167,8.809792,5.278267,4.632123,3.951584,5.70365,4.208113,5.823022,10.96343,4.131406,6.424312,3.956218,4.417182,3.530399,4.993075,6.050975,2.172571,9.626581,4.165068,3.998066,6.972347,7.086131,7.076227,2.2438,3.18552,5.943892,8.085273,7.365354,5.97438,4.756647,6.452776,4.153481,7.455119,3.573317,4.376183,3.593464,4.131158,3.353948,5.291645,11.78103,7.783293,SONFH
GSM3507286,7.321263,7.158306,5.287119,3.85202,6.936872,4.266978,7.158306,9.205025,4.377775,4.352162,4.402712,6.460445,4.18863,6.25743,6.972721,8.199724,6.711511,5.341598,5.141735,3.947022,7.498852,4.908184,8.537325,3.56273,8.342616,6.328788,7.877003,6.30535,3.812236,6.011116,4.204473,4.034685,7.02925,8.716202,4.506388,9.38648,5.014476,3.361388,8.525738,12.13675,3.438988,4.596647,4.855623,7.737912,6.033881,4.098908,11.13548,4.844295,4.139173,7.044266,7.122498,7.024973,4.668232,3.578842,7.750576,13.05893,8.53601,4.828517,7.844945,4.5734,9.164946,5.888935,5.180133,4.891024,5.702008,4.388962,8.07937,11.48768,4.570354,6.730274,5.038754,4.674257,3.696246,4.808071,6.636477,2.495602,10.35173,4.030817,5.182176,7.975481,7.876486,7.692191,2.711262,3.400278,6.382224,9.925132,7.896251,6.447851,4.608068,5.992702,4.242143,8.346677,3.159144,5.598089,3.94639,3.71809,4.951287,5.689295,13.02314,7.661613,SONFH
GSM3507287,1.966878,4.36996,2.880813,2.200666,5.289939,3.178089,5.368217,6.112896,2.177749,2.570975,2.275557,4.471683,2.734373,4.214427,4.710593,5.104703,4.26509,3.149186,3.51472,3.562318,4.676991,3.099435,5.965093,2.846993,5.53676,4.846774,5.597427,5.566396,2.908394,4.947149,3.01344,2.792393,4.985676,7.318949,3.188507,8.211864,4.358627,2.531859,5.852207,10.74618,2.376323,2.81731,4.725712,6.200106,4.608193,2.673767,5.954187,3.62855,3.245676,5.957849,5.331441,6.459586,3.707067,2.278702,7.152774,12.3586,5.287649,4.541277,6.381038,3.41297,4.710471,4.969728,3.872881,2.621022,5.245767,3.838902,8.380486,6.249378,4.311928,6.5439,3.161264,3.21107,2.685815,4.494745,5.566166,1.68433,9.234942,4.166239,3.228618,7.442626,6.580819,7.022358,2.255185,2.764883,3.816309,5.892018,7.339739,5.395611,4.807492,6.210512,3.21107,6.934464,3.910272,3.311215,3.275097,4.220371,3.471253,5.10047,12.75143,7.769792,SONFH
GSM3507288,1.981822,7.675887,3.123618,3.489177,5.915339,2.449622,6.107604,9.580579,4.279156,4.335145,3.444114,5.310865,3.730539,5.39886,6.75707,7.780091,6.097696,4.146059,4.922527,4.257176,6.99957,4.703149,8.181221,3.256579,7.770802,5.937074,6.759921,6.335747,3.132211,6.269619,4.15166,4.235908,6.445396,8.123962,4.009066,8.952868,4.976168,3.051601,7.418242,6.57449,3.406084,4.227295,4.590471,7.538667,6.50542,3.219301,10.52617,4.573136,4.115616,6.822477,2.812213,6.597571,4.289078,3.473897,7.046006,7.990707,7.716718,3.885224,7.545308,4.264318,8.280446,5.61063,5.315886,4.796231,5.290365,4.246078,7.409622,10.76889,4.016006,6.35596,4.379085,4.38628,3.689665,4.790359,6.54252,2.529423,10.00245,4.09529,4.563032,7.9291,7.746659,7.248241,2.419433,3.165944,6.191957,9.937714,7.781403,6.260604,4.595847,5.978042,4.133229,7.668612,3.889406,5.413939,3.331297,4.204945,4.444889,5.358739,13.25527,10.73921,SONFH
GSM3507289,1.553927,4.295212,3.740793,2.745396,4.202876,3.039655,4.25801,6.320032,2.751467,2.467819,2.771017,4.750866,2.732993,4.018017,5.208559,5.434788,4.307806,2.400103,4.010991,3.071171,4.679063,3.582142,6.07658,2.784703,5.941665,4.492543,4.425797,5.090228,2.806514,3.577871,3.123992,3.221084,5.240688,7.083053,3.464473,6.749258,4.120676,2.46957,6.319193,7.451169,2.352494,3.22807,5.252659,5.64831,3.695545,2.742607,7.500126,3.886311,3.494107,5.715623,2.303666,6.119083,3.571673,2.721918,6.630245,9.022695,5.567346,4.286482,6.804916,3.218281,6.291503,4.972619,4.195746,2.844501,4.988127,3.440214,8.614907,7.526284,4.090373,6.258892,4.135596,3.873169,2.894665,5.03155,5.477201,1.971592,8.100471,3.416209,3.403819,7.023194,6.396073,6.556128,2.226396,2.64341,3.563249,7.228231,6.741886,5.378855,5.171601,6.331813,3.511128,7.207874,2.981179,4.275007,3.396422,3.264906,3.633071,5.245008,12.72738,9.261459,SONFH
GSM3507290,2.004308,6.799548,6.042889,4.582941,6.527347,4.776959,6.458095,9.223511,4.501051,4.368131,4.370438,7.339511,4.904764,6.428609,7.791626,7.991644,6.589221,4.161176,4.981754,4.473345,7.291437,4.0235,8.531721,3.621176,8.143235,5.798597,6.80025,6.728426,3.724193,6.590305,3.579793,4.470393,6.068933,7.83715,4.289851,8.921322,4.902402,3.320332,9.20792,12.44378,3.48144,4.17467,5.87209,8.035418,6.695682,3.645515,11.05136,4.650485,4.204382,6.983721,3.278254,6.587056,4.47004,2.947759,6.797102,13.32571,8.80049,4.426201,7.342761,4.778483,9.454481,5.743814,5.491191,5.336444,5.710696,4.642376,7.750171,11.21272,4.450017,7.079533,4.755841,4.466755,3.379672,5.316678,6.891121,2.664051,9.823279,3.512196,4.868267,7.543859,8.288409,6.927341,3.083737,3.375248,6.9522,10.32019,7.617995,6.917288,5.373785,5.649732,4.472556,9.230273,3.849111,6.420034,4.02707,4.220367,4.739316,6.143995,12.28244,8.543502,SONFH
