probe_id,gene_symbol,abs_log_fold_change,variance
11715494_s_at,HBG1 /// HBG2,0.32814006666666273,3.1532136510246436
11715495_a_at,RPS25,0.21773133333333483,0.1925085712048718
11715497_a_at,OXA1L,0.572871666666666,0.2424964174203358
11715499_x_at,CBX3,0.18947856666666674,0.3204550629899839
11715500_s_at,TARDBP,0.4947614333333341,0.2384163474796763
11715501_s_at,IGFBP7,0.0020660999999986274,0.8240941877677123
11715502_x_at,RPL18A,0.44929499999999933,0.2557880510614744
11715503_a_at,LASP1,0.8289193333333316,0.32619567055754856
11715512_s_at,NDFIP1,0.7537613333333342,0.36746831858660506
11715513_s_at,NDFIP1,0.6207617666666643,0.18838179297253785
11715514_a_at,HERPUD1,0.628324166666669,0.2159656507768558
11715517_s_at,SLC25A39,0.5218254000000027,0.3386850135787667
11715519_a_at,MLEC,0.5171989666666645,0.6231008096935481
11715520_at,MLEC,0.3527659666666665,0.23806512536695826
11715524_a_at,COTL1,1.2020876666666673,0.5880807065027973
11715530_a_at,CCT6A,0.29187816666666944,0.2645130451432814
11715531_at,PRPF8,0.6209110333333339,0.20542399424320437
11715532_a_at,IFNGR2,1.0334996666666676,0.5002245917918848
11715536_a_at,IDH2,0.11227843333333265,0.17337037711104558
11715537_x_at,IDH2,0.04462890000000019,0.24052863135499938
11715538_s_at,RPLP1,0.44836633333333253,0.2703860844968589
11715540_s_at,RPS14,0.3573943333333336,0.21810716423685905
11715543_x_at,RPS8,0.24084016666666486,0.26837291277742
11715546_s_at,CBX1,0.9641875333333347,0.47359269079295135
11715554_a_at,CYB5R3,0.4488648666666668,0.19224025135927958
11715559_x_at,YWHAQ,0.1403161999999991,0.26304133716289996
11715564_s_at,H1FX,0.2731440666666689,0.2968696206652282
11715568_a_at,CD9,0.5693243666666659,0.8197617666873276
11715569_at,CD9,0.4661109999999997,0.8545081118983564
11715570_x_at,CD9,0.5632300666666668,0.8388765111700283
11715580_a_at,TBCB,0.3096176666666661,0.17517710527705388
11715582_s_at,SF3B2,0.6346129666666673,0.2114425266061121
11715586_at,MAPRE1,0.5025936000000009,0.258289100924
11715588_x_at,MYL9,0.2685494000000004,0.2518784298670539
11715590_at,DYNC1H1,0.5134040000000004,0.18187022578642045
11715591_s_at,DYNC1H1,0.4925049999999995,0.204437113630664
11715594_a_at,RBM38,1.4685682666666686,0.960386059764318
11715602_s_at,SPARC,0.3459110000000001,0.20809083534302303
11715603_s_at,SPARC,0.5830325333333342,0.444878940046041
11715604_x_at,SPARC,0.839541133333336,0.7487065915847051
11715607_at,PPIB,0.34168406666666584,0.21214856256972042
11715608_x_at,PPIB,0.37531263333333165,0.23196224237143007
11715609_a_at,ATP6V1H,0.21863980000000094,0.2045843187799462
11715616_a_at,NDUFAB1,0.18557933333333487,0.18959831293647186
11715617_a_at,RNF130,1.0181208999999978,0.4221970453104352
11715623_s_at,RNF114,0.5927346333333334,0.31217076757476864
11715624_at,SH3BGRL,0.2983455666666668,0.24555995278561477
11715626_a_at,RPL11,0.42226266666666845,0.2827932004061539
11715627_x_at,ALDH2,0.9624456000000006,0.5795405678903077
11715629_a_at,LAPTM4A,0.4704311333333333,0.23708997538182316
11715630_s_at,LAPTM4A,0.6601186666666674,0.398567980883118
11715631_x_at,LAPTM4A,0.4854714333333323,0.18587808863553285
11715634_s_at,TMEM14C,0.4488920666666685,0.45120861253594624
11715635_x_at,TMEM14C,0.6288382999999973,0.4482464375773584
11715638_s_at,LPCAT1,0.6734080000000002,0.27874077739430764
11715640_a_at,TTC3,0.5303137999999992,0.2798797316876179
11715642_s_at,TTC3,0.5231661666666652,0.3109597413381275
11715643_a_at,ATP6AP2,0.6586138999999989,0.25769047557547115
11715644_s_at,ATP6AP2,0.6927273333333339,0.2755856936054975
11715646_a_at,ADIPOR1,0.6975526666666685,0.5397822149507796
11715647_a_at,ADIPOR1,0.7713503333333342,0.5171761294122436
11715648_x_at,ADIPOR1,0.8497255000000052,0.5741691850775583
11715651_s_at,FSTL1,0.6009685666666673,0.5861459135148198
11715654_x_at,RTFDC1,0.34054536666666735,0.15009241080443006
11715656_at,COX5A,0.34521159999999895,0.324062338773477
11715665_a_at,PSMB8,0.5493743666666635,0.41463627434640965
