probe_id,gene_symbol,rf_importance,selection_freq,abs_fold_change,combined_score
11716466_s_at,ISCA1,0.0011,0.8,2.3218309999999995,0.3309
11741977_a_at,RHD,0.0001,0.8,2.3684138333333338,0.3298
11739339_s_at,FAM46C,0.004,1.0,2.1301724999999987,0.3263
11724538_a_at,ABCG2,0.0001,0.4,2.329936766666666,0.3245
11733941_a_at,TBCEL,0.0057,1.0,2.0214829999999995,0.3241
11725439_at,HBD /// HBD,0.0011,1.0,2.2620052000000026,0.3226
11750456_s_at,RHCE /// RHD,0.0011,1.0,2.2433612999999983,0.32
11730499_a_at,MXI1,0.0,1.0,2.279355233333334,0.3167
11719359_a_at,ALDH5A1,0.0039,1.0,2.0644096666666663,0.3164
11739061_at,SLC7A5,0.0047,1.0,2.013432266666668,0.3154
11729757_a_at,RHAG,0.0104,1.0,1.693647766666667,0.3142
11743068_at,SIAH2,0.0058,1.0,1.8077229999999993,0.2952
11733100_at,USP12,0.0021,0.4,1.984404333333333,0.2916
11725951_at,RIOK3,0.003,1.0,1.8622542000000006,0.2815
