gene_rank,gene_symbol,probe_id,probe_rank,probe_type,multivariate_score,abs_fold_change,log_fold_change,mean_sonfh,mean_control,t_stat,p_value,iqr,variance
67,TRAK2,11716784_at,123,_at,8.5554,1.7397,-1.7397,7.9691,9.7087,-5.786,0.00017820099009989383,0.7638,0.8818
68,ANK1,11741071_a_at,124,_a_at,8.5206,2.0304,-2.0304,5.691,7.7214,-4.5807,0.0005850979174159414,1.5969,1.8397
69,RNF182,11737774_a_at,127,_a_at,8.3883,2.4195,-2.4195,4.7676,7.1871,-2.8694,0.014303623627962813,3.5346,4.6168
70,KLF1,11730138_at,130,_at,8.3773,1.9627,-1.9627,7.1854,9.1481,-4.6885,0.00037142821576764896,1.5471,1.8318
71,REXO2,11751359_a_at,132,_a_at,8.3126,1.6743,-1.6743,5.0553,6.7296,-5.771,0.0001853692658986173,0.6891,0.8141
72,CA2,11733115_a_at,133,_a_at,8.2621,1.9382,-1.9382,6.9589,8.8971,-4.6552,0.0010225613198654542,0.7705,1.2217
73,TRIM58,11731997_at,134,_at,8.247,1.9078,-1.9078,8.0649,9.9726,-4.7598,0.0003810277862016969,1.7317,1.6169
74,SLC2A1,11752572_a_at,135,_a_at,8.2166,1.9046,-1.9046,6.4799,8.3845,-4.7379,0.0007895956846007249,0.8519,1.2414
75,RNF11,11749608_a_at,136,_a_at,8.1847,1.8805,-1.8805,6.6382,8.5188,-4.7981,0.0005824091326518366,1.3479,1.3081
76,SELENBP1,11716401_a_at,137,_a_at,8.1814,1.8937,-1.8937,9.1271,11.0208,-4.7414,0.0002566898146968085,1.8402,1.8246
77,GADD45A,11717039_a_at,141,_a_at,8.1281,1.8902,-1.8902,6.6369,8.5271,-4.6946,0.0008934023413061348,1.0621,1.1991
78,WLS,11733513_a_at,144,_a_at,8.1198,1.7548,1.7548,6.3092,4.5544,5.2281,0.00021916585939084143,1.3381,1.1511
79,ARG2,11757776_s_at,145,_s_at,8.1183,1.7889,-1.7889,3.1271,4.916,-5.0896,0.0005905455144531137,0.4473,0.941
80,FHDC1,11743306_at,146,_at,8.0958,2.1142,-2.1142,3.8648,5.9789,-3.7596,0.004331020704318463,0.5909,1.6523
81,CHI3L1,11756316_a_at,152,_a_at,7.9992,1.9944,1.9944,8.1519,6.1575,4.1296,0.0008623116856045676,2.2198,2.4417
82,NSUN3,11743928_at,154,_at,7.8829,1.5538,-1.5538,6.1773,7.7311,-5.7635,0.00017940688235897528,0.6454,0.7097
83,MARCH8,11741305_a_at,156,_a_at,7.872,1.9065,-1.9065,6.1788,8.0853,-4.3368,0.001069033410096883,1.3982,1.5981
84,CREG1,11715682_a_at,159,_a_at,7.8454,1.3861,-1.3861,7.7755,9.1617,-6.3931,3.484096635622315e-05,0.9367,0.6059
85,LYZ,11715461_at,162,_at,7.8286,1.9947,1.9947,12.0502,10.0555,3.9336,0.0023533761966350623,1.4669,1.8493
86,RNF14,11719392_a_at,163,_a_at,7.8214,1.6043,-1.6043,7.0815,8.6858,-5.4908,0.0003047566741900003,0.6188,0.7478
87,CACNA2D3,11730501_a_at,164,_a_at,7.8125,1.6132,1.6132,5.9391,4.3259,5.4449,0.00019658166266694425,1.0743,0.8803
88,PTGS2,11724037_at,165,_at,7.7992,1.9549,1.9549,6.9037,4.9488,4.0596,0.002224935263550372,1.4801,1.5405
89,AP2B1,11716262_a_at,170,_a_at,7.7177,1.5696,-1.5696,5.8044,7.374,-5.5115,0.00031149365289971957,0.5356,0.7028
90,KRT23,11744424_a_at,171,_a_at,7.7147,1.9516,1.9516,8.0024,6.0509,3.9763,0.002095973446331078,1.2988,1.7979
91,IFRD2,11755876_a_at,172,_a_at,7.7048,1.1281,-1.1281,5.5446,6.6727,-7.2671,1.8914986989527463e-05,0.4907,0.3405
92,MOSPD1,11747759_a_at,175,_a_at,7.6677,1.6872,-1.6872,3.0843,4.7715,-4.9828,0.0006802275976332216,0.5244,0.8524
93,HAL,11735177_at,176,_at,7.6675,1.7646,1.7646,8.0414,6.2769,4.6723,0.0005665684900622232,0.9114,1.2956
94,DPCD,11719122_at,177,_at,7.6609,1.7978,-1.7978,5.3316,7.1294,-4.5316,0.0009828684203813834,0.7168,1.2087
95,PSME4,11717864_a_at,179,_a_at,7.6286,1.3898,-1.3898,4.481,5.8708,-6.1307,5.857896394814858e-05,0.9845,0.616
96,PRDX2,11745463_x_at,181,_x_at,7.6095,1.7909,-1.7909,7.9102,9.7011,-4.5006,0.0011471705526952714,0.8087,1.1434
97,GYPE,11735856_s_at,184,_s_at,7.5964,1.8224,-1.8224,2.5363,4.3588,-4.3593,0.0016723631811472834,0.662,1.1062
98,SMOX,11741507_a_at,185,_a_at,7.5928,1.6366,-1.6366,6.6141,8.2507,-5.1002,0.0001710359460671162,1.4888,1.1615
99,CXCR2 /// CXCR2P1,11731426_s_at,188,_s_at,7.5632,1.6768,1.6768,11.3013,9.6245,4.9052,0.000454451664069438,1.2374,1.0479
100,POLR1D,11755190_a_at,189,_a_at,7.5548,1.3723,-1.3723,7.9427,9.315,-6.1166,0.00011155341779685067,0.7722,0.5321
