rf_rank,probe_id,gene_symbol,rf_importance,rf_n_nodes,j48_split,j48_threshold,j48_direction,j48_depth,abs_fold_change,log_fc,hybrid_score,source
74,11739230_a_at,ARL4A,0.19,1,False,,,,2.3464,-2.3464,,rf
75,11743068_at,SIAH2,0.19,4,False,,,,1.8077,-1.8077,,rf
76,11733360_x_at,SLC14A1,0.18,4,False,,,,2.6613,-2.6613,,rf
77,11719359_a_at,ALDH5A1,0.14,1,False,,,,2.0644,-2.0644,,rf
78,11744965_x_at,TMCC2,0.09,1,False,,,,2.1459,-2.1459,,rf
79,11747125_a_at,RIOK3,0.08,2,False,,,,2.1005,-2.1005,,rf
80,11737267_a_at,RHD,0.0,0,False,,,,2.4665,-2.4665,,rf
81,11722470_x_at,ACSL6,0.0,0,False,,,,2.4637,-2.4637,,rf
82,11731446_s_at,SNCA,0.0,0,False,,,,2.361,-2.361,,rf
83,11721931_s_at,TMCC2,0.0,0,False,,,,2.0662,-2.0662,,rf
84,11725438_a_at,HBD /// HBD,0.0,0,False,,,,2.4431,-2.4431,,rf
85,11746263_a_at,FECH,0.0,0,False,,,,2.5586,-2.5586,,rf
86,11730499_a_at,MXI1,0.0,0,False,,,,2.2794,-2.2794,,rf
87,11753827_x_at,GYPB,0.0,0,False,,,,2.8289,-2.8289,,rf
88,11753662_x_at,GYPB,0.0,0,False,,,,2.7989,-2.7989,,rf
89,11728138_at,XK,0.0,0,False,,,,2.8971,-2.8971,,rf
90,11749176_a_at,RIOK3,0.0,0,False,,,,2.0668,-2.0668,,rf
91,11751970_a_at,ABCC13,0.0,0,False,,,,2.3048,-2.3048,,rf
92,11733100_at,USP12,0.0,0,False,,,,1.9844,-1.9844,,rf
93,11739937_a_at,DYRK3,0.0,0,False,,,,2.0576,-2.0576,,rf
94,11750456_s_at,RHCE /// RHD,0.0,0,False,,,,2.2434,-2.2434,,rf
95,11741977_a_at,RHD,0.0,0,False,,,,2.3684,-2.3684,,rf
96,11718997_at,AHSP,0.0,0,False,,,,2.3223,-2.3223,,rf
97,11724538_a_at,ABCG2,0.0,0,False,,,,2.3299,-2.3299,,rf
98,11743067_at,SIAH2,0.0,0,False,,,,2.0979,-2.0979,,rf
99,11745557_x_at,GYPB,0.0,0,False,,,,2.9867,-2.9867,,rf
100,11727969_a_at,SLC14A1,0.0,0,False,,,,2.4563,-2.4563,,rf
