model,source,accuracy_mean,roc_auc_mean,f1_weighted_mean,balanced_accuracy_mean
Auto-Weka (PART),weka_10fold_cv,0.975,0.95,0.975,
Random Forest,weka_10fold_cv,0.925,0.95,0.924,
MLP,weka_10fold_cv,0.925,0.937,0.92,
Naive Bayes,weka_10fold_cv,0.925,0.932,0.926,
IBk (k=3),weka_10fold_cv,0.9,0.837,0.896,
IBk (k=5),weka_10fold_cv,0.9,0.835,0.896,
SMO (SVM),weka_10fold_cv,0.9,0.833,0.896,
IBk (k=1),weka_10fold_cv,0.9,0.833,0.896,
J48,weka_10fold_cv,0.95,0.82,0.948,
