model,source,accuracy_mean,roc_auc_mean,f1_weighted_mean,balanced_accuracy_mean
Auto-WEKA,weka_10fold_cv,1.0,1.0,1.0,
Random Forest,weka_10fold_cv,0.925,0.935,0.924,
Naive Bayes,weka_10fold_cv,0.925,0.923,0.924,
MLP,weka_10fold_cv,0.925,0.9,0.924,
SMO (SVM),weka_10fold_cv,0.925,0.883,0.924,
IBk (k=5),weka_10fold_cv,0.925,0.882,0.924,
IBk (k=3),weka_10fold_cv,0.925,0.877,0.924,
IBk (k=1),weka_10fold_cv,0.85,0.767,0.844,
J48,weka_10fold_cv,0.825,0.622,0.814,
