probe_id,gene_symbol,rf_importance,selection_freq,abs_fold_change,combined_score
11749318_a_at,TSTA3,0.0032,0.4,2.0494480999999993,0.3427
11727969_a_at,SLC14A1,0.0,0.0,2.4562537000000013,0.3413
11725438_a_at,HBD /// HBD,0.0,0.0,2.4430797000000037,0.3394
11755945_a_at,YPEL4,0.0066,0.8,1.5806429666666664,0.3392
11747185_x_at,ANK1,0.0058,0.6,1.6794666999999999,0.3384
11731453_at,SEC62,0.0067,0.8,1.5589131999999992,0.338
11739002_a_at,HDGF,0.0084,0.6,1.3298385999999986,0.3369
11730499_a_at,MXI1,0.0011,1.0,2.279355233333334,0.3366
11757480_x_at,IFI27,0.0002,0.4,2.365359533333333,0.3323
11741977_a_at,RHD,0.0001,0.2,2.3684138333333338,0.3309
11758929_at,TFDP2,0.003,1.0,1.9824433333333347,0.3298
11731446_s_at,SNCA,0.0,0.0,2.3610044666666674,0.328
11724538_a_at,ABCG2,0.0002,0.4,2.329936766666666,0.3273
11757303_s_at,BNIP3L,0.004,1.0,1.8325246333333336,0.3271
11743067_at,SIAH2,0.0019,1.0,2.097893933333334,0.3259
11716467_x_at,ISCA1,0.0,0.0,2.3439887000000006,0.3257
11747759_a_at,MOSPD1,0.005,0.8,1.6872072,0.325
11748055_x_at,TFDP1,0.003,0.6,1.9371366666666674,0.3235
11725348_x_at,TFDP1,0.0037,0.8,1.842474533333335,0.323
11748820_x_at,CMAS,0.009,0.8,1.1493280666666683,0.3227
11718997_at,AHSP,0.0,0.0,2.322294966666668,0.3227
11716466_s_at,ISCA1,0.0,0.0,2.3218309999999995,0.3226
11739937_a_at,DYRK3,0.002,0.4,2.0575747333333334,0.3221
11751970_a_at,ABCC13,0.0,0.8,2.3047724999999994,0.3202
11758545_s_at,RHAG,0.0012,0.2,2.1313767666666674,0.3179
11744965_x_at,TMCC2,0.001,0.2,2.1458824666666656,0.3163
11725950_s_at,RIOK3,0.0039,1.0,1.7679326,0.3163
11739061_at,SLC7A5,0.002,0.6,2.013432266666668,0.316
11743306_at,FHDC1,0.0012,0.4,2.114155499999999,0.3155
11736949_at,THEM5,0.0026,0.6,1.9312052666666673,0.3154
11740646_a_at,CCR3,0.0,0.0,2.265778366666667,0.3148
11733139_a_at,ARL4A,0.0038,0.8,1.7673617999999993,0.3144
11725439_at,HBD /// HBD,0.0,0.0,2.2620052000000026,0.3143
11750456_s_at,RHCE /// RHD,0.0001,1.0,2.2433612999999983,0.3135
11729940_x_at,TMEM56,0.0011,1.0,2.1122701333333334,0.3134
11728838_a_at,TMCC3,0.0063,0.8,1.4344576666666669,0.3134
11731442_at,ARHGEF12,0.0058,0.6,1.4963359333333335,0.313
11754299_a_at,MXD4,0.0083,0.6,1.1649989333333322,0.3122
11717039_a_at,GADD45A,0.0026,0.8,1.8902397333333347,0.3097
11737269_x_at,RHD,0.0,0.4,2.224508666666667,0.3091
11757534_s_at,FAM198B,0.0031,0.6,1.8077808666666666,0.3073
11747125_a_at,RIOK3,0.0008,1.0,2.1005189333333334,0.3063
11731424_x_at,CXCR2,0.0046,0.6,1.6037999000000003,0.3062
11721347_a_at,MPEG1,0.0041,0.8,1.6695279666666654,0.3062
11755059_s_at,TCF3,0.0053,0.8,1.5078762333333318,0.3055
11755190_a_at,POLR1D,0.0062,1.0,1.372295300000001,0.303
11752572_a_at,SLC2A1,0.0021,0.4,1.9045638999999985,0.3027
11756387_x_at,ARL4A,0.002,0.4,1.9167646999999999,0.3025
11731452_s_at,SEC62,0.0008,0.4,2.0619120666666673,0.301
11752880_a_at,RHD,0.0,0.0,2.1595258666666655,0.3
