model,source,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,f1_weighted_mean,f1_weighted_std,balanced_accuracy_mean,balanced_accuracy_std,duration_s
tuned_xgboost,hyperopt_tuned,0.94,0.076,0.9933,0.0226,0.9364,0.0831,0.92,0.1154,1.96
baseline_logistic_elasticnet,baseline_default,0.925,0.075,0.99,0.0318,0.9188,0.084,0.8833,0.1302,3.21
baseline_random_forest,baseline_default,0.9325,0.0671,0.99,0.0271,0.9269,0.0773,0.8983,0.1217,10.66
tuned_random_forest,hyperopt_tuned,0.93,0.0714,0.99,0.0271,0.9243,0.0809,0.8933,0.1259,18.53
baseline_mlp,baseline_default,0.9075,0.0859,0.9517,0.0747,0.9048,0.0854,0.875,0.1216,2.09
baseline_linear_svc,baseline_default,0.935,0.076,0.9433,0.102,0.9282,0.0856,0.89,0.1317,0.41
baseline_gaussian_nb,baseline_default,0.945,0.0669,0.9433,0.0807,0.9435,0.0683,0.93,0.0977,0.35
baseline_knn,baseline_default,0.925,0.0791,0.9392,0.1031,0.919,0.0875,0.8833,0.1333,0.39
baseline_xgboost,baseline_default,0.905,0.0731,0.8533,0.1242,0.8976,0.0804,0.8533,0.1242,0.88
