sample,11718185_a_at,11725976_a_at,11754863_s_at,11726632_at,11720493_s_at,11740162_a_at,11760963_x_at,11730431_a_at,11716903_a_at,11717544_a_at,11724484_a_at,11725440_a_at,11721513_a_at,200021_PM_at,11741435_s_at,11748747_a_at,11745742_s_at,11732181_x_at,11718196_x_at,11736017_s_at,11723156_a_at,11731426_s_at,11752510_x_at,11722269_a_at,11722387_at,11720097_at,11742686_a_at,11755572_x_at,11728989_a_at,11754831_a_at,11737749_a_at,11746456_x_at,11722270_at,11718120_at,11718121_x_at,11725924_a_at,11741351_s_at,11721716_s_at,11756827_a_at,11723842_s_at,11727841_a_at,11744067_s_at,11736575_x_at,11715706_x_at,11733768_x_at,11720230_at,11740553_a_at,11755411_a_at,11736084_a_at,11744351_a_at,11737423_a_at,11757569_a_at,11747203_x_at,11756894_a_at,11757379_a_at,11754197_x_at,11716908_a_at,11720644_a_at,11716904_s_at,11757525_s_at,11717324_at,11724807_at,11733802_a_at,11732135_a_at,11753909_x_at,11719025_a_at,11756746_s_at,11719038_a_at,11731879_a_at,11725813_at,11722752_a_at,11721719_at,11757904_s_at,11758386_s_at,11722216_a_at,11724979_a_at,11742418_a_at,11722960_a_at,11716765_s_at,11732189_at,11724326_a_at,11731424_x_at,11758090_s_at,11763266_at,11741091_a_at,11757808_s_at,11720380_a_at,11752509_s_at,11731437_at,11723400_a_at,11751164_a_at,11720739_s_at,11733803_x_at,11728840_at,11728972_a_at,11723401_x_at,11717208_at,11747623_a_at,11717752_s_at,11756532_a_at,class
GSM3507269,5.188995,6.477687,7.35941,8.048817,9.471576,8.866912,8.13363,8.3277,8.317605,6.975216,7.940804,8.43601,9.06608,12.11859,10.26757,9.262444,9.544731,9.546257,9.823982,10.8102,8.879644,11.34087,11.59877,8.328396,8.832822,6.765553,10.30118,7.614643,8.278275,6.553288,6.782102,5.624728,9.293869,7.69928,7.350834,7.07487,6.826703,3.981698,7.072841,7.465385,8.950004,7.896567,3.953864,8.218666,8.762448,7.993506,6.090568,6.304621,6.645083,8.109932,7.672725,7.42944,7.014392,4.985482,8.739084,5.32397,11.33732,9.013134,9.903418,8.187204,8.237507,8.76912,10.01,7.039453,7.918552,8.483544,9.24551,8.793097,6.090515,7.552092,7.867813,8.054071,8.393517,6.602135,7.601925,8.6483,8.494502,7.523947,9.818324,8.579103,9.187148,10.46371,6.761425,7.329293,6.753979,7.599325,9.987503,12.12916,6.858405,10.33078,9.358582,8.482927,9.866725,5.853354,6.808908,10.20372,6.261376,8.126493,9.637558,9.824513,SONFH
GSM3507270,5.445614,6.819967,7.676656,8.070782,9.243071,8.610632,8.125646,8.796455,8.689962,6.949744,8.012419,8.334193,9.132598,12.36528,10.41439,9.373006,9.591749,9.13619,9.616132,10.79522,9.009613,10.90385,11.76135,8.636861,8.808866,6.618675,10.56332,7.552011,8.295616,6.894883,7.199084,6.694572,9.61315,7.521896,7.24519,7.204043,6.621606,3.826928,6.965727,7.648304,8.79612,8.576939,5.60732,8.749048,8.627182,8.48628,6.369795,6.508508,6.748349,8.639683,8.436378,7.700534,7.455607,5.648442,9.044882,5.606244,11.49701,9.218255,10.08118,8.09941,8.535343,8.658565,9.814955,7.420892,8.270895,8.77367,8.931075,8.609992,6.960552,7.445159,7.793792,8.651533,8.2939,6.835793,7.256632,9.139013,8.566555,7.951993,9.774202,8.176414,9.333979,10.35483,6.402453,7.298349,6.889283,7.809302,9.954191,12.15152,7.38972,10.6452,9.237632,8.561405,9.568092,5.673182,7.119667,10.54264,6.353209,8.14414,9.477789,10.11589,SONFH
GSM3507271,5.983513,6.725027,7.652927,9.177341,10.41124,8.715258,8.547682,9.520963,9.77337,7.984115,7.931768,9.337109,9.96314,12.47754,11.1339,10.00059,10.67579,9.648663,9.828512,11.48692,9.973333,12.08168,12.5622,9.100944,8.807194,6.974844,10.83698,8.002323,9.963512,7.78987,7.871354,7.137948,10.21682,8.12487,7.881653,7.28011,7.248816,3.95464,7.963656,8.142373,9.972941,8.43294,6.311028,9.436268,9.633668,8.796007,6.70319,6.214789,7.523456,9.09585,8.701008,7.911006,7.384721,5.229478,9.798498,6.231763,12.26147,10.00386,10.86653,8.95948,8.990444,9.645513,10.52237,7.409295,8.411062,9.246973,9.738088,9.022724,7.409074,8.432955,8.37532,8.765951,9.1257,7.688251,7.711811,10.21622,9.251526,7.877126,10.93981,9.607207,10.11764,12.03253,6.512733,7.806758,7.730266,8.948076,10.45889,12.95196,7.558764,11.1048,9.967089,9.010737,10.40159,7.286195,8.037514,11.01078,6.241172,8.748856,10.70372,11.25518,SONFH
GSM3507272,5.349678,6.746096,7.665523,8.210202,9.393912,8.574718,8.401632,8.816862,8.886053,7.380358,8.062868,8.337949,9.198202,12.36007,10.4673,9.317199,9.673298,9.16233,9.719643,10.95533,9.077186,11.23018,12.05979,8.463109,8.738858,6.775051,10.35977,7.592099,8.396977,6.789491,7.182603,5.469196,9.552237,7.8055,7.54183,7.391403,6.56331,3.603396,7.083915,7.459229,8.790495,8.514721,4.877841,8.518436,8.591144,8.520782,6.316238,6.256822,6.84312,8.675882,8.364292,7.73789,7.297073,5.780591,9.065336,5.621753,11.38973,9.065664,10.31403,8.159807,8.433749,8.682961,9.831894,7.21427,8.165635,8.421309,9.080366,8.624518,6.796041,7.596931,7.877635,8.832167,8.355122,6.965829,7.491582,8.694408,8.635065,7.974792,9.630974,8.319874,9.390053,10.58535,6.683619,7.061027,6.935983,7.817053,9.873676,12.44944,7.308938,10.63792,9.40932,8.747005,9.877046,5.367541,6.683567,10.52281,6.485318,8.113708,9.472662,10.24109,SONFH
GSM3507273,5.342678,6.577239,7.748703,8.297024,9.747814,8.626931,8.00826,8.708322,8.370158,6.886929,8.157257,8.417062,9.40353,12.46525,10.74524,9.300138,9.738084,9.483612,10.16146,10.85387,9.430227,11.58446,12.25789,8.734063,8.84029,6.602723,10.848,7.899428,8.590585,6.813032,7.196969,6.506674,9.728782,7.838699,7.62491,7.427017,7.064736,3.652843,7.800115,7.793771,9.087517,8.699019,5.421121,8.209673,9.345221,8.265501,6.161215,6.085477,6.770021,8.265015,7.929968,7.587185,7.398481,4.999806,8.920195,5.65607,11.58323,9.526879,10.10609,8.103595,8.250229,8.506289,10.02495,7.24429,8.150201,8.568593,9.590122,8.589519,6.58768,7.528411,7.375394,8.716476,8.414663,6.885978,7.666398,8.965413,8.510653,7.632328,9.643013,8.122936,9.576807,10.92926,6.617366,7.268357,6.719718,8.35568,10.11937,12.73201,7.72038,10.68095,9.751759,8.606623,10.03973,5.917801,7.568783,10.58815,6.226415,8.26873,9.698917,10.43366,SONFH
GSM3507274,5.205926,6.600674,7.878326,8.690752,9.808942,9.473396,8.400633,8.788437,9.111305,7.259549,8.195649,8.681448,9.825731,12.48357,10.82464,9.539416,9.92951,9.799755,9.965273,11.36319,9.707759,11.86513,12.44691,8.272853,9.32505,6.650818,10.84919,7.829814,9.064627,7.110575,7.533695,6.988232,9.394452,8.172215,7.943951,7.10856,7.222095,3.855225,7.658561,7.830934,9.250466,8.477624,6.122182,8.754027,9.506144,8.409504,6.44034,6.298367,6.994996,8.726881,8.253801,7.850987,7.62751,5.087942,9.325604,5.896145,11.94098,9.651821,10.66278,8.747252,8.412231,9.272696,10.60184,7.152188,8.418148,8.900109,9.463259,9.424973,6.928816,8.164824,7.718405,8.791023,8.747758,6.975935,7.650955,9.241012,8.775148,7.927767,10.56673,8.930871,9.897574,11.21255,6.707614,7.372035,7.472019,8.029085,10.50212,12.87617,7.389731,11.04782,10.28994,8.408052,10.60933,6.82394,7.84127,10.91349,6.53469,8.32082,9.899155,10.6254,SONFH
GSM3507275,5.18425,6.477761,7.358551,7.835961,9.271743,8.594709,7.980246,8.711563,8.653305,6.701519,8.226947,8.071869,8.89609,12.4879,10.37191,9.300787,9.37582,8.911001,9.767118,10.71301,8.724562,10.56983,12.27105,8.815658,8.56304,6.522716,10.39804,7.393299,8.177227,6.8293,6.784886,6.155783,9.880648,7.50568,7.239649,7.24788,6.560538,3.742903,7.741358,7.475085,8.971203,8.76209,5.000542,8.426346,8.798413,8.669691,6.155024,6.40387,6.786099,8.299239,7.940496,7.720608,7.407506,4.901799,8.790459,5.525873,11.56297,9.129786,10.26096,7.967854,8.103525,8.277843,9.646099,6.835799,7.967136,8.384138,8.642033,8.535384,6.374058,7.25208,7.70146,8.721536,7.99842,6.764554,7.609487,8.195494,8.312973,7.870685,9.600368,8.144947,9.337967,9.950172,6.425705,7.184148,7.16092,7.578238,9.753645,12.63239,7.429228,10.62435,9.287396,8.50321,9.593819,4.95303,7.205742,10.49902,6.333643,8.039258,9.022461,10.00611,SONFH
GSM3507276,5.418392,6.598694,7.71712,7.837851,9.435194,8.834423,7.866203,8.5555,8.461432,6.830878,7.800686,7.877707,9.324269,12.20384,10.21559,9.321361,9.422518,9.402842,9.679594,10.71791,8.704512,11.27082,12.05188,8.267982,8.450729,6.620412,10.16106,7.353351,8.391903,6.849974,7.044744,5.934331,9.320958,7.704472,7.306304,7.299193,6.458801,3.931239,6.925525,7.429124,8.66863,8.228348,5.208914,8.386166,8.78185,8.237441,5.958004,6.25694,6.726295,8.336605,7.834649,7.61912,7.14397,5.304264,8.669685,5.543359,11.51469,9.111114,10.15352,8.229801,8.134038,8.510858,10.20624,7.035659,8.098037,8.53235,8.930415,8.638156,6.295605,7.37997,7.643488,8.57724,8.358389,6.735585,7.364091,8.847261,8.562274,7.696628,9.909045,8.229388,9.365327,10.45323,6.63334,7.075771,6.868549,7.751931,9.700758,12.47744,7.088436,10.62135,9.816971,8.487464,10.12711,6.139383,6.903296,10.64771,6.454313,8.124496,9.64461,9.97171,SONFH
GSM3507277,5.649556,7.19782,7.825678,8.400286,9.916922,9.135998,8.104545,8.946616,8.44952,7.328245,8.182566,9.181843,9.634972,12.25863,10.6425,9.716339,10.07975,10.11031,10.1274,11.4049,9.089069,12.2594,12.27429,8.739252,9.439338,6.842283,11.16658,7.68082,8.890158,6.711081,6.810625,7.460817,9.788803,8.509321,8.274354,6.979253,7.462459,4.168784,7.521298,7.672359,9.203682,8.512983,6.627792,8.879984,9.481098,8.202422,6.571863,6.33178,7.007069,9.352964,8.664245,7.749166,7.409866,4.643761,9.446583,5.924827,11.59797,9.899139,10.04648,8.451462,8.890282,9.095143,10.19432,7.300068,8.473783,8.900438,9.545881,9.079233,7.426952,8.354503,7.840732,8.286682,9.048475,7.312523,7.961472,9.678309,8.645138,7.764935,10.74896,9.286336,9.849554,11.31275,6.474392,7.472487,7.04548,8.148071,10.63157,12.75226,7.4358,10.77516,9.65675,8.444268,10.1736,6.52282,8.034753,10.62199,6.757785,8.510287,9.954876,10.38755,SONFH
GSM3507278,5.456977,6.484151,7.553797,7.956927,9.536626,9.43455,8.450159,8.499239,8.809038,6.992783,8.07264,8.504248,9.481197,12.28957,10.32233,9.680351,9.700502,9.296666,9.553349,10.68279,8.777075,11.3347,11.84414,8.474018,8.675641,6.453114,10.29562,7.640737,8.579657,7.004614,7.570692,6.46841,9.573672,7.546793,7.391185,7.62768,6.797853,4.170304,6.656845,7.565506,8.726126,8.262877,5.508549,9.006811,8.777894,8.62739,6.298502,6.452636,6.894216,8.811154,8.369686,7.916745,7.478267,5.4917,9.006711,5.731889,11.32425,9.248415,10.27306,8.295425,8.394258,8.612708,9.949768,6.99749,8.480746,8.871338,8.945181,9.39563,7.054093,7.488577,7.721656,8.462996,8.391811,6.974152,7.647422,9.075571,8.60008,8.047737,9.77152,8.018158,9.771798,10.61048,6.604878,7.266973,7.137883,8.07526,9.669418,12.42817,7.400198,10.73658,9.70985,8.614393,10.15382,5.347158,7.170385,10.70445,6.584063,8.44327,9.638903,10.28887,SONFH
GSM3507279,5.263831,6.426069,7.843687,8.27137,9.888657,8.916622,7.957866,8.611724,8.925805,7.043097,8.309051,8.876773,9.74091,12.3872,10.84183,9.641094,9.793252,9.797214,10.15063,11.07397,9.522817,11.63837,12.12954,8.600807,9.119233,6.815246,10.77883,7.6953,8.92009,6.814357,7.509339,6.710893,9.700693,8.003208,7.751583,7.317244,7.194699,3.854739,6.753538,7.811557,9.360497,8.591598,5.605831,8.567482,9.537258,8.298575,6.316838,6.228799,6.85854,8.682186,8.275211,7.817431,7.146645,5.05168,9.205881,5.637517,11.61741,9.671252,10.43464,8.584219,8.363058,9.045863,10.53743,7.343782,8.314068,8.777531,9.397043,8.939492,6.850867,7.788872,7.773837,8.546771,8.588696,6.867919,7.733075,9.136332,8.656954,7.882996,10.06825,8.445591,9.820253,11.10463,6.640534,7.242448,7.173704,8.405735,10.25242,12.54912,7.52409,11.0117,9.96963,8.462848,10.46872,6.459388,7.593726,10.91768,6.538051,8.538777,10.1041,10.43945,SONFH
GSM3507280,5.429572,6.705653,8.064252,8.233274,9.50627,8.82529,8.428326,8.873056,8.752386,6.994845,8.117762,8.15533,9.481478,12.33873,10.59015,9.390923,9.615915,9.472163,9.899269,10.92717,9.018803,11.46872,12.1456,7.995234,8.778436,6.575224,10.7096,7.609357,8.745453,6.763156,7.568994,6.156839,9.183477,8.093868,7.827837,7.155518,6.871707,3.738033,7.428722,7.762372,8.863095,8.670717,4.939278,8.679276,9.183113,8.233483,6.300928,6.41881,6.832195,8.618103,8.132782,7.863497,7.430243,5.451076,9.092013,5.713128,12.0732,9.623849,10.38895,8.556342,8.449846,8.873915,10.50962,7.368961,8.297702,8.684879,9.375684,8.762949,6.664585,7.624196,7.786135,8.689465,8.41551,7.027574,7.483552,9.196138,8.67225,7.822282,10.00866,8.580481,9.660478,10.95996,6.357352,7.407433,7.021377,7.894695,10.10273,12.61062,7.399197,10.91748,9.982308,8.299607,10.44197,5.926153,7.34217,10.7952,6.420487,8.213793,9.743267,10.33208,SONFH
GSM3507281,5.162147,6.560495,7.446007,8.251965,9.692973,8.639132,8.032614,8.538173,8.45359,7.190454,8.354952,8.230528,9.028842,12.53559,10.37327,8.684966,9.901877,9.159695,9.966353,10.93376,9.169036,11.46749,12.37866,8.947142,9.306952,6.446053,10.61329,7.705609,7.344755,6.364894,6.313787,6.523037,10.0039,7.843264,7.593918,7.216095,6.904949,3.845256,7.352738,7.592645,8.613827,8.445358,5.479178,7.518093,8.023937,8.210426,6.231297,6.102063,6.676723,8.275493,7.970509,7.782607,7.719761,5.053773,8.932184,5.627744,11.04295,8.819674,10.13721,7.718565,8.190399,8.088218,8.944989,7.288338,7.864091,8.645818,9.040344,8.586523,6.315963,7.320574,7.366954,8.314568,8.278658,6.359378,7.565364,8.214417,8.429337,7.760601,9.693539,8.5968,8.964179,10.40421,6.784077,7.133764,6.336461,7.628375,9.706522,12.95013,7.582926,10.59651,8.70795,8.944379,8.857848,5.203296,6.702561,10.595,6.552276,7.355778,8.838588,10.48013,SONFH
GSM3507282,5.240535,6.522195,7.322193,7.773196,8.911393,8.650764,8.287918,8.727996,8.480338,6.901563,7.842055,7.773674,8.898472,12.33027,10.24946,8.817302,9.304592,8.369621,9.586128,10.56924,8.652033,10.41398,11.98598,8.546337,8.618576,6.569019,10.23257,7.368296,8.246595,6.46609,6.907945,6.486468,9.525266,6.930767,6.641618,7.092078,6.542616,3.679415,6.996388,7.406963,8.888248,8.364818,5.502457,8.502098,8.654223,8.354334,6.154831,6.475053,6.753805,8.296403,7.834034,7.481464,7.309715,5.138978,8.869864,5.545763,11.11294,8.363164,10.08353,7.893704,8.188363,8.548834,9.133183,6.742209,7.870487,8.204582,8.554739,8.632273,6.295159,6.950214,7.580451,8.705452,7.721129,6.707776,7.417751,8.042726,8.312381,7.838069,9.364655,8.134942,8.968364,10.0039,6.408203,7.12231,6.892975,7.426152,9.630611,12.57806,7.707534,10.62534,8.723925,8.383872,8.99273,5.283329,6.790727,10.52186,6.192405,7.584194,8.452702,9.937072,SONFH
GSM3507283,5.583212,6.623904,7.6353,8.557554,9.633291,9.364241,8.690808,8.797462,8.712757,7.049165,8.084345,8.980062,9.955938,12.3522,10.81507,9.495227,9.916902,9.762114,10.13874,11.17603,9.116758,12.37974,12.34107,8.327939,9.163424,7.132759,10.91459,7.757314,9.622367,6.942743,7.409144,6.72514,9.454918,7.989103,7.698224,7.485596,7.17747,4.08909,6.991182,7.837867,9.614285,8.589314,5.493963,9.059743,9.836945,8.142304,6.451752,6.297312,6.870694,8.877979,8.059182,7.59457,7.436077,4.754006,9.292198,5.73455,11.3123,9.421362,10.22806,8.471004,8.705702,8.908013,10.01914,6.883998,8.137745,8.727782,9.514063,9.400056,6.904746,7.789629,7.912592,8.319489,8.501736,7.570795,7.871437,9.376881,8.504401,7.528252,10.01303,8.899682,9.815012,11.70054,6.326788,7.268666,7.416183,7.982773,10.63434,12.70372,7.105536,11.04768,9.733406,8.317272,10.28159,7.066746,8.08283,10.91269,6.391978,8.377189,9.705635,10.64877,SONFH
GSM3507284,5.413785,6.798763,7.564492,8.056359,9.326451,8.35425,8.254176,8.454239,8.288178,7.086949,7.924348,8.255359,8.940854,12.238,10.43421,8.949031,9.70138,8.892376,9.561217,10.57249,8.891117,11.04833,11.87988,8.565388,8.651213,6.713708,10.37909,7.450079,7.941757,6.425447,7.209556,6.179018,9.611669,7.408747,7.189033,7.070732,6.816357,3.651504,7.14706,7.418206,8.564818,8.291682,4.964761,8.407778,8.445816,8.115166,6.276237,6.304243,6.728069,8.680022,8.11051,7.669742,7.377685,5.723215,9.006639,5.829458,11.37703,8.784569,9.851633,8.01678,8.394415,8.513162,9.488003,7.192991,7.932226,8.472554,9.186961,8.347075,6.729804,7.234765,7.81298,8.541736,8.257658,6.711846,7.384604,8.877132,8.65638,7.810302,9.436805,8.250975,8.980029,10.26385,6.863669,7.25309,6.783097,7.690115,9.788383,12.41166,7.622589,10.55759,9.075109,8.807965,9.297957,5.580379,6.922953,10.46479,6.335401,7.641501,9.412453,10.13216,SONFH
GSM3507285,5.427166,7.137445,7.57985,8.211101,9.579169,9.278931,8.217448,8.494604,7.887221,7.377625,8.041165,8.860728,10.05681,12.16634,10.7241,9.656127,10.15411,9.67248,10.06512,11.12526,9.090694,12.27552,12.17931,8.51528,9.3351,6.802451,10.7339,7.745116,8.997602,7.224165,7.106424,6.661548,9.467035,8.229149,7.993721,7.684753,7.268866,4.054944,6.744093,7.552165,9.400741,8.301841,6.016134,9.435869,9.72161,8.176972,6.410071,6.438293,6.933655,9.315376,8.542768,7.748899,7.320382,5.155771,9.371704,5.795809,11.82418,9.175887,9.905269,8.86033,8.83925,9.210478,10.31412,7.11447,8.534112,8.92489,9.192587,9.279139,7.233661,7.838997,7.974584,8.32929,8.711563,7.759005,7.739248,9.382559,8.690309,7.800015,10.43678,8.851265,10.11304,11.23808,6.711679,7.218955,7.555805,8.286321,10.40284,12.79991,7.321507,10.93219,9.698816,8.334892,10.48295,7.542799,7.307635,11.08667,6.175607,8.561227,9.792704,10.77738,SONFH
GSM3507286,5.102411,6.535506,7.573032,7.78792,9.040366,8.652693,8.177471,8.719881,8.535064,6.687174,7.77181,8.258197,8.849335,12.27776,10.31382,8.899456,9.347351,8.871006,9.685686,10.40254,8.876856,10.792,12.42439,8.456853,8.800823,6.64374,10.31455,7.239545,8.267498,6.447804,7.107072,6.119856,9.509782,7.736875,7.345138,7.039329,6.730548,3.723037,7.328255,7.56585,9.054995,8.7409,5.441021,8.633681,9.285328,8.215946,5.978419,6.284384,6.658885,8.451671,7.860987,7.341194,7.273638,4.902425,8.77487,5.645577,11.58981,9.043285,10.14148,7.94234,8.026598,8.727204,9.645659,6.587753,7.687003,8.515708,8.483303,8.602449,6.344082,6.892175,7.570397,8.771656,7.8836,7.066679,7.419675,8.609005,8.273319,7.514441,9.383265,8.429136,9.013267,10.33962,6.258254,7.210341,6.907648,7.661438,9.726011,12.86406,7.589917,10.57242,9.206824,8.154421,9.601899,5.910118,6.696576,10.38446,6.071377,7.734849,9.097624,9.89141,SONFH
GSM3507287,5.529147,6.994531,7.761423,8.426463,9.609114,9.348579,8.36292,9.114122,9.312114,6.966847,8.156863,8.430984,9.450123,12.50629,10.83018,9.455592,10.19761,9.805979,10.08966,10.95877,9.317966,11.51937,12.52345,8.792449,9.320438,6.811939,10.52221,7.671358,8.908441,6.808045,7.81542,6.978195,9.859205,8.108597,7.875685,7.955129,6.949929,4.141403,7.142303,7.740571,9.619591,8.781125,6.637828,9.511539,9.476511,8.842905,6.101607,6.566199,7.238559,8.995129,8.514009,7.923492,7.61597,5.28273,9.333704,6.077992,11.65375,9.708303,10.7242,8.462387,8.370594,9.000769,10.00195,6.973163,8.591357,9.086702,8.983332,9.348787,7.17561,7.690426,7.891796,9.037436,8.506187,7.607136,7.990594,8.989175,8.720091,7.930837,9.68696,8.652617,10.04376,10.99579,6.485346,7.370143,7.243998,8.854239,10.37502,12.96543,7.737218,11.0202,9.536649,8.532271,10.13918,6.02086,6.983235,10.96656,6.222519,8.322375,9.071824,10.81625,SONFH
GSM3507288,5.156419,6.545458,7.759274,8.179592,9.197777,8.849556,7.899477,8.977935,8.87967,6.756155,8.011117,8.226022,9.023656,12.37949,10.43211,8.897948,9.367404,9.133883,9.934024,10.80756,8.678846,10.78913,12.32425,8.539763,8.669024,6.549794,10.83853,7.67874,8.557629,6.547721,6.840271,5.916078,9.664383,7.809797,7.34669,7.032738,6.821391,3.729753,7.453866,7.625876,9.233941,8.701896,5.000266,8.33898,9.157856,8.303092,5.989863,6.218558,6.710831,8.400578,7.961565,7.799598,7.578487,5.000584,9.07456,5.614756,11.40643,9.290633,10.26358,8.204913,8.212116,8.784825,9.905056,7.096752,7.753673,8.243872,8.684196,8.881685,6.492468,7.341142,7.618748,8.942346,8.208727,7.12826,7.45807,8.526983,8.377618,7.806951,9.822951,8.214401,9.107324,10.38604,6.370163,7.329526,6.970516,7.679653,10.18209,12.70638,7.689074,10.62947,9.594049,8.293634,9.907562,5.951613,6.66715,10.60002,6.456754,7.78442,9.034701,10.13408,SONFH
GSM3507289,5.244143,6.931307,7.574425,8.063033,9.538393,8.963315,8.535567,8.580741,9.182872,7.204065,8.193145,8.55759,9.350282,12.43652,10.65052,9.40664,9.987228,9.059343,9.598526,10.88063,9.297843,11.03477,12.1863,8.566374,8.723377,6.77797,10.31678,7.710786,8.665352,6.711498,7.415446,6.569323,9.643498,7.540724,7.401481,7.557242,7.065205,3.830934,6.690718,7.531894,8.882744,8.652272,5.841191,9.227844,9.239,8.753424,6.295089,6.428999,7.024471,8.770615,8.460538,8.10137,7.584001,5.924103,9.074556,5.807238,11.44059,9.396337,10.52282,8.377976,8.561102,8.920794,9.733662,7.307551,8.281235,8.911264,9.057671,9.087919,7.060957,7.486176,7.85078,8.84165,8.325305,6.688765,7.463957,9.281377,8.871098,8.371742,9.710001,8.036119,9.717013,10.62522,7.32971,7.555858,7.326559,8.239216,10.01092,12.61555,7.723619,11.06553,9.34632,8.909033,9.689749,5.861239,6.93009,10.97272,6.496236,8.155473,9.546334,10.71,SONFH
GSM3507290,5.158492,6.436567,7.442562,7.298249,9.078086,8.605165,7.873832,8.319985,7.840757,6.594249,7.960117,8.231421,8.842853,11.97257,9.938331,8.809145,9.412979,8.851972,9.640738,10.28151,8.560122,10.81696,11.86851,8.263406,8.537782,6.757905,10.05093,7.076344,7.863816,6.157908,6.832289,6.046496,9.476106,7.639155,7.239738,6.915521,6.573192,3.49466,6.869144,7.429142,8.66214,8.419814,5.002827,7.652189,8.627813,7.849516,5.991033,5.87246,6.333293,7.771338,7.824537,7.426057,7.172797,4.783488,8.392097,5.302312,10.83526,8.59747,9.526501,8.088411,8.102999,8.101566,9.107805,7.082877,7.881225,8.266435,8.962521,8.59947,6.096969,6.904305,7.209005,8.242682,7.876486,6.395866,7.054946,8.360058,8.109725,7.457466,8.929978,7.844151,8.829152,9.85333,6.651105,7.254412,6.62796,7.359972,9.612728,12.26529,7.32035,10.21218,8.744044,8.367981,9.142598,5.361784,6.493948,10.16972,6.160205,7.515485,8.751883,9.701212,SONFH
