model,source,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,f1_weighted_mean,f1_weighted_std,balanced_accuracy_mean,balanced_accuracy_std,duration_s
tuned_random_forest,hyperopt_tuned,0.8925,0.0936,0.97,0.0521,0.8839,0.1096,0.8583,0.1566,4.24
baseline_linear_svc,baseline_default,0.9075,0.0783,0.9667,0.0645,0.8965,0.0955,0.8517,0.1456,0.17
baseline_random_forest,baseline_default,0.9,0.0829,0.965,0.0585,0.886,0.1063,0.8433,0.1587,5.69
tuned_xgboost,hyperopt_tuned,0.9125,0.0839,0.9625,0.0747,0.902,0.1041,0.8717,0.1529,5.0
baseline_mlp,baseline_default,0.8825,0.0915,0.9567,0.0583,0.8694,0.1109,0.825,0.1627,1.47
baseline_gaussian_nb,baseline_default,0.9075,0.1025,0.945,0.0669,0.9036,0.1119,0.885,0.1554,0.12
baseline_logistic_elasticnet,baseline_default,0.8775,0.081,0.935,0.0886,0.8639,0.1018,0.8183,0.1543,0.57
baseline_xgboost,baseline_default,0.9175,0.0814,0.9283,0.1385,0.907,0.1027,0.8783,0.1511,2.65
baseline_knn,baseline_default,0.9025,0.0911,0.8742,0.1705,0.8873,0.1132,0.835,0.1654,0.22
